"","Day","DOY","StationID","Year","SensorType","MeanValue","MeanValue2"
"1",2019-10-10,283,"BDL",2019,"EL COND",7887.04166666667,4.88113868037065
"2",2019-10-10,283,"BDL",2019,"TEMP W",64.5583333333333,18.087962962963
"3",2019-10-10,283,"BDL",2019,"TURB W",26.8216666666667,26.8216666666667
"4",2019-10-10,283,"RVB",2019,"EL COND",122.416666666667,0.0635259749756664
"5",2019-10-10,283,"RVB",2019,"TEMP W",61.3927083333333,16.3292824074074
"6",2019-10-10,283,"RVB",2019,"TURB W",4.26947916666667,4.26947916666667
"7",2019-10-11,284,"BDL",2019,"EL COND",7843.28125,4.85209213818745
"8",2019-10-11,284,"BDL",2019,"TEMP W",63.8697916666667,17.7054398148148
"9",2019-10-11,284,"BDL",2019,"TURB W",27.3229166666667,27.3229166666667
"10",2019-10-11,284,"RVB",2019,"EL COND",121.447916666667,0.0630101832741716
"11",2019-10-11,284,"RVB",2019,"TEMP W",61.0239583333333,16.1244212962963
"12",2019-10-11,284,"RVB",2019,"TURB W",5.1740625,5.1740625
"13",2019-10-12,285,"BDL",2019,"EL COND",7854.01041666667,4.85921244461364
"14",2019-10-12,285,"BDL",2019,"TEMP W",63.7833333333333,17.6574074074074
"15",2019-10-12,285,"BDL",2019,"TURB W",30.1728125,30.1728125
"16",2019-10-12,285,"RVB",2019,"EL COND",122.864583333333,0.0637644612362515
"17",2019-10-12,285,"RVB",2019,"TEMP W",61.109375,16.171875
"18",2019-10-12,285,"RVB",2019,"TURB W",4.966875,4.966875
"19",2019-10-13,286,"BDL",2019,"EL COND",7929.5625,4.90937603235934
"20",2019-10-13,286,"BDL",2019,"TEMP W",63.9,17.7222222222222
"21",2019-10-13,286,"BDL",2019,"TURB W",32.0529166666667,32.0529166666667
"22",2019-10-13,286,"RVB",2019,"EL COND",126.145833333333,0.0655115598830249
"23",2019-10-13,286,"RVB",2019,"TEMP W",61.3177083333333,16.2876157407407
"24",2019-10-13,286,"RVB",2019,"TURB W",4.11604166666667,4.11604166666667
"25",2019-10-14,287,"BDL",2019,"EL COND",8006.46875,4.96048202828079
"26",2019-10-14,287,"BDL",2019,"TEMP W",63.8760416666667,17.708912037037
"27",2019-10-14,287,"BDL",2019,"TURB W",33.0488541666667,33.0488541666667
"28",2019-10-14,287,"RVB",2019,"EL COND",128.484210526316,0.0667566933069225
"29",2019-10-14,287,"RVB",2019,"TEMP W",61.2768421052632,16.2649122807018
"30",2019-10-14,287,"RVB",2019,"TURB W",3.90421052631579,3.90421052631579
"31",2019-10-15,288,"BDL",2019,"EL COND",8018.1875,4.96827322733764
"32",2019-10-15,288,"BDL",2019,"TEMP W",63.8552083333333,17.697337962963
"33",2019-10-15,288,"BDL",2019,"TURB W",30.4151041666667,30.4151041666667
"34",2019-10-15,288,"RVB",2019,"EL COND",129.479166666667,0.0672865059282916
"35",2019-10-15,288,"RVB",2019,"TEMP W",61.1802083333333,16.2112268518519
"36",2019-10-15,288,"RVB",2019,"TURB W",3.55104166666667,3.55104166666667
"37",2019-10-16,289,"BDL",2019,"EL COND",8066.9375,5.00069540462843
"38",2019-10-16,289,"BDL",2019,"TEMP W",63.6979166666667,17.6099537037037
"39",2019-10-16,289,"BDL",2019,"TURB W",28.461875,28.461875
"40",2019-10-16,289,"RVB",2019,"EL COND",131.875,0.0685623425921249
"41",2019-10-16,289,"RVB",2019,"TEMP W",61.0916666666667,16.162037037037
"42",2019-10-16,289,"RVB",2019,"TURB W",3.31635416666667,3.31635416666667
"43",2019-10-17,290,"BDL",2019,"EL COND",8170.67708333333,5.06974714473921
"44",2019-10-17,290,"BDL",2019,"TEMP W",63.421875,17.4565972222222
"45",2019-10-17,290,"BDL",2019,"TURB W",27.3823958333333,27.3823958333333
"46",2019-10-17,290,"RVB",2019,"EL COND",131.927083333333,0.0685900791743174
"47",2019-10-17,290,"RVB",2019,"TEMP W",61.0635416666667,16.146412037037
"48",2019-10-17,290,"RVB",2019,"TURB W",3.60239583333333,3.60239583333333
"49",2019-10-18,291,"BDL",2019,"EL COND",8091.33333333333,5.01692686396486
"50",2019-10-18,291,"BDL",2019,"TEMP W",63.0739583333333,17.2633101851852
"51",2019-10-18,291,"BDL",2019,"TURB W",24.9285416666667,24.9285416666667
"52",2019-10-18,291,"RVB",2019,"EL COND",129.979166666667,0.0675527603539862
"53",2019-10-18,291,"RVB",2019,"TEMP W",60.840625,16.0225694444444
"54",2019-10-18,291,"RVB",2019,"TURB W",3.3228125,3.3228125
"55",2019-10-19,292,"BDL",2019,"EL COND",8079.85416666667,5.00928880514653
"56",2019-10-19,292,"BDL",2019,"TEMP W",62.8770833333333,17.1539351851852
"57",2019-10-19,292,"BDL",2019,"TURB W",20.689375,20.689375
"58",2019-10-19,292,"RVB",2019,"EL COND",126.510416666667,0.0657056882060375
"59",2019-10-19,292,"RVB",2019,"TEMP W",60.6427083333333,15.9126157407407
"60",2019-10-19,292,"RVB",2019,"TURB W",3.13479166666667,3.13479166666667
"61",2019-10-20,293,"BDL",2019,"EL COND",8013.36458333333,4.965066594166
"62",2019-10-20,293,"BDL",2019,"TEMP W",63.1479166666667,17.3043981481481
"63",2019-10-20,293,"BDL",2019,"TURB W",18.704375,18.704375
"64",2019-10-20,293,"RVB",2019,"EL COND",128.65625,0.066848303112807
"65",2019-10-20,293,"RVB",2019,"TEMP W",60.790625,15.9947916666667
"66",2019-10-20,293,"RVB",2019,"TURB W",2.92208333333333,2.92208333333333
"67",2019-10-21,294,"BDL",2019,"EL COND",7906.23958333333,4.8938860290712
"68",2019-10-21,294,"BDL",2019,"TEMP W",63.2635416666667,17.3686342592593
"69",2019-10-21,294,"BDL",2019,"TURB W",17.2990625,17.2990625
"70",2019-10-21,294,"RVB",2019,"EL COND",134.385416666667,0.069899299455189
"71",2019-10-21,294,"RVB",2019,"TEMP W",61.0385416666667,16.1325231481481
"72",2019-10-21,294,"RVB",2019,"TURB W",2.94760416666667,2.94760416666667
"73",2019-10-22,295,"BDL",2019,"EL COND",7835.01041666667,4.84660386533281
"74",2019-10-22,295,"BDL",2019,"TEMP W",63.6260416666667,17.5700231481481
"75",2019-10-22,295,"BDL",2019,"TURB W",19.6432291666667,19.6432291666667
"76",2019-10-22,295,"RVB",2019,"EL COND",135.572916666667,0.0705317596410138
"77",2019-10-22,295,"RVB",2019,"TEMP W",61.35,16.3055555555556
"78",2019-10-22,295,"RVB",2019,"TURB W",3.02770833333333,3.02770833333333
"79",2019-10-23,296,"BDL",2019,"EL COND",7837.79166666667,4.84844936120585
"80",2019-10-23,296,"BDL",2019,"TEMP W",63.921875,17.734375
"81",2019-10-23,296,"BDL",2019,"TURB W",21.5582291666667,21.5582291666667
"82",2019-10-23,296,"RVB",2019,"EL COND",133.802083333333,0.0695886271689988
"83",2019-10-23,296,"RVB",2019,"TEMP W",61.6166666666667,16.4537037037037
"84",2019-10-23,296,"RVB",2019,"TURB W",3.3028125,3.3028125
"85",2019-10-24,297,"BDL",2019,"EL COND",7778.79166666667,4.80931233726016
"86",2019-10-24,297,"BDL",2019,"TEMP W",63.340625,17.4114583333333
"87",2019-10-24,297,"BDL",2019,"TURB W",30.3358333333333,30.3358333333333
"88",2019-10-24,297,"RVB",2019,"EL COND",131.291666666667,0.0682516959001656
"89",2019-10-24,297,"RVB",2019,"TEMP W",61.634375,16.4635416666667
"90",2019-10-24,297,"RVB",2019,"TURB W",3.5475,3.5475
"91",2019-10-25,298,"BDL",2019,"EL COND",7716.32291666667,4.76790275834648
"92",2019-10-25,298,"BDL",2019,"TEMP W",63.34375,17.4131944444444
"93",2019-10-25,298,"BDL",2019,"TURB W",30.5740625,30.5740625
"94",2019-10-25,298,"RVB",2019,"EL COND",128.666666666667,0.0668538499267982
"95",2019-10-25,298,"RVB",2019,"TEMP W",61.6927083333333,16.4959490740741
"96",2019-10-25,298,"RVB",2019,"TURB W",3.7803125,3.7803125
"97",2019-10-26,299,"BDL",2019,"EL COND",7740.44791666667,4.78389137904174
"98",2019-10-26,299,"BDL",2019,"TEMP W",63.428125,17.4600694444444
"99",2019-10-26,299,"BDL",2019,"TURB W",34.156875,34.156875
"100",2019-10-26,299,"RVB",2019,"EL COND",128.15625,0.0665820577032547
"101",2019-10-26,299,"RVB",2019,"TEMP W",61.7958333333333,16.5532407407407
"102",2019-10-26,299,"RVB",2019,"TURB W",4.1515625,4.1515625
"103",2019-10-27,300,"BDL",2019,"EL COND",7794.9375,4.82001992061169
"104",2019-10-27,300,"BDL",2019,"TEMP W",61.3802083333333,16.322337962963
"105",2019-10-27,300,"BDL",2019,"TURB W",59.0653125,59.0653125
