"","Fish1","Fish2","Distance","Release","ReleaseEvent"
"1","smelt 11","smelt 24",26874.8447189992,"Hard Rio Vista","2a"
"2","smelt 11","smelt 25",66605.5435249401,"Hard Rio Vista","2a"
"3","smelt 11","smelt 27",67823.9061491709,"Hard Rio Vista","2a"
"4","smelt 11","smelt 28",67823.9061491709,"Hard Rio Vista","2a"
"5","smelt 11","smelt 29",67823.9061491709,"Hard Rio Vista","2a"
"6","smelt 11","smelt 3",67823.9061491709,"Hard Rio Vista","2a"
"7","smelt 11","smelt 31",67823.9061491709,"Hard Rio Vista","2a"
"8","smelt 11","smelt 34",67823.9061491709,"Hard Rio Vista","2a"
"9","smelt 11","smelt 39",67823.9061491709,"Hard Rio Vista","2a"
"10","smelt 11","smelt 42",66605.5435249401,"Hard Rio Vista","2a"
"11","smelt 11","smelt 5",15517.6274578121,"Hard Rio Vista","2a"
"12","smelt 11","smelt 8",35725.4323663748,"Hard Rio Vista","2a"
"13","smelt 11","smelt 9",5723.85804768701,"Hard Rio Vista","2a"
"14","smelt 24","smelt 25",43222.261187071,"Hard Rio Vista","2a"
"15","smelt 24","smelt 27",44440.6238113019,"Hard Rio Vista","2a"
"16","smelt 24","smelt 28",44440.6238113019,"Hard Rio Vista","2a"
"17","smelt 24","smelt 29",44440.6238113019,"Hard Rio Vista","2a"
"18","smelt 24","smelt 3",44440.6238113019,"Hard Rio Vista","2a"
"19","smelt 24","smelt 31",44440.6238113019,"Hard Rio Vista","2a"
"20","smelt 24","smelt 34",44440.6238113019,"Hard Rio Vista","2a"
"21","smelt 24","smelt 39",44440.6238113019,"Hard Rio Vista","2a"
"22","smelt 24","smelt 42",43222.261187071,"Hard Rio Vista","2a"
"23","smelt 24","smelt 5",11498.858047687,"Hard Rio Vista","2a"
"24","smelt 24","smelt 8",8930.75316056854,"Hard Rio Vista","2a"
"25","smelt 24","smelt 9",25502.2326094754,"Hard Rio Vista","2a"
"26","smelt 25","smelt 27",5494.02015014926,"Hard Rio Vista","2a"
"27","smelt 25","smelt 28",5494.02015014926,"Hard Rio Vista","2a"
"28","smelt 25","smelt 29",5494.02015014926,"Hard Rio Vista","2a"
"29","smelt 25","smelt 3",5494.02015014926,"Hard Rio Vista","2a"
"30","smelt 25","smelt 31",5494.02015014926,"Hard Rio Vista","2a"
"31","smelt 25","smelt 34",5494.02015014926,"Hard Rio Vista","2a"
"32","smelt 25","smelt 39",5494.02015014926,"Hard Rio Vista","2a"
"33","smelt 25","smelt 42",0,"Hard Rio Vista","2a"
"34","smelt 25","smelt 5",51087.916067128,"Hard Rio Vista","2a"
"35","smelt 25","smelt 8",41573.3192666647,"Hard Rio Vista","2a"
"36","smelt 25","smelt 9",65232.9314154164,"Hard Rio Vista","2a"
"37","smelt 27","smelt 28",0,"Hard Rio Vista","2a"
"38","smelt 27","smelt 29",0,"Hard Rio Vista","2a"
"39","smelt 27","smelt 3",0,"Hard Rio Vista","2a"
"40","smelt 27","smelt 31",0,"Hard Rio Vista","2a"
"41","smelt 27","smelt 34",0,"Hard Rio Vista","2a"
"42","smelt 27","smelt 39",0,"Hard Rio Vista","2a"
"43","smelt 27","smelt 42",5494.02015014925,"Hard Rio Vista","2a"
"44","smelt 27","smelt 5",52306.2786913589,"Hard Rio Vista","2a"
"45","smelt 27","smelt 8",42791.6818908956,"Hard Rio Vista","2a"
"46","smelt 27","smelt 9",66451.2940396473,"Hard Rio Vista","2a"
"47","smelt 28","smelt 29",0,"Hard Rio Vista","2a"
"48","smelt 28","smelt 3",0,"Hard Rio Vista","2a"
