"Study","Site","Year","Month","Date","Enclosure","Treatment","FishID","Tag","Error","Empty","Fullness","Digestion","FullStomachWeight","EmptyStomachWeight","StomachWeightDifference","TotalContentsWeight","Taxon","Count","TaxaWeight","Comments"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N10","C1N10","FALSE","N",3,5,"0.0078","0.0054",0.0024,0.0011,"Gammaridae",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N10","C1N10","FALSE","N",3,5,"0.0078","0.0054",0.0024,0.0011,"Pseudodiaptomus forbesi adult",3,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N10","C1N10","FALSE","N",3,5,"0.0078","0.0054",0.0024,0.0011,"Pseudodiaptomus forbesi copepodid",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N10","C1N10","FALSE","N",3,5,"0.0078","0.0054",0.0024,0.0011,"Simocephalus",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N37","C1N37","FALSE","N",3,5,"0.011","0.008",0.003,4e-04,"Hyalella azteca",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N37","C1N37","FALSE","N",3,5,"0.011","0.008",0.003,4e-04,"Pseudodiaptomus forbesi adult",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N50","C1N50","FALSE","N",2,5,"0.0133","0.0124",9e-04,NA,"Eucyclops adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N50","C1N50","FALSE","N",2,5,"0.0133","0.0124",9e-04,NA,"Pseudodiaptomus forbesi adult",4,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N50","C1N50","FALSE","N",2,5,"0.0133","0.0124",9e-04,NA,"Pseudodiaptomus forbesi copepodid",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N52","C1N52","FALSE","N",4,5,"0.009","0.0057",0.0033,8e-04,"Aphididae (winged) adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N52","C1N52","FALSE","N",4,5,"0.009","0.0057",0.0033,8e-04,"Pseudodiaptomus forbesi adult",7,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N52","C1N52","FALSE","N",4,5,"0.009","0.0057",0.0033,8e-04,"Pseudodiaptomus forbesi copepodid",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N52","C1N52","FALSE","N",4,5,"0.009","0.0057",0.0033,8e-04,"Simocephalus",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N6","C1N6","FALSE","N",4,5,"0.0133","0.0088",0.0045,0.0017,"Amphipoda",2,NA,"too digested"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N6","C1N6","FALSE","N",4,5,"0.0133","0.0088",0.0045,0.0017,"Gammaridae",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N6","C1N6","FALSE","N",4,5,"0.0133","0.0088",0.0045,0.0017,"Pseudodiaptomus forbesi adult",9,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"1","Flip","2023_BFS_C1N6","C1N6","FALSE","N",4,5,"0.0133","0.0088",0.0045,0.0017,"Pseudodiaptomus forbesi copepodid",3,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N16","C2N16","FALSE","N",5,5,"0.0038","0.0021",0.0017,4e-04,"Chironomidae larvae",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N16","C2N16","FALSE","N",5,5,"0.0038","0.0021",0.0017,4e-04,"Gammaridae",3,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N16","C2N16","FALSE","N",5,5,"0.0038","0.0021",0.0017,4e-04,"Hyalella azteca",4,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N18","C2N18","FALSE","N",4,5,"0.008","0.0045",0.0035,0.002,"Gammaridae",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N18","C2N18","FALSE","N",4,5,"0.008","0.0045",0.0035,0.002,"Hyalella azteca",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N18","C2N18","FALSE","N",4,5,"0.008","0.0045",0.0035,0.002,"Macrocyclops adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N18","C2N18","FALSE","N",4,5,"0.008","0.0045",0.0035,0.002,"Pseudodiaptomus forbesi adult",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N23","C2N23","FALSE","N",2,4,"0.0105","0.0091",0.0014,NA,"Amphipoda",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N23","C2N23","FALSE","N",2,4,"0.0105","0.0091",0.0014,NA,"Calanoida copepodid",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N23","C2N23","FALSE","N",2,4,"0.0105","0.0091",0.0014,NA,"Pseudodiaptomus forbesi adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N24","C2N24","FALSE","N",3,3,"0.0111","0.0083",0.0028,7e-04,"Amphipoda",1,NA,"too digested"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N24","C2N24","FALSE","N",3,3,"0.0111","0.0083",0.0028,7e-04,"Gammaridae",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"2","Scrub","2023_BFS_C2N4","C2N4","FALSE","N",2,6,"0.008","0.0072",8e-04,NA,"Pseudodiaptomus forbesi adult",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N10","C3N10","FALSE","N",5,5,"0.0078","0.0058",0.002,0.0016,"Gammaridae",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N10","C3N10","FALSE","N",5,5,"0.0078","0.0058",0.002,0.0016,"Hyalella azteca",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N10","C3N10","FALSE","N",5,5,"0.0078","0.0058",0.002,0.0016,"Pseudodiaptomus forbesi adult",4,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N18","C3N18","FALSE","N",4,5,"0.0093","0.0079",0.0014,3e-04,"Gammaridae",1,NA,"Eogammarus confervicolus"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N18","C3N18","FALSE","N",4,5,"0.0093","0.0079",0.0014,3e-04,"Plant material",0,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N25","C3N25","FALSE","N",5,4,"0.0248","0.0117",0.0131,0.0038,"Amphipoda",2,NA,"too digested"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N25","C3N25","FALSE","N",5,4,"0.0248","0.0117",0.0131,0.0038,"Gammaridae",3,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N25","C3N25","FALSE","N",5,4,"0.0248","0.0117",0.0131,0.0038,"Hyalella azteca",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N25","C3N25","FALSE","N",5,4,"0.0248","0.0117",0.0131,0.0038,"Pseudodiaptomus forbesi adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N27","C3N27","FALSE","N",3,3,"0.0103","0.0068",0.0035,8e-04,"Gammaridae",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N6","C3N6","FALSE","N",4,5,"0.0076","0.0051",0.0025,7e-04,"Amphipoda parts",0,NA,"urosome only"
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N6","C3N6","FALSE","N",4,5,"0.0076","0.0051",0.0025,7e-04,"Gammaridae",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N6","C3N6","FALSE","N",4,5,"0.0076","0.0051",0.0025,7e-04,"Macrocyclops adult",1,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N6","C3N6","FALSE","N",4,5,"0.0076","0.0051",0.0025,7e-04,"Pseudodiaptomus forbesi adult",4,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N6","C3N6","FALSE","N",4,5,"0.0076","0.0051",0.0025,7e-04,"Pseudodiaptomus forbesi copepodid",2,NA,NA
"Biofouling Study","Rio Vista","2023","10",2023-10-11,"3","Flip","2023_BFS_C3N6","C3N6","FALSE","N",4,5,"0.0076","0.0051",0.0025,7e-04,"Simocephalus",1,NA,NA
