Station,Date,Cage,Sample_Location,Treatment,boat_number,empty_weight,1stDryCheck,2ndDryCheck,3rdDryCheck,4thDryCheck,DryDiff,Dry_Weight,Algae_color,Comment,Lab notes,Field notes
Montezuma,10/10/2023,7,Inside,Exchanged,B10,1.2933,1.3014,1.3015,1.3016,1.3018,-0.0002,0.0085,green,amphipods few,"amphipods negligible, no attempt to remove",complete overlap with inner clod card
Montezuma,10/10/2023,5,Inside,Exchanged,B13,1.2946,1.3342,1.334,1.3334,1.3335,-0.0001,0.0389,green,amphipods few,"amphipods negligible, no attempt to remove",
Rio_Vista,10/11/2023,1,Inside,Exchanged,B18,1.2957,1.3315,1.3313,1.331,1.3308,0.0002,0.0351,green,amphipods abundant,Removed as many amphipods as possible,
Rio_Vista,10/11/2023,3,Inside,Exchanged,B21,1.298,1.3258,1.326,1.3258,1.3258,0,0.0278,green,amphipods moderate,Removed as many amphipods as possible,
Montezuma,10/10/2023,6,Inside,Scrubbed,B15,1.3038,1.6019,1.5994,1.5964,1.5959,0.0005,0.2921,mixed_rg,amphipods moderate,Removed as many amphipods as possible,
Montezuma,10/10/2023,8,Inside,Scrubbed,B16,1.2864,1.3035,1.3034,1.3032,1.3031,0.0001,0.0167,red,amphipods abundant,Removed as many amphipods as possible,
Rio_Vista,10/11/2023,2,Inside,Scrubbed,B19,1.2738,1.5329,1.53,1.5278,1.5278,0,0.254,green,amphipods abundant,Removed as many amphipods as possible,
Rio_Vista,10/11/2023,4,Inside,Scrubbed,B22,1.3224,1.6447,1.6402,1.6384,1.6383,0.0001,0.3159,green,amphipods abundant,Removed as many amphipods as possible,
Montezuma,10/10/2023,7,Outside,Exchanged,B11,1.3187,1.3311,1.3311,1.3311,1.331,0.0001,0.0123,green,amphipods few,"amphipods negligible, no attempt to remove",
Montezuma,10/10/2023,5,Outside,Exchanged,B12,1.2914,1.4061,1.4047,1.4027,1.4023,0.0004,0.1109,green,amphipods few,"amphipods negligible, no attempt to remove",complete overlap with inner clod card
Montezuma,10/10/2023,6,Outside,Scrubbed,B14,1.2869,1.6657,1.6602,1.6558,1.6554,0.0004,0.3685,mixed_rg,amphipods few,"amphipods negligible, no attempt to remove",
Montezuma,10/10/2023,8,Outside,Scrubbed,B17,1.2934,1.3382,1.3381,1.3376,1.3377,-0.0001,0.0443,green,amphipods abundant,Removed as many amphipods as possible,
Rio_Vista,10/11/2023,2,Outside,Scrubbed,B20,1.2956,1.7561,1.746,1.744,1.7441,-0.0001,0.4485,red,amphipods abundant,Removed as many amphipods as possible,
Rio_Vista,10/11/2023,4,Outside,Scrubbed,B23,1.316,1.9281,1.9135,1.9131,1.9129,0.0002,0.5969,red,amphipods abundant,Removed as many amphipods as possible,
