Taxlifestage,EMPCode,CageCode,Carbon_weight_ug,WetWeight_g,Notes
Acanthocyclops_UnID Adult,,Acanthocyclops adult,3.36,0.0000382,
Acanthocyclops Adult,ACANTHO,Acanthocyclops sp. adult,3.36,0.0000382,
NA,,Acanthocyclops sp. copepodid,1.68,0.0000191,Half of Acantho adult
Acartiella sinensis Adult,ACARTELA,Acartiella sinensis adult,2.67,0.0000753,
Acartiella sinensis Juvenile,ASINEJUV,Acartiella sinensis copepodid,1.16,0.0000277,
,,Alona spp,1,0.0000301,Use other cladoceran value
,,Americorophium spp,188.1,0.001881,Use LW of Corophiidae (0.0000199*4.95^2.844 grams)
,,Americorophium spinicorne ,188.1,0.001881,Use LW of Corophiidae (0.0000199*4.95^2.844 grams)
,,Amphipod Egg,0,NA,Don't count
,,Amphipoda ,293.4,0.002934,Use LW (0.0000225*5.9^2.744)
,,Amphipoda parts ,0,NA,Don't count
,,Annelida,0,NA,Don't include. Not in diets and limited zoop. Mention as caveat
,,Aphididae (winged) adult,0,NA,Don't include. Not in diets and limited zoop. Mention as caveat
Asplanchna_UnID Adult,ASPLANCH,Asplanchna spp,0.3,0.0000036,
Cirripedia_UnID Larva,BARNNAUP,Barnacle nauplii,3.8,0.0000139,
,,Bivalve,0,0.0000334,Don't include. Not in diets and limited zoop. Mention as caveat
,,Bivalve veliger,0,,Don't include. Not in diets and limited zoop. Mention as caveat
Bosmina longirostris Adult,BOSMINA,Bosmina spp,0.6,0.0000069,
,,Brachionus spp,0.1,0.0000036,Use other rotifer value
Calanoida_UnID Adult,OTHCALAD,Calanoida adult,3,0.0000366,
Calanoida_UnID Juvenile,CALJUV,Calanoida copepodid,1.5,0.0000138,
,OTHCALJUV,Calanoida copepodid,1.5,0.0000138,Used the same weights as cal Juvenile
NA,,Calanoida nauplius,0.1,0.0000024,
,,Ceriodaphnia spp,1,0.0000323,Use other cladoceran value
,,Chironomidae larva,17.6,0.000164,From diet study data. Carbon weight = wet weight (440ug) *.04
,,Chironomidae larvae,17.6,0.000164,From diet study data. Carbon weight = wet weight (440ug) *.04
,,Chironomidae pupae,0,,Rare enough to ignore
,,Chydorus spp,1,0.0000301,Use other cladoceran value
