"","Date","Site","Type","Species","CPUE","Mass"
"1","10/18/2023","606","Station","Calanoid_other",0,0
"2","10/18/2023","606","Station","Calanoid_other",1370.41,3658.9947
"3","10/18/2023","606","Station","Cladocera",0,0
"4","10/18/2023","606","Station","Cladocera",1.8,1.8
"5","10/18/2023","606","Station","Copepod nauplii",0,0
"6","10/18/2023","606","Station","Cumacean",1.8,23.76
"7","10/18/2023","606","Station","Cyclopoid_other",3.6,23.976
"8","10/18/2023","606","Station","Cyclopoid_other",17.5,28
"9","10/18/2023","606","Station","Eurytemora affinis",0,0
"10","10/18/2023","606","Station","Eurytemora affinis",3.5,4.9
"11","10/18/2023","606","Station","Limnoithona",0,0
"12","10/18/2023","606","Station","Limnoithona",26.2,3.406
"13","10/18/2023","606","Station","Ostracod",45.4,0
"14","10/18/2023","606","Station","Pseudodiaptomus forbesi",0,0
"15","10/18/2023","606","Station","Pseudodiaptomus forbesi",413.7,475.755
"16","10/18/2023","606","Station","Pseudodiaptomus forbesi",1794.6,4773.636
"17","10/18/2023","606","Station","Pseudodiaptomus nauplii",0,0
"18","10/18/2023","606","Station","Rotifer",0,0
"19","10/6/2023","606","Station","Calanoid_other",0,0
"20","10/6/2023","606","Station","Calanoid_other",375.57,1002.7719
"21","10/6/2023","606","Station","Cladocera",0,0
"22","10/6/2023","606","Station","Cladocera",9.8,9.8
"23","10/6/2023","606","Station","Copepod nauplii",11.8,1.18
"24","10/6/2023","606","Station","Cumacean",0,0
"25","10/6/2023","606","Station","Cyclopoid_other",0,0
"26","10/6/2023","606","Station","Cyclopoid_other",3.9,6.24
"27","10/6/2023","606","Station","Eurytemora affinis",0,0
"28","10/6/2023","606","Station","Limnoithona",0,0
"29","10/6/2023","606","Station","Limnoithona",3.9,0.507
"30","10/6/2023","606","Station","Ostracod",23.6,0
"31","10/6/2023","606","Station","Pseudodiaptomus forbesi",0,0
"32","10/6/2023","606","Station","Pseudodiaptomus forbesi",43.3,49.795
"33","10/6/2023","606","Station","Pseudodiaptomus forbesi",416.9,1108.954
"34","10/6/2023","606","Station","Pseudodiaptomus nauplii",5.9,0.59
"35","10/6/2023","606","Station","Rotifer",0,0
"36","8/21/2023","606","Station","Calanoid_other",0,0
"37","8/21/2023","606","Station","Calanoid_other",1448.8,3868.296
"38","8/21/2023","606","Station","Cladocera",0,0
"39","8/21/2023","606","Station","Copepod nauplii",11.9,1.19
"40","8/21/2023","606","Station","Cumacean",0,0
"41","8/21/2023","606","Station","Cyclopoid_other",0,0
"42","8/21/2023","606","Station","Cyclopoid_other",11.9,19.04
"43","8/21/2023","606","Station","Eurytemora affinis",0,0
"44","8/21/2023","606","Station","Limnoithona",0,0
"45","8/21/2023","606","Station","Limnoithona",95,12.35
"46","8/21/2023","606","Station","Ostracod",83.1,0
"47","8/21/2023","606","Station","Pseudodiaptomus forbesi",0,0
"48","8/21/2023","606","Station","Pseudodiaptomus forbesi",95,109.25
"49","8/21/2023","606","Station","Pseudodiaptomus forbesi",332.5,884.45
"50","8/21/2023","606","Station","Pseudodiaptomus nauplii",0,0
"51","8/21/2023","606","Station","Rotifer",0,0
"52","9/11/2023","606","Station","Calanoid_other",0,0
"53","9/11/2023","606","Station","Calanoid_other",879.05,2347.0635
"54","9/11/2023","606","Station","Cladocera",0,0
"55","9/11/2023","606","Station","Cladocera",4.8,4.8
"56","9/11/2023","606","Station","Cladocera",9.6,9.6
"57","9/11/2023","606","Station","Copepod nauplii",0,0
"58","9/11/2023","606","Station","Cumacean",0,0
"59","9/11/2023","606","Station","Cyclopoid_other",0,0
"60","9/11/2023","606","Station","Eurytemora affinis",0,0
"61","9/11/2023","606","Station","Limnoithona",0,0
"62","9/11/2023","606","Station","Limnoithona",28.7,3.731
"63","9/11/2023","606","Station","Ostracod",114.7,0
"64","9/11/2023","606","Station","Pseudodiaptomus forbesi",0,0
"65","9/11/2023","606","Station","Pseudodiaptomus forbesi",86,98.9
"66","9/11/2023","606","Station","Pseudodiaptomus forbesi",301,800.66
"67","9/11/2023","606","Station","Pseudodiaptomus nauplii",0,0
"68","9/11/2023","606","Station","Rotifer",0,0
"69","9/20/2023","606","Station","Calanoid_other",0,0
"70","9/20/2023","606","Station","Calanoid_other",308.81,824.5227
"71","9/20/2023","606","Station","Cladocera",0,0
"72","9/20/2023","606","Station","Cladocera",5.9,5.9
"73","9/20/2023","606","Station","Copepod nauplii",0,0
"74","9/20/2023","606","Station","Cumacean",0,0
"75","9/20/2023","606","Station","Cyclopoid_other",0,0
"76","9/20/2023","606","Station","Cyclopoid_other",2.9,4.64
"77","9/20/2023","606","Station","Cyclopoid_other",5.9,19.824
"78","9/20/2023","606","Station","Eurytemora affinis",0,0
"79","9/20/2023","606","Station","Limnoithona",0,0
"80","9/20/2023","606","Station","Limnoithona",2.9,0.377
"81","9/20/2023","606","Station","Ostracod",73.5,0
"82","9/20/2023","606","Station","Pseudodiaptomus forbesi",0,0
"83","9/20/2023","606","Station","Pseudodiaptomus forbesi",76.5,87.975
"84","9/20/2023","606","Station","Pseudodiaptomus forbesi",885.3,2354.898
"85","9/20/2023","606","Station","Pseudodiaptomus nauplii",0,0
"86","9/20/2023","606","Station","Rotifer",0,0
"87","10/18/2023","609","Station","Calanoid_other",0,0
"88","10/18/2023","609","Station","Calanoid_other",302.36,807.3012
"89","10/18/2023","609","Station","Cladocera",0,0
"90","10/18/2023","609","Station","Cladocera",7.2,7.2
"91","10/18/2023","609","Station","Copepod nauplii",4.8,0.48
"92","10/18/2023","609","Station","Cumacean",0,0
"93","10/18/2023","609","Station","Cyclopoid_other",4.8,31.968
"94","10/18/2023","609","Station","Cyclopoid_other",100.8,161.28
"95","10/18/2023","609","Station","Eurytemora affinis",0,0
"96","10/18/2023","609","Station","Eurytemora affinis",4.8,7.2
"97","10/18/2023","609","Station","Limnoithona",0,0
"98","10/18/2023","609","Station","Limnoithona",2.4,0.096
"99","10/18/2023","609","Station","Limnoithona",134.4,17.472
"100","10/18/2023","609","Station","Ostracod",9.6,0
"101","10/18/2023","609","Station","Pseudodiaptomus forbesi",0,0
"102","10/18/2023","609","Station","Pseudodiaptomus forbesi",235.2,625.632
"103","10/18/2023","609","Station","Pseudodiaptomus forbesi",264,303.6
"104","10/18/2023","609","Station","Pseudodiaptomus nauplii",48,4.8
"105","10/18/2023","609","Station","Rotifer",0,0
"106","10/6/2023","609","Station","Calanoid_other",0,0
"107","10/6/2023","609","Station","Calanoid_other",235.69,629.2923
"108","10/6/2023","609","Station","Cladocera",0,0
"109","10/6/2023","609","Station","Cladocera",2.8,2.8
"110","10/6/2023","609","Station","Copepod nauplii",123.5,12.35
"111","10/6/2023","609","Station","Cumacean",2.8,36.96
"112","10/6/2023","609","Station","Cyclopoid_other",0,0
"113","10/6/2023","609","Station","Cyclopoid_other",2.8,9.408
"114","10/6/2023","609","Station","Cyclopoid_other",19.6,31.36
"115","10/6/2023","609","Station","Eurytemora affinis",0,0
"116","10/6/2023","609","Station","Eurytemora affinis",2.8,3.92
"117","10/6/2023","609","Station","Limnoithona",0,0
"118","10/6/2023","609","Station","Limnoithona",30.9,4.017
"119","10/6/2023","609","Station","Ostracod",73,0
"120","10/6/2023","609","Station","Pseudodiaptomus forbesi",0,0
"121","10/6/2023","609","Station","Pseudodiaptomus forbesi",356.3,409.745
"122","10/6/2023","609","Station","Pseudodiaptomus forbesi",1405.7,3739.162
"123","10/6/2023","609","Station","Pseudodiaptomus nauplii",123.5,12.35
"124","10/6/2023","609","Station","Rotifer",0,0
"125","8/21/2023","609","Station","Calanoid_other",0,0
"126","8/21/2023","609","Station","Calanoid_other",809.8,2162.166
"127","8/21/2023","609","Station","Cladocera",0,0
"128","8/21/2023","609","Station","Copepod nauplii",7.5,0.75
"129","8/21/2023","609","Station","Cumacean",0,0
"130","8/21/2023","609","Station","Cyclopoid_other",0,0
"131","8/21/2023","609","Station","Eurytemora affinis",0,0
"132","8/21/2023","609","Station","Limnoithona",0,0
"133","8/21/2023","609","Station","Limnoithona",30,3.9
"134","8/21/2023","609","Station","Ostracod",48.7,0
"135","8/21/2023","609","Station","Pseudodiaptomus forbesi",0,0
"136","8/21/2023","609","Station","Pseudodiaptomus forbesi",45,51.75
"137","8/21/2023","609","Station","Pseudodiaptomus forbesi",52.5,139.65
"138","8/21/2023","609","Station","Pseudodiaptomus nauplii",15,1.5
"139","8/21/2023","609","Station","Rotifer",0,0
"140","9/11/2023","609","Station","Calanoid_other",0,0
"141","9/11/2023","609","Station","Calanoid_other",224.47,599.3349
"142","9/11/2023","609","Station","Cladocera",0,0
"143","9/11/2023","609","Station","Cladocera",5.2,5.2
"144","9/11/2023","609","Station","Cladocera",18.1,18.1
"145","9/11/2023","609","Station","Copepod nauplii",12.9,1.29
"146","9/11/2023","609","Station","Cumacean",0,0
"147","9/11/2023","609","Station","Cyclopoid_other",10.4,69.264
"148","9/11/2023","609","Station","Cyclopoid_other",49,78.4
"149","9/11/2023","609","Station","Eurytemora affinis",0,0
"150","9/11/2023","609","Station","Eurytemora affinis",2.6,3.64
"151","9/11/2023","609","Station","Limnoithona",0,0
"152","9/11/2023","609","Station","Limnoithona",2.6,0.338
"153","9/11/2023","609","Station","Ostracod",46.4,0
"154","9/11/2023","609","Station","Pseudodiaptomus forbesi",0,0
"155","9/11/2023","609","Station","Pseudodiaptomus forbesi",314.8,362.02
"156","9/11/2023","609","Station","Pseudodiaptomus forbesi",451.5,1200.99
"157","9/11/2023","609","Station","Pseudodiaptomus nauplii",38.7,3.87
"158","9/11/2023","609","Station","Rotifer",0,0
"159","9/11/2023","609","Station","Rotifer",5.2,0.52
"160","9/20/2023","609","Station","Calanoid_other",0,0
"161","9/20/2023","609","Station","Calanoid_other",374.2,999.114
"162","9/20/2023","609","Station","Cladocera",0,0
"163","9/20/2023","609","Station","Cladocera",1.3,4.433
"164","9/20/2023","609","Station","Cladocera",2.6,2.6
"165","9/20/2023","609","Station","Cladocera",6.5,6.5
"166","9/20/2023","609","Station","Copepod nauplii",0,0
"167","9/20/2023","609","Station","Cumacean",0,0
"168","9/20/2023","609","Station","Cyclopoid_other",0,0
"169","9/20/2023","609","Station","Cyclopoid_other",2.6,8.58
"170","9/20/2023","609","Station","Cyclopoid_other",7.8,12.48
"171","9/20/2023","609","Station","Eurytemora affinis",0,0
"172","9/20/2023","609","Station","Limnoithona",0,0
"173","9/20/2023","609","Station","Ostracod",41.4,0
"174","9/20/2023","609","Station","Pseudodiaptomus forbesi",0,0
"175","9/20/2023","609","Station","Pseudodiaptomus forbesi",185.2,492.632
"176","9/20/2023","609","Station","Pseudodiaptomus forbesi",291.3,334.995
"177","9/20/2023","609","Station","Pseudodiaptomus nauplii",0,0
"178","9/20/2023","609","Station","Rotifer",0,0
"179","10/12/2023","706","Station","Calanoid_other",0,0
"180","10/12/2023","706","Station","Calanoid_other",2.75,7.3425
"181","10/12/2023","706","Station","Calanoid_other",5.6,19.6
"182","10/12/2023","706","Station","Cladocera",0,0
"183","10/12/2023","706","Station","Cladocera",2.8,2.8
"184","10/12/2023","706","Station","Cladocera",11,11
"185","10/12/2023","706","Station","Cladocera",13.7,8.22
"186","10/12/2023","706","Station","Copepod nauplii",0,0
"187","10/12/2023","706","Station","Cumacean",0,0
"188","10/12/2023","706","Station","Cyclopoid_other",0,0
"189","10/12/2023","706","Station","Cyclopoid_other",13.7,45.21
"190","10/12/2023","706","Station","Cyclopoid_other",16.5,26.4
"191","10/12/2023","706","Station","Eurytemora affinis",0,0
"192","10/12/2023","706","Station","Limnoithona",0,0
