"","Date","Site","Type","Species","CPUE","Mass"
"1","10/18/2023","606","Station","Calanoid_other",0,0
"2","10/18/2023","606","Station","Calanoid_other",1370.41,3658.9947
"3","10/18/2023","606","Station","Cladocera",0,0
"4","10/18/2023","606","Station","Cladocera",1.8,1.8
"5","10/18/2023","606","Station","Copepod nauplii",0,0
"6","10/18/2023","606","Station","Cumacean",1.8,23.76
"7","10/18/2023","606","Station","Cyclopoid_other",3.6,23.976
"8","10/18/2023","606","Station","Cyclopoid_other",17.5,28
"9","10/18/2023","606","Station","Eurytemora affinis",0,0
"10","10/18/2023","606","Station","Eurytemora affinis",3.5,4.9
"11","10/18/2023","606","Station","Limnoithona",0,0
"12","10/18/2023","606","Station","Limnoithona",26.2,3.406
"13","10/18/2023","606","Station","Ostracod",45.4,0
"14","10/18/2023","606","Station","Pseudodiaptomus forbesi",0,0
"15","10/18/2023","606","Station","Pseudodiaptomus forbesi",413.7,475.755
"16","10/18/2023","606","Station","Pseudodiaptomus forbesi",1794.6,4773.636
"17","10/18/2023","606","Station","Pseudodiaptomus nauplii",0,0
"18","10/18/2023","606","Station","Rotifer",0,0
"19","10/18/2023","606","Station","other",0,0
"20","10/18/2023","606","Station","other",1.8,1.8
"21","10/18/2023","606","Station","other",7,55.65
"22","10/18/2023","606","Station","other",21,24.36
"23","10/6/2023","606","Station","Calanoid_other",0,0
"24","10/6/2023","606","Station","Calanoid_other",375.57,1002.7719
"25","10/6/2023","606","Station","Cladocera",0,0
"26","10/6/2023","606","Station","Cladocera",9.8,9.8
"27","10/6/2023","606","Station","Copepod nauplii",11.8,1.18
"28","10/6/2023","606","Station","Cumacean",0,0
"29","10/6/2023","606","Station","Cyclopoid_other",0,0
"30","10/6/2023","606","Station","Cyclopoid_other",3.9,6.24
"31","10/6/2023","606","Station","Eurytemora affinis",0,0
"32","10/6/2023","606","Station","Limnoithona",0,0
"33","10/6/2023","606","Station","Limnoithona",3.9,0.507
"34","10/6/2023","606","Station","Ostracod",23.6,0
"35","10/6/2023","606","Station","Pseudodiaptomus forbesi",0,0
"36","10/6/2023","606","Station","Pseudodiaptomus forbesi",43.3,49.795
"37","10/6/2023","606","Station","Pseudodiaptomus forbesi",416.9,1108.954
"38","10/6/2023","606","Station","Pseudodiaptomus nauplii",5.9,0.59
"39","10/6/2023","606","Station","Rotifer",0,0
"40","10/6/2023","606","Station","other",0,0
"41","10/6/2023","606","Station","other",8,160.72
"42","10/6/2023","606","Station","other",9.8,77.91
"43","10/6/2023","606","Station","other",70.8,269.04
"44","10/6/2023","606","Station","other",228.1,264.596
"45","8/21/2023","606","Station","Calanoid_other",0,0
"46","8/21/2023","606","Station","Calanoid_other",1448.8,3868.296
"47","8/21/2023","606","Station","Cladocera",0,0
"48","8/21/2023","606","Station","Copepod nauplii",11.9,1.19
"49","8/21/2023","606","Station","Cumacean",0,0
"50","8/21/2023","606","Station","Cyclopoid_other",0,0
"51","8/21/2023","606","Station","Cyclopoid_other",11.9,19.04
"52","8/21/2023","606","Station","Eurytemora affinis",0,0
"53","8/21/2023","606","Station","Limnoithona",0,0
"54","8/21/2023","606","Station","Limnoithona",95,12.35
"55","8/21/2023","606","Station","Ostracod",83.1,0
"56","8/21/2023","606","Station","Pseudodiaptomus forbesi",0,0
"57","8/21/2023","606","Station","Pseudodiaptomus forbesi",95,109.25
"58","8/21/2023","606","Station","Pseudodiaptomus forbesi",332.5,884.45
"59","8/21/2023","606","Station","Pseudodiaptomus nauplii",0,0
"60","8/21/2023","606","Station","Rotifer",0,0
"61","8/21/2023","606","Station","other",0,0
"62","8/21/2023","606","Station","other",23.8,279.65
"63","8/21/2023","606","Station","other",23.8,71.4
"64","8/21/2023","606","Station","other",47.5,47.5
"65","8/21/2023","606","Station","other",95,110.2
"66","9/11/2023","606","Station","Calanoid_other",0,0
"67","9/11/2023","606","Station","Calanoid_other",879.05,2347.0635
"68","9/11/2023","606","Station","Cladocera",0,0
"69","9/11/2023","606","Station","Cladocera",4.8,4.8
"70","9/11/2023","606","Station","Cladocera",9.6,9.6
"71","9/11/2023","606","Station","Copepod nauplii",0,0
"72","9/11/2023","606","Station","Cumacean",0,0
"73","9/11/2023","606","Station","Cyclopoid_other",0,0
"74","9/11/2023","606","Station","Eurytemora affinis",0,0
"75","9/11/2023","606","Station","Limnoithona",0,0
"76","9/11/2023","606","Station","Limnoithona",28.7,3.731
"77","9/11/2023","606","Station","Ostracod",114.7,0
"78","9/11/2023","606","Station","Pseudodiaptomus forbesi",0,0
"79","9/11/2023","606","Station","Pseudodiaptomus forbesi",86,98.9
"80","9/11/2023","606","Station","Pseudodiaptomus forbesi",301,800.66
"81","9/11/2023","606","Station","Pseudodiaptomus nauplii",0,0
"82","9/11/2023","606","Station","Rotifer",0,0
"83","9/11/2023","606","Station","other",0,0
"84","9/11/2023","606","Station","other",19.2,92.16
"85","9/11/2023","606","Station","other",19.1,22.156
"86","9/20/2023","606","Station","Calanoid_other",0,0
"87","9/20/2023","606","Station","Calanoid_other",308.81,824.5227
"88","9/20/2023","606","Station","Cladocera",0,0
"89","9/20/2023","606","Station","Cladocera",5.9,5.9
"90","9/20/2023","606","Station","Copepod nauplii",0,0
"91","9/20/2023","606","Station","Cumacean",0,0
"92","9/20/2023","606","Station","Cyclopoid_other",0,0
"93","9/20/2023","606","Station","Cyclopoid_other",2.9,4.64
"94","9/20/2023","606","Station","Cyclopoid_other",5.9,19.824
"95","9/20/2023","606","Station","Eurytemora affinis",0,0
"96","9/20/2023","606","Station","Limnoithona",0,0
"97","9/20/2023","606","Station","Limnoithona",2.9,0.377
"98","9/20/2023","606","Station","Ostracod",73.5,0
"99","9/20/2023","606","Station","Pseudodiaptomus forbesi",0,0
"100","9/20/2023","606","Station","Pseudodiaptomus forbesi",76.5,87.975
"101","9/20/2023","606","Station","Pseudodiaptomus forbesi",885.3,2354.898
"102","9/20/2023","606","Station","Pseudodiaptomus nauplii",0,0
"103","9/20/2023","606","Station","Rotifer",0,0
"104","9/20/2023","606","Station","other",0,0
"105","9/20/2023","606","Station","other",5.8,39.44
"106","9/20/2023","606","Station","other",17.6,38.016
"107","10/18/2023","609","Station","Calanoid_other",0,0
"108","10/18/2023","609","Station","Calanoid_other",302.36,807.3012
"109","10/18/2023","609","Station","Cladocera",0,0
"110","10/18/2023","609","Station","Cladocera",7.2,7.2
"111","10/18/2023","609","Station","Copepod nauplii",4.8,0.48
"112","10/18/2023","609","Station","Cumacean",0,0
"113","10/18/2023","609","Station","Cyclopoid_other",4.8,31.968
"114","10/18/2023","609","Station","Cyclopoid_other",100.8,161.28
"115","10/18/2023","609","Station","Eurytemora affinis",0,0
"116","10/18/2023","609","Station","Eurytemora affinis",4.8,7.2
"117","10/18/2023","609","Station","Limnoithona",0,0
"118","10/18/2023","609","Station","Limnoithona",2.4,0.096
"119","10/18/2023","609","Station","Limnoithona",134.4,17.472
"120","10/18/2023","609","Station","Ostracod",9.6,0
"121","10/18/2023","609","Station","Pseudodiaptomus forbesi",0,0
"122","10/18/2023","609","Station","Pseudodiaptomus forbesi",235.2,625.632
"123","10/18/2023","609","Station","Pseudodiaptomus forbesi",264,303.6
"124","10/18/2023","609","Station","Pseudodiaptomus nauplii",48,4.8
"125","10/18/2023","609","Station","Rotifer",0,0
"126","10/18/2023","609","Station","other",0,0
"127","10/18/2023","609","Station","other",7.2,7.2
"128","10/18/2023","609","Station","other",12,45.6
"129","10/18/2023","609","Station","other",24,27.84
"130","10/6/2023","609","Station","Calanoid_other",0,0
"131","10/6/2023","609","Station","Calanoid_other",235.69,629.2923
"132","10/6/2023","609","Station","Cladocera",0,0
"133","10/6/2023","609","Station","Cladocera",2.8,2.8
"134","10/6/2023","609","Station","Copepod nauplii",123.5,12.35
"135","10/6/2023","609","Station","Cumacean",2.8,36.96
"136","10/6/2023","609","Station","Cyclopoid_other",0,0
"137","10/6/2023","609","Station","Cyclopoid_other",2.8,9.408
"138","10/6/2023","609","Station","Cyclopoid_other",19.6,31.36
"139","10/6/2023","609","Station","Eurytemora affinis",0,0
"140","10/6/2023","609","Station","Eurytemora affinis",2.8,3.92
"141","10/6/2023","609","Station","Limnoithona",0,0
"142","10/6/2023","609","Station","Limnoithona",30.9,4.017
"143","10/6/2023","609","Station","Ostracod",73,0
"144","10/6/2023","609","Station","Pseudodiaptomus forbesi",0,0
"145","10/6/2023","609","Station","Pseudodiaptomus forbesi",356.3,409.745
"146","10/6/2023","609","Station","Pseudodiaptomus forbesi",1405.7,3739.162
"147","10/6/2023","609","Station","Pseudodiaptomus nauplii",123.5,12.35
"148","10/6/2023","609","Station","Rotifer",0,0
"149","10/6/2023","609","Station","other",0,0
"150","10/6/2023","609","Station","other",2.8,10.64
"151","10/6/2023","609","Station","other",22.4,48.384
"152","8/21/2023","609","Station","Calanoid_other",0,0
"153","8/21/2023","609","Station","Calanoid_other",809.8,2162.166
"154","8/21/2023","609","Station","Cladocera",0,0
"155","8/21/2023","609","Station","Copepod nauplii",7.5,0.75
"156","8/21/2023","609","Station","Cumacean",0,0
"157","8/21/2023","609","Station","Cyclopoid_other",0,0
"158","8/21/2023","609","Station","Eurytemora affinis",0,0
"159","8/21/2023","609","Station","Limnoithona",0,0
"160","8/21/2023","609","Station","Limnoithona",30,3.9
"161","8/21/2023","609","Station","Ostracod",48.7,0
"162","8/21/2023","609","Station","Pseudodiaptomus forbesi",0,0
"163","8/21/2023","609","Station","Pseudodiaptomus forbesi",45,51.75
"164","8/21/2023","609","Station","Pseudodiaptomus forbesi",52.5,139.65
"165","8/21/2023","609","Station","Pseudodiaptomus nauplii",15,1.5
"166","8/21/2023","609","Station","Rotifer",0,0
"167","8/21/2023","609","Station","other",0,0
"168","8/21/2023","609","Station","other",11.3,11.3
"169","8/21/2023","609","Station","other",135,156.6
"170","8/21/2023","609","Station","other",165,627
"171","8/21/2023","609","Station","other",262.4,787.2
"172","9/11/2023","609","Station","Calanoid_other",0,0
"173","9/11/2023","609","Station","Calanoid_other",224.47,599.3349
"174","9/11/2023","609","Station","Cladocera",0,0
"175","9/11/2023","609","Station","Cladocera",5.2,5.2
"176","9/11/2023","609","Station","Cladocera",18.1,18.1
"177","9/11/2023","609","Station","Copepod nauplii",12.9,1.29
"178","9/11/2023","609","Station","Cumacean",0,0
"179","9/11/2023","609","Station","Cyclopoid_other",10.4,69.264
"180","9/11/2023","609","Station","Cyclopoid_other",49,78.4
"181","9/11/2023","609","Station","Eurytemora affinis",0,0
"182","9/11/2023","609","Station","Eurytemora affinis",2.6,3.64
"183","9/11/2023","609","Station","Limnoithona",0,0
"184","9/11/2023","609","Station","Limnoithona",2.6,0.338
"185","9/11/2023","609","Station","Ostracod",46.4,0
"186","9/11/2023","609","Station","Pseudodiaptomus forbesi",0,0
"187","9/11/2023","609","Station","Pseudodiaptomus forbesi",314.8,362.02
"188","9/11/2023","609","Station","Pseudodiaptomus forbesi",451.5,1200.99
"189","9/11/2023","609","Station","Pseudodiaptomus nauplii",38.7,3.87
"190","9/11/2023","609","Station","Rotifer",0,0
"191","9/11/2023","609","Station","Rotifer",5.2,0.52
"192","9/11/2023","609","Station","other",0,0
"193","9/11/2023","609","Station","other",5.2,5.2
"194","9/11/2023","609","Station","other",20.6,23.896
"195","9/11/2023","609","Station","other",46.4,139.2
"196","9/11/2023","609","Station","other",291.6,1108.08
"197","9/20/2023","609","Station","Calanoid_other",0,0
"198","9/20/2023","609","Station","Calanoid_other",374.2,999.114
"199","9/20/2023","609","Station","Cladocera",0,0
