Taxon,Life History Stage,Taxa Group,Carbon Weight,Notes,Taxonomic level,Class,Order,Family,Genus,Species
Acanthocyclops,Undifferentiated,Other Cyclopoid,3.36,Use Adult Value,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,
Acanthocyclops adult,Adult,Other Cyclopoid,3.36,,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,
Acanthocyclops copepodid,Juvenile,Other Cyclopoid,1.68,Half Acantho adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,
Acari,Undifferentiated,Other,NA,,Subclass,Acari,,,,
Acartia,Undifferentiated,Other Calanoid,2.98,,Genus,Copepoda,Calanoida,Acartiidae,Acartia,
Acartia copepodid,Juvenile,Other Calanoid,1.3,,Genus,Copepoda,Calanoida,Acartiidae,Acartia,
Acartiella copepodid,Juvenile,Acartiella,1.16,,Genus,Copepoda,Calanoida,Acartiidae,Acartiella,
Acartiella sinensis,Undifferentiated,Acartiella,2.67,,Species,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis
Acartiella sinensis adult,Adult,Acartiella,2.67,,Species,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis
Alona,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Alona,
Alona/Alonella,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,,
Alonella,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Alonella,
Americorophium,Undifferentiated,Amphipod,,LW,Genus,Malacostraca,Amphipoda,Corophiidae,Americorophium,
Americorophium juvenile,Juvenile,Amphipod,,LW,Genus,Malacostraca,Amphipoda,Corophiidae,Americorophium,
Americorophium spinicorne,Undifferentiated,Amphipod,,LW,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne
Americorophium spinicorne adult,Adult,Amphipod,,LW,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne
Americorophium spinicorne juvenile,Juvenile,Amphipod,,LW,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne
Amphipoda,Undifferentiated,Amphipod,,LW,Order,Malacostraca,Amphipoda,,,
Amphipoda parts,Undifferentiated,Amphipod,,LW,Order,Malacostraca,Amphipoda,,,
Anchistropus,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Diplostraca,Chydoridae,Anchistropus,
Animal parts,Undifferentiated,NA,NA,,NA,,,,,
Annelida,Undifferentiated,Worm,NA,,Phylum,,,,,
Aphididae (winged) adult,Adult,Insect,NA,,Family,Insecta,Hemiptera,Aphididae,,
Arthropoda parts,Undifferentiated,NA,NA,,Phylum,,,,,
Asplanchna,Undifferentiated,Rotifer,0.3,,Genus,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,
Barnacle nauplii,Larva,Other,3.8,,Class,Cirripedia,,,,
Bivalvia,Undifferentiated,Other,NA,,Class,Bivalvia,,,,
Bivalvia juvenile,Juvenile,Other,NA,,Class,Bivalvia,,,,
Bivalvia veliger,Larva,Other,NA,,Class,Bivalvia,,,,
Bosmina,Undifferentiated,Cladoceran,0.6,,Genus,Branchiopoda,Cladocera,Bosminidae,Bosmina,
Brachionus,Undifferentiated,Rotifer,0.1,,Genus,Eurotatoria,Ploima,Brachionidae,Brachionus,
Calanoida,Undifferentiated,Other Calanoid,3,,Order,Copepoda,Calanoida,,,
Calanoida adult,Adult,Other Calanoid,3,,Order,Copepoda,Calanoida,,,
Calanoida copepodid,Juvenile,Other Calanoid,1.5,,Order,Copepoda,Calanoida,,,
Calanoida nauplii,Larva,Copepod nauplii,0.1,,Order,Copepoda,Calanoida,,,
Camptocercus,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Diplostraca,Eurycercidae,Camptocercus,
Ceriodaphnia,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia,
Chironomidae adult,Adult,Chironomidae,,LW,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chironomidae emergent,Adult,Chironomidae,20.52,,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chironomidae larvae,Larva,Chironomidae,18.32,,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chironomidae pupae,Larva,Chironomidae,20.52,,Family,Insecta,Hymenoptera,Chalcidoidea,,
Chydoridae,Undifferentiated,Cladoceran,1,,Family,Branchiopoda,Cladocera,Chydoridae,,
Chydorus,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Chydorus,
Cladocera,Undifferentiated,Cladoceran,1,,Order,Branchiopoda,Cladocera,,,
Cladocera nauplii,Larva,Cladoceran,1,,Order,Branchiopoda,Cladocera,,,
Copepod nauplii,Larva,Copepod nauplii,0.1,,Class,Copepoda,,,,
Copepoda,Undifferentiated,Other,3,,Class,Copepoda,,,,
Copepoda copepodid,Juvenile,Other,1.5,,Class,Copepoda,,,,
Copepoda mush,Undifferentiated,NA,NA,,Class,Copepoda,,,,
Corixidae,Undifferentiated,Insect,18.32,,Family,Insecta,Hemiptera,Corixidae,,
Corophiidae,Undifferentiated,Amphipod,,LW,Family,Malacostraca,Amphipoda,Corophiidae,,
Corophiidae juvenile,Juvenile,Amphipod,,LW,Family,Malacostraca,Amphipoda,Corophiidae,,
Corophiidae parts (head),Undifferentiated,Amphipod,NA,,Family,Malacostraca,Amphipoda,Corophiidae,,
Corophium,Undifferentiated,Amphipod,,LW,Genus,Malacostraca,Amphipoda,Corophiidae,Corophium,
Crab zoea,Larva,Other,3,,Order,Malacostraca,Decapoda,,,
Crangonyx,Undifferentiated,Amphipod,,LW,Genus,Malacostraca,Amphipoda,Crangonycitidae,Crangonyx,
Crustacea,Undifferentiated,Other,NA,,Subphylum,,,,,
Culicidae larvae,Larva,Insect,18.32,,Family,Insecta,Diptera,Culicidae,,
Cumacean,Undifferentiated,Cumacean,9.41,,Order,Malacostraca,Cumacea,,,
Cumella vulgaris,Undifferentiated,Cumacean,13.2,,Species,Malacostraca,Cumacea,Nannastacidae,,
Cyclopoida,Undifferentiated,Other Cyclopoid,3.3,,Order,Copepoda,Cyclopoida,,,
Cyclopoida adult,Adult,Other Cyclopoid,3.3,,Order,Copepoda,Cyclopoida,,,
Cyclopoida copepodid,Juvenile,Other Cyclopoid,1.6,,Order,Copepoda,Cyclopoida,,,
Cyclopoida nauplii,Larva,Copepod nauplii,0.1,,Order,Copepoda,Cyclopoida,,,
Daphnia,Undifferentiated,Cladoceran,4,,Genus,Branchiopoda,Cladocera,Daphniidae,Daphnia,
Daphnia Resting egg,Egg,NA,NA,,Genus,Branchiopoda,Cladocera,Daphniidae,Daphnia,
Detritis,NA,NA,NA,,NA,,,,,
Diacyclops thomasi,Undifferentiated,Other Cyclopoid,3.3,Use other cyclopoid aka Acantho,Species,Copepoda,Cyclopoida,Cyclopodidae,Diacyclops,Diacyclops thomasi
Diacyclops thomasi adult,Adult,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopodidae,Diacyclops,Diacyclops thomasi
Diacyclops thomasi copepodid,Juvenile,Other Cyclopoid,1.6,,Species,Copepoda,Cyclopoida,Cyclopodidae,Diacyclops,Diacyclops thomasi
Diaphanosoma,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Sididae,Diaphanosoma,
Diaptomidae,Undifferentiated,Other Calanoid,4,,Family,Copepoda,Calanoida,Diaptomidae,,
Diaptomidae adult,Adult,Other Calanoid,4,,Family,Copepoda,Calanoida,Diaptomidae,,
Diaptomidae copepodid,Juvenile,Other Calanoid,2,,Family,Copepoda,Calanoida,Diaptomidae,,
Diaptomus,Undifferentiated,Other Calanoid,4,,Genus,Copepoda,Calanoida,Diaptomidae,Diaptomus,
Diaptomus copepodid,Juvenile,Other Calanoid,2,,Genus,Copepoda,Calanoida,Diaptomidae,Diaptomus,
Digestive material,NA,NA,NA,,NA,,,,,
Diptera adult,Adult,Insect,,LW,Order,Insecta,Diptera,,,
Disparalona,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Disparalona,
Dunhevedia,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Dunhevedia,
Ectocyclops phaleratus,Undifferentiated,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopidae,Ectocyclops,Ectocyclops phaleratus
Egg,,NA,NA,,,,,,,
Elmidae,Undifferentiated,Insect,NA,,Family,Insecta,Coleoptera,Elmidae,,
Empty,NA,Empty,0,,NA,,,,,
Eogammarus confervicolus,Undifferentiated,Amphipod,,LW,Species,Malacostraca,Amphipoda,Gammaridae,Eogammarus,Eogammarus confervicolus
Eogammarus confervicolus juvenile,Juvenile,Amphipod,,LW,Species,Malacostraca,Amphipoda,Gammaridae,Eogammarus,Eogammarus confervicolus
Euchlanis,Undifferentiated,Rotifer,0.1,,Genus,Eurotatoria,Ploima,Euchlanidae,Euchlanis,
Eucyclops,Undifferentiated,Other Cyclopoid,3.3,,Genus,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,
Eucyclops adult,Adult,Other Cyclopoid,3.3,,Genus,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,
Eucyclops agilis,Undifferentiated,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops agilis
Eucyclops copepodid,Juvenile,Other Cyclopoid,1.6,,Genus,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,
Eucyclops elegans,Undifferentiated,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops elegans
Eucyclops pectinifer,Undifferentiated,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops pectinifer
Eucyclops prionophorus,Undifferentiated,Other Cyclopoid,3.3,,Species,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops prionophorus
Eurycercus,Undifferentiated,Cladoceran,1,,Genus,Branchiopoda,Cladocera,Chydoridae,Eurycercus,
Eurytemora carolleeae,Undifferentiated,Eurytemora,3,,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae
Eurytemora carolleeae adult,Adult,Eurytemora,3,,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae
Eurytemora carolleeae copepodid,Juvenile,Eurytemora,1.4,,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae
Eurytemora carolleeae nauplii,Larva,Eurytemora,0.1,,Species,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora carolleeae
Fish,Undifferentiated,Fish,,LW,Class,Actinopterygii,,,,
Fish eggs,Egg,Eggs,NA,,Class,Actinopterygii,,,,
Gammaridae,Undifferentiated,Amphipod,,LW,Family,Malacostraca,Amphipoda,Gammaridae,,
Gammaridae juvenile,Juvenile,Amphipod,,LW,Family,Malacostraca,Amphipoda,Gammaridae,,
Gammarus,Undifferentiated,Amphipod,,LW,Genus,Malacostraca,Amphipoda,Gammaridae,Gammarus,
Gammarus daiberi,Undifferentiated,Amphipod,,LW,Species,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus daiberi
Gastropoda,Undifferentiated,NA,NA,,Class,Gastropoda,,,,
Gastropoda veliger,Larva,NA,NA,,Class,Gastropoda,,,,
