"Site","Date","Cage","Taxon","Count","CountWhole","fragments","Meanlength","Study"
"Suisun Marsh",2024-09-25,"Cage 5","Americorophium spinicorne",4,4,0,3.125,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Americorophium",70,37,33,1.95945945945946,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Gammaridae",78,38,40,2.85526315789474,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Gammarus daiberi",23,23,0,4.86842105263158,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Gnorimosphaeroma",136,50,86,3.64,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Munnidae",13,12,1,1.41666666666667,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 5","Ostracoda",2,2,0,1,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Americorophium",16,15,1,1.93333333333333,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Cumacean",2,2,0,2.75,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Gammaridae",8,6,2,3.08333333333333,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Gnorimosphaeroma",22,14,8,2.39285714285714,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Munnidae",4,1,3,1.5,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Ostracoda",5,5,0,1,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 6","Tanaidacea",2,2,0,2.75,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 7","Americorophium",23,7,16,1.92857142857143,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 7","Gnorimosphaeroma",12,5,7,2.1,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 7","Tanaidacea",1,1,0,2.5,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Americorophium spinicorne",11,11,0,3.275,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Americorophium",42,20,22,1.575,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Gammarus daiberi",18,14,4,4,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Gnorimosphaeroma",22,15,7,2.93333333333333,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Hyalella",1,0,1,NA,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Munnidae",16,14,2,1.35714285714286,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Ostracoda",3,3,0,1,"SMSCG"
"Suisun Marsh",2024-09-25,"Cage 8","Tanaidacea",2,2,0,2.25,"SMSCG"
"Rio Vista",2024-09-26,"Cage 1","Chironomidae larvae",16,7,9,2.42857142857143,"SMSCG"
"Rio Vista",2024-09-26,"Cage 1","Chironomidae pupae",2,2,0,4.5,"SMSCG"
"Rio Vista",2024-09-26,"Cage 1","Gammarus daiberi",2,2,0,3.75,"SMSCG"
"Rio Vista",2024-09-26,"Cage 1","Hyalella",43,28,15,3.42857142857143,"SMSCG"
