Taxa Group,Taxlifestage,EMPCode,CageCode,Carbon_weight_ug,WetWeight_g,Notes
Cyclopoid Copepod,Acanthocyclops_UnID Adult,,Acanthocyclops adult,3.36,0.0000382,
Cyclopoid Copepod,Acanthocyclops Adult,ACANTHO,Acanthocyclops sp. adult,3.36,0.0000382,
Cyclopoid Copepod,NA,,Acanthocyclops sp. copepodid,1.68,0.0000191,Half of Acantho adult
Cyclopoid Copepod,Acartiella sinensis Adult,ACARTELA,Acartiella sinensis adult,2.67,0.0000753,
Cyclopoid Copepod,Acartiella sinensis Juvenile,ASINEJUV,Acartiella sinensis copepodid,1.16,0.0000277,
Cladoceran,,,Alona spp,1,0.0000301,Use other cladoceran value
Amphipod,,,Americorophium spinicorne ,,,Use LW
Other,,,Amphipod Egg,NA,NA,Don't count
Amphipod,,,Amphipoda ,,,Use LW
Other,,,Amphipoda parts ,NA,NA,Don't count
Other,,,Annelida,NA,NA,Don't include. Not in diets and limited zoop. Mention as caveat
Insect,,,Aphididae (winged) adult,NA,NA,Don't include. Not in diets and limited zoop. Mention as caveat
Rotifer,Asplanchna_UnID Adult,ASPLANCH,Asplanchna spp,0.3,0.0000036,
Other,Cirripedia_UnID Larva,BARNNAUP,Barnacle nauplii,3.8,0.0000139,
Other,,,Bivalve,NA,0.0000334,Don't include. Not in diets and limited zoop. Mention as caveat
Other,,,Bivalve veliger,NA,,Don't include. Not in diets and limited zoop. Mention as caveat
Cladoceran,Bosmina longirostris Adult,BOSMINA,Bosmina spp,0.6,0.0000069,
Rotifer,,,Brachionus spp,0.1,0.0000036,Use other rotifer value
Calanoid Copepod,Calanoida_UnID Adult,OTHCALAD,Calanoida adult,3,0.0000366,
Calanoid Copepod,Calanoida_UnID Juvenile,CALJUV,Calanoida copepodid,1.5,0.0000138,
Copepod nauplii,NA,,Calanoida nauplius,0.1,0.0000024,
Cladoceran,,,Ceriodaphnia spp,1,0.0000323,Use other cladoceran value
Chironomid,,,Chironomidae larva,17.6,0.000164,From diet study data. Carbon weight = wet weight (440ug) *.04
Chironomid,,,Chironomidae larvae,17.6,0.000164,From diet study data. Carbon weight = wet weight (440ug) *.04
Chironomid,,,Chironomidae pupae,,,
Cladoceran,,,Chydorus spp,1,0.0000301,Use other cladoceran value
Cladoceran,Cladocera_UnID Adult,OTHCLADO,Cladocera adult,1,0.0000301,
Cladoceran,,,Cladocera nauplii,0.1,0.0000024,Copepod nauplii value. 
Copepod nauplii,Copepoda_UnID Larva,COPNAUP,Copepod nauplius,0.1,0.0000024,
Copepod nauplii,,,Copepodid UNID nauplii,0.1,0.0000024,
Amphipod,,,Corophiidae juvenile,NA,,Use LW
Other,Decapoda_UnID Larva,CRABZOEA,Crab zoea,3,0.0000296,
Cumacean,,,Cumacean,13.2,0.0003307,Use Nippoleucon value
Cumacean,,,Cumella vulgaris,13.2,0.0003307,Cumacean. Use Nippoleucon value
Cyclopoid Copepod,,,Cyclopoid UNID copepodite,1.6,0.0000137,
Cyclopoid Copepod,,,Cyclopoida,3.3,0.0000444,
Cyclopoid Copepod,Cyclopoida_UnID Adult,OTHCYCAD,Cyclopoida Adult,3.3,0.0000444,
Cyclopoid Copepod,Cyclopoida_UnID Juvenile,OTHCYCJUV,Cyclopoida Juvenile,1.6,0.0000137,
Copepod nauplii,,,Cyclopoida nauplius,0.1,0.0000024,
Cladoceran,Daphnia_UnID Adult,DAPHNIA,Daphnia spp,4,0.0000504,
Cladoceran,Diaphanosoma_UnID Adult,DIAPHAN,Diaphanosoma spp,1,0.0000283,
Cladoceran,Diaptomidae_UnID Adult,DIAPTOM,Diaptomidae adult,4,0.0000733,
Cladoceran,Diaptomidae_UnID Juvenile,DIAPTJUV,Diaptomidae copepodite,2,0.0000114,
Insect,,,Elmidae,NA,NA,Beetle. Don't include. Not in diets and limited zoop. Mention as caveat
Rotifer,,,Euchlanis spp,0.1,0.0000036,
Cyclopoid Copepod,,,Eucyclops spp adult,3.3,0.0000444,Use other cyclopoid value
Cyclopoid Copepod,,,Eucyclops sp. adult,3.3,0.0000444,Use other cyclopoid value
Cyclopoid Copepod,,,Eurycercus spp,1,0.0000301,Use other cladoceran value
Calanoid Copepod,Eurytemora affinis Adult,EURYTEM,Eurytemora affinis adult,3,0.0000403,
Calanoid Copepod,Eurytemora affinis Juvenile,EURYJUV,Eurytemora affinis copepodid,1.4,0.0000101,
Calanoid Copepod,Eurytemora affinis Larva,EURYNAUP,Eurytemora affinis nauplius,0.1,0.0000018,
Copepod nauplii,Eurytemora_UnID Larva,,Eurytemora spp nauplii,0.1,0.0000018,
Amphipod,,,Gammaridea ,,,Use LW
Amphipod,,,Gammarus daiberi,,,Use LW
Other,,,Gastropod ,NA,NA,Don't include. Not in diets and limited zoop. Mention as caveat
Other,,,Gastropod veliger,NA,NA,Don't include. Not in diets and limited zoop. Mention as caveat
Isopod,,,Gnorimosphaeroma spp,,,Isopod
Harpaticoid,Harpacticoida_UnID Undifferentiated,HARPACT,Harpaticoida,1,0.0000227,
