"Study","Year","Month","Date","Site","Treatment","Cage ID","Tag","Fullness","Digestion","Total Contents Weight","Prey Taxa","LH Stage","Prey Taxa LH Stage","Count","Taxa Weight","Comments"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N13",2,5,0,"Cumacean",NA,"Cumacean",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N18",3,5,0,"Harpaticoida",NA,"Harpaticoida",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N18",3,5,0,"Americorophium spinicorne",NA,"Americorophium spinicorne",2,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N18",3,5,0,"Alona/Alonella sp.",NA,"Alona/Alonella",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N20",4,5,7e-04,"Americorophium spinicorne",NA,"Americorophium spinicorne",1,NA,"stomach cut missing about 1/2"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N20",4,5,7e-04,"Plant matter",NA,"Plant material",NA,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N20",4,5,7e-04,"Animal parts",NA,"Animal parts",NA,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N20",4,5,7e-04,"Harpaticoida",NA,"Harpaticoida",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N20",4,5,7e-04,"Acanthocyclops sp.","copepodid","Acanthocyclops copepodid",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N20",4,5,7e-04,"Calanoida",NA,"Calanoida",1,NA,"digested"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N20",4,5,7e-04,"Limnoithona sp.","adult","Limnoithona adult",14,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N20",4,5,7e-04,"Pseudodiaptomus forbesi","adult","Pseudodiaptomus forbesi adult",4,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N20",4,5,7e-04,"Acartiella sinensis","adult","Acartiella sinensis adult",6,NA,"keyed out, confirmed by Jeff Cordell"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N22",5,5,0,"Acanthocyclops sp.","adult","Acanthocyclops adult",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N22",5,5,0,"Sphaeromatidae",NA,"Sphaeromatidae",1,NA,"Isopoda"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N22",5,5,0,"Gammaridea",NA,"Gammaridea",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N22",5,5,0,"Americorophium spinicorne",NA,"Americorophium spinicorne",3,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N22",5,5,0,"Bivalvia",NA,"Bivalvia",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N22",5,5,0,"Plant matter",NA,"Plant material",NA,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N22",5,5,0,"Cumacean",NA,"Cumacean",1,NA,"just head"
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"5","C6N24",2,6,0,"Limnoithona sp.","adult","Limnoithona adult",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N4",5,5,4e-04,"Gammaridea",NA,"Gammaridea",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N4",5,5,4e-04,"Limnoithona sp.","adult","Limnoithona adult",2,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N4",5,5,4e-04,"Cumacean",NA,"Cumacean",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N6",5,5,6e-04,"Americorophium spinicorne",NA,"Americorophium spinicorne",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N6",5,5,6e-04,"Cumacean",NA,"Cumacean",2,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N6",5,5,6e-04,"Corophiidae","juvenile","Corophiidae juvenile",1,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N6",5,5,6e-04,"Limnoithona sp.","adult","Limnoithona adult",4,NA,NA
"SMSCG","2024","9",2024-09-25,"Montezuma",NA,"8","C8N6",5,5,6e-04,"Animal parts",NA,"Animal parts",NA,NA,NA
