"project","SAM_code","samp_id","station","date","time","net_size_um","high_algae","high_detritus","high_silt","no_micro_tally","no_meso_tally","samp_num","tow","id_by","scope","mag","id_date","num_of_jars","num_of_vials","category","taxon","count","subsample","v1_ml","sub1_ml","v2_ml","sub2_ml","vsed_ml","comments"
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Asplanchna",362,1,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Bdelloid",2,1,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Brachionus",17,1,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Cephalodella",0,0,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Conochilus",4,1,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Euchlanis",1,1,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Keratella",0,0,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lecane",0,0,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lepadella",1,1,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Monostyla",0,0,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Platyias",2,1,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Polyarthra",0,0,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Synchaeta",2,1,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Testudinella",0,0,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Trichocerca",0,0,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Trichotria",0,0,90,5,90,13,9,""
"SMELT STUDY","","20220208_1152_RIO VISTA_ZOOP150","RIO VISTA",2022-02-08,"11:52","150",TRUE,FALSE,TRUE,TRUE,TRUE,31,NA,"BSA","wilovert","100x",2022-07-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Copepod nauplii",10,1,90,5,90,13,9,""
