"Study","Year","Date","Site","Treatment","Cage","Tag","Fullness","Digestion","Total Contents Weight","Taxon","Count","Taxa Weight","Comments"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N13",2,5,0,"Cumacean",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N18",3,5,0,"Harpacticoida",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N18",3,5,0,"Americorophium spinicorne",2,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N18",3,5,0,"Alona/Alonella",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N20",4,5,7e-04,"Americorophium spinicorne",1,NA,"stomach cut missing about 1/2"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N20",4,5,7e-04,"Plant material",NA,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N20",4,5,7e-04,"Animal parts",NA,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N20",4,5,7e-04,"Harpacticoida",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N20",4,5,7e-04,"Acanthocyclops copepodid",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N20",4,5,7e-04,"Calanoida",1,NA,"digested"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N20",4,5,7e-04,"Limnoithona adult",14,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N20",4,5,7e-04,"Pseudodiaptomus forbesi adult",4,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N20",4,5,7e-04,"Acartiella sinensis adult",6,NA,"keyed out, confirmed by Jeff Cordell"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N22",5,5,0,"Acanthocyclops adult",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N22",5,5,0,"Sphaeromatidae",1,NA,"Isopoda"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N22",5,5,0,"Gammaridae",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N22",5,5,0,"Americorophium spinicorne",3,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N22",5,5,0,"Bivalvia",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N22",5,5,0,"Plant material",NA,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N22",5,5,0,"Cumacean",1,NA,"just head"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N24",2,6,0,"Limnoithona adult",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N4",5,5,4e-04,"Gammaridae",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N4",5,5,4e-04,"Limnoithona adult",2,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N4",5,5,4e-04,"Cumacean",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N6",5,5,6e-04,"Americorophium spinicorne",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N6",5,5,6e-04,"Cumacean",2,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N6",5,5,6e-04,"Corophiidae juvenile",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N6",5,5,6e-04,"Limnoithona adult",4,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N6",5,5,6e-04,"Animal parts",NA,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N1",6,2,0.0119,"Pseudodiaptomus forbesi adult",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N1",6,2,0.0119,"Detritis",NA,NA,"mostly this"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N9",3,2,5e-04,"Harpacticoida",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N9",3,2,5e-04,"Detritis",NA,NA,"Mostly this"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"8","C8N14",3,5,0,"Corophiidae parts (head)",1,NA,"Stomach cut strangly, missing parts"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N31",5,3,0.001,"Pseudodiaptomus forbesi adult",3,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N31",5,3,0.001,"Cladocera",1,NA,"carapace only"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N31",5,3,0.001,"Sinocalanus adult",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N31",5,3,0.001,"Plant material",NA,NA,"detritis"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N46",1,1,0,"Empty",0,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N49",1,1,0.0021,"Gammaridae",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N49",1,1,0.0021,"Corophiidae juvenile",4,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N49",1,1,0.0021,"Pseudodiaptomus forbesi adult",2,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N49",1,1,0.0021,"Acanthocyclops copepodid",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N49",1,1,0.0021,"Halicyclops adult",1,NA,"Keyed"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N35",3,5,0,"Cumacean",1,NA,"3/4 of body"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N35",3,5,0,"Limnoithona adult",2,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N35",3,5,0,"Plant material",NA,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"6","C5N35",3,5,0,"Detritis",NA,NA,"dirt?"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N10",2,2,0,"Insect parts",NA,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N11",1,1,0,"Empty",0,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N2",2,2,0,"Animal parts",NA,NA,"legs"
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N12",4,3,0.0016,"Corophiidae juvenile",2,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N16",4,5,4e-04,"Americorophium",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N16",4,5,4e-04,"Limnoithona adult",1,NA,NA
"SMSCG",2024,2024-09-25,"Suisun Marsh",NA,"5","C6N16",4,5,4e-04,"Cumacean",1,NA,NA
