"Study","Site","Date","Cage","SampleType","FlowMeterStart","FlowMeterEnd","Rotations","VolumeSampled","TotalVolume","SubsampledVolume","Taxon","Count","AdjCount","CPUE"
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,0.4,"Rotifer",149,41720,12773.0716224015
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,0.4,"Barnacle nauplii",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,0.4,"Copepod nauplii",191,53480,16373.5347642864
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,0.4,"Ostracoda",1,280,85.7253129020232
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Acanthocyclops adult",1,20.7407407407407,6.35002317792765
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Acanthocyclops copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Cyclopoida adult",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Cyclopoida copepodid",94,1949.62962962963,596.902178725199
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Diacyclops thomasi",1,20.7407407407407,6.35002317792765
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Ectocyclops phaleratus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Eucyclops elegans",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Eucyclops",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Limnoithona copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Limnoithona sinensis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Limnoithona",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Limnoithona tetraspina",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Mesocyclops edax",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Macrocyclops albidus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Microcyclops rubellus",3,62.2222222222222,19.0500695337829
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Monospilus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Oithona copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Oithona davisae",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Oithona similis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Oithona",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Paracyclops chiltoni",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Acartia copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Acartia",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Acartiella copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Acartiella sinensis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Calanoida copepodid",7,145.185185185185,44.4501622454935
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Diaptomus copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Diaptomus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Eurytemora carolleeae adult",1,20.7407407407407,6.35002317792765
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Eurytemora carolleeae copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Osphranticum copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Osphranticum labronectum",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Pseudodiaptomus forbesi adult",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Pseudodiaptomus forbesi copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Sinocalanus doerrii adult",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Sinocalanus doerrii copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Skistodiaptomus pallidus",5,103.703703703704,31.7501158896382
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Tortanus copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Tortanus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Alona",1,20.7407407407407,6.35002317792765
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Alonella",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Bosmina",38,788.148148148148,241.300880761251
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Camptocercus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Ceriodaphnia",29,601.481481481481,184.150672159902
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Chydorus",16,331.851851851852,101.600370846842
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Daphnia",10,207.407407407407,63.5002317792765
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Diaphanosoma",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Disparalona",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Eurycercus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Graptoleberis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Ilyocryptus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Kurzia",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Leydigia",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Macrothrix",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Moina",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Monospilus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Picripleuroxus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Pleuroxus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Pseudochydorus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Scapholeberis",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Sida",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Simocephalus",7,145.185185185185,44.4501622454935
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Harpacticoida",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Americorophium",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Annelida",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Bivalvia",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Gastropoda",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Bivalvia",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Corophium",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Cumacean",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Fish",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Fish eggs",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Gammarus",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Insecta larvae",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Isopod",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Larval Fish",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Mysid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Shrimp",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-24,NA,"Tow",970000,970289,289,3.26624646234906,112,5.4,"Gastropoda",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,0.2,"Rotifer",80,30000,2989.21518203242
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,0.2,"Barnacle nauplii",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,0.2,"Copepod nauplii",241,90375,9005.01073587267
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,0.2,"Ostracoda",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Acanthocyclops adult",6,250,24.9101265169368
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Acanthocyclops copepodid",0,0,0
"Enclosure Prototype","Rio Vista",2019-01-29,NA,"Tow",971100,971988,888,10.036079095384,75,1.8,"Cyclopoida adult",0,0,0
