"","x"
"1","Americorophium spinicorne"
"2","Gammarus daiberi"
"3","Gnorimosphaeroma spp"
"4","Munnidae"
"5","Tanaidacea"
"6","No amphipod or insects"
"7","Americorophium spp"
"8","Crab Zoea"
"9","Hyalella spp"
"10","Hydrachnidae"
"11","Trichoptera adult UNID"
"12","Chironomidae larvae"
"13","Hydroptilidae larvae"
"14","Naididae"
"15","Leptoceridae larvae"
"16","Chironomidae pupae"
"17","Elmidae"
"18","Gastropod"
"19","Hydroptilidae pupae"
"20","Ostracod"
"21","Polycentropodidae larvae"
"22","Turbellaria"
