"","Study","Site","Pre_Date","Post_Date","Subsample","Treatment","Cage","FishID","Tag","Pre_FL_mm","Post_FL_mm","Lab_FL_mm","Pre_Weight_g","Post_Weight_g","Lab_Weight_g","Pre_CF","Post_CF","Lab_CF","Lab_LiverWeight_g","Lab_HSI","Glycogen","Post_CTM","CTM_Recovered","Comments"
"1","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN1",NA,NA,51,NA,NA,1.34,NA,NA,1.01016954263443,NA,NA,NA,NA,NA,NA,"Left in net, do not use for glycogen Processed 50 fish, left 19 for CTM"
"2","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN2",NA,NA,58,NA,NA,1.52,NA,NA,0.779039731026282,NA,NA,NA,NA,NA,NA,"Very skinny fish NA"
"3","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN3",NA,NA,63,61,NA,1.89,1.8263,NA,0.755857898715041,0.804604790709354,0.021,1.14986584898429,14.3747760620276,NA,NA,"LOE NA"
"4","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN4",NA,NA,55,NA,NA,1.13,NA,NA,0.679188580015026,NA,NA,NA,NA,NA,NA,"LOE NA"
"5","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN5",NA,NA,62,NA,NA,1.67,NA,NA,0.700714981034541,NA,NA,NA,NA,NA,NA,"LOE NA"
"6","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN6",NA,NA,54,55,NA,1.32,1.2376,NA,0.838286846517299,0.743861758076634,0.0175,1.41402714932127,20.883219700394,NA,NA,"LOE NA"
"7","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN7",NA,NA,59,63,NA,1.54,1.512,NA,0.749833235140886,0.604686318972033,0.0203,1.34259259259259,11.5503086321001,NA,NA,"Very skinny fish NA"
"8","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN8",NA,NA,57,NA,NA,1.6,NA,NA,0.863963540738581,NA,NA,NA,NA,NA,NA,"Very skinny fish NA"
"9","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN9",NA,NA,45,46,NA,0.65,0.6134,NA,0.713305898491084,0.630188214021533,0.0175,2.85295076622106,1.65115086934374,NA,NA,"sat on floor, don't use for glycogen NA"
"10","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN10",NA,NA,63,63,NA,1.7,1.6349,NA,0.679872184029402,0.653837078629218,0.0215,1.31506514159887,26.4865173361199,NA,NA,"died in bucket. cage 1 fish accidentally place in ""C2"" foil NA"
"11","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN11",NA,NA,59,NA,NA,1.66,NA,NA,0.808261798918098,NA,NA,NA,NA,NA,NA,"died in bucket. cage 1 fish accidentally place in ""C2"" foil NA"
"12","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN12",NA,NA,59,61,NA,1.6,1.52,NA,0.779047517029492,0.669659575030509,0.0176,1.15789473684211,17.0090850331215,NA,NA,"died in haulout. length estimated, fish was squished. cage 1 fish accidentally place in ""C2"" foil NA"
"13","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN13",NA,NA,57,NA,NA,1.35,NA,NA,0.728969237498178,NA,NA,NA,NA,NA,NA,"died in bucket. cage 1 fish accidentally place in ""C2"" foil NA"
"14","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN14",NA,NA,56,NA,NA,1.19,NA,NA,0.677614795918367,NA,NA,NA,NA,NA,NA,"cage 1 fish accidentally place in ""C2"" foil NA"
"15","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN15",NA,NA,58,61,NA,1.54,1.4696,NA,0.789290253802944,0.647455073332129,0.0172,1.17038649972782,19.1515228978048,NA,NA,"cage 1 fish accidentally place in ""C2"" foil NA"
"16","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN16",NA,NA,56,58,NA,1.28,1.2231,NA,0.728862973760933,0.626870720406741,0.0142,1.16098438394244,5.34865085077023,NA,NA,"Very skinny fish NA"
"17","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN17",NA,NA,53,55,NA,1.13,1.0694,NA,0.7590158318612,0.642764838467318,0.0103,0.963156910417056,16.401973169606,NA,NA,"LOE NA"
"18","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN18",NA,NA,52,59,NA,1.02,1.2849,NA,0.725421028675467,0.625623846644496,0.014,1.08957895556074,18.811064526927,NA,NA,"Smashed by net during haulout. length estimated NA"
"19","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN19",NA,NA,57,59,NA,1.51,1.4503,NA,0.815365591572036,0.70615788371742,0.0165,1.13769564917603,23.1067906318599,NA,NA,"Very skinny fish NA"
"20","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN20",NA,NA,60,61,NA,1.35,1.2787,NA,0.625,0.563351117494416,0.0233,1.82216313443341,5.77544775688251,NA,NA,"Tiny NA"
"21","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN21",NA,NA,45,NA,NA,0.65,NA,NA,0.713305898491084,NA,NA,NA,NA,NA,NA,"Verify weight - data sheet says 0.20. Weight estimated at 1.20 based on expected value and field notes NA"
"22","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN22",NA,NA,50,NA,NA,0.71,NA,NA,0.568,NA,NA,NA,NA,NA,NA,"LOE NA"
"23","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN23",NA,NA,59,NA,NA,1.64,NA,NA,0.798523704955229,NA,NA,NA,NA,NA,NA,"LOE NA"
"24","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN24",NA,NA,68,NA,NA,2.49,NA,NA,0.791904131894972,NA,NA,NA,NA,NA,NA,"Dead in bucket NA"
"25","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN25",NA,NA,56,56,NA,1.27,1.1425,NA,0.723168731778426,0.650567146501458,0.0121,1.05908096280088,8.98868090489993,NA,NA,"Dead in bucket NA"
"26","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN26",NA,NA,66,67,NA,2.34,2.1926,NA,0.813924367643376,0.729012544761157,0.0263,1.1994891909149,13.9665718565354,NA,NA,"Dead in bucket NA"
"27","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN27",NA,NA,60,NA,NA,1.9,NA,NA,0.87962962962963,NA,NA,NA,NA,NA,NA,"Dead in bucket NA"
"28","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN28",NA,NA,61,NA,NA,1.76,NA,NA,0.775395297403747,NA,NA,NA,NA,NA,NA,"Dead in bucket NA"
"29","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN29",NA,NA,60,58,NA,1.48,1.4025,NA,0.685185185185185,0.718817909713395,0.0116,0.827094474153298,14.642685448004,NA,NA,"Dead in bucket NA"
"30","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN30",NA,NA,63,NA,NA,1.51,NA,NA,0.603886469343763,NA,NA,NA,NA,NA,NA,"Dead in bucket NA"
"31","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN31",NA,NA,69,67,NA,3.09,2.8944,NA,0.940613499173538,0.962352417019381,0.0363,1.25414593698176,23.17609275858,NA,NA,"Dead in bucket NA"
"32","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN32",NA,NA,47,NA,NA,0.83,NA,NA,0.799437504213902,NA,NA,NA,NA,NA,NA,"Dead in bucket NA"
"33","SMSCG","FCCL",NA,"2024-09-26",NA,NA,"Control","2024_SMS_FCCLN33",NA,NA,58,59,NA,1.39,1.3242,NA,0.712411332977982,0.644759201281533,0.0136,1.02703519105875,15.7794027333959,NA,NA,"Dead in bucket NA"
