Taxon,Life History Stage,Taxonomic level,Class_Subclass,Order,Family,Genus,Species
Acanthocyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,
Acanthocyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,
Acanthocyclops copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,
Acanthocyclops vernalis adult,Adult,Species,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops vernalis
Acanthocyclops vernalis copepodid,Juvenile,Species,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops vernalis
Acari,Undifferentiated,Subclass,,,,,
Acartia,Undifferentiated,Genus,Copepoda,Calanoida,Acartiidae,Acartia,
Acartia copepodid,Juvenile,Genus,Copepoda,Calanoida,Acartiidae,Acartia,
Acartiella copepodid,Juvenile,Genus,Copepoda,Calanoida,Acartiidae,Acartiella,
Acartiella sinensis,Undifferentiated,Species,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis
Acartiella sinensis adult,Adult,Species,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis
Alona,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Alona,
Alona/Alonella,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,,
Alonella,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Alonella,
Americorophium,Undifferentiated,Genus,Malacostraca,Amphipoda,Corophiidae,Americorophium,
Americorophium juvenile,Juvenile,Genus,Malacostraca,Amphipoda,Corophiidae,Americorophium,
Americorophium spinicorne,Undifferentiated,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne
Americorophium spinicorne adult,Adult,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne
Americorophium spinicorne juvenile,Juvenile,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne
Amphipoda,Undifferentiated,Order,Malacostraca,Amphipoda,,,
Amphipoda parts,Undifferentiated,Order,Malacostraca,Amphipoda,,,
Anchistropus,Undifferentiated,Genus,Branchiopoda,Diplostraca,Chydoridae,Anchistropus,
Animal parts,Undifferentiated,NA,,,,,
Annelida,Undifferentiated,Phylum,,,,,
Aphididae (winged) adult,Adult,Family,Insecta,Hemiptera,Aphididae,,
Arthropoda parts,Undifferentiated,Phylum,,,,,
