Taxon,Life_History_Stage,Taxonomic level,Class,Order,Family,Genus,Species,Analy
Acanthocyclops,Undifferentiated,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,,Acanthocyclops
Acanthocyclops adult,Adult,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,,Acanthocyclops
Acanthocyclops copepodid,Juvenile,Genus,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,,Acanthocyclops
Acari,Undifferentiated,Subclass,Acari,,,,,Other
Acartia,Undifferentiated,Genus,Copepoda,Calanoida,Acartiidae,Acartia,,Calanoid other
Acartia copepodid,Juvenile,Genus,Copepoda,Calanoida,Acartiidae,Acartia,,Calanoid other
Acartiella copepodid,Juvenile,Genus,Copepoda,Calanoida,Acartiidae,Acartiella,,Calanoid other
Acartiella sinensis,Undifferentiated,Species,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis,Calanoid other
Acartiella sinensis adult,Adult,Species,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis,Calanoid other
Alona,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Alona,,Cladocera
Alona/Alonella,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,,,Cladocera
Alonella,Undifferentiated,Genus,Branchiopoda,Cladocera,Chydoridae,Alonella,,Cladocera
Americorophium,Undifferentiated,Genus,Malacostraca,Amphipoda,Corophiidae,Americorophium,,Amphipoda
Americorophium juvenile,Juvenile,Genus,Malacostraca,Amphipoda,Corophiidae,Americorophium,,Amphipoda
Americorophium spinicorne,Undifferentiated,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Amphipoda
Americorophium spinicorne adult,Adult,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Amphipoda
Americorophium spinicorne juvenile,Juvenile,Species,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Amphipoda
Amphipoda,Undifferentiated,Order,Malacostraca,Amphipoda,,,,Amphipoda
Amphipoda parts,Undifferentiated,Order,Malacostraca,Amphipoda,,,,Amphipoda
Anchistropus,Undifferentiated,Genus,Branchiopoda,Diplostraca,Chydoridae,Anchistropus,,Cladocera
Animal parts,Undifferentiated,NA,,,,,,Other
Annelida,Undifferentiated,Phylum,,,,,,Other
Aphididae (winged) adult,Adult,Family,Insecta,Hemiptera,Aphididae,,,Other
Arthropoda parts,Undifferentiated,Phylum,,,,,,Other
Asplanchna,Undifferentiated,Genus,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,,Rotifer
Barnacle nauplii,Larva,Class,Cirripedia,,,,,Other
Bivalvia,Undifferentiated,Class,Bivalvia,,,,,Other
Bivalvia juvenile,Juvenile,Class,Bivalvia,,,,,Other
Bivalvia veliger,Larva,Class,Bivalvia,,,,,Other
Bosmina,Undifferentiated,Genus,Branchiopoda,Cladocera,Bosminidae,Bosmina,,Cladocera
Brachionus,Undifferentiated,Genus,Eurotatoria,Ploima,Brachionidae,Brachionus,,Rotifer
Calanoida,Undifferentiated,Order,Copepoda,Calanoida,,,,Calanoid other
Calanoida adult,Adult,Order,Copepoda,Calanoida,,,,Calanoid other
Calanoida copepodid,Juvenile,Order,Copepoda,Calanoida,,,,Calanoid other
Calanoida nauplii,Larva,Order,Copepoda,Calanoida,,,,Calanoid other
Camptocercus,Undifferentiated,Genus,Branchiopoda,Diplostraca,Eurycercidae,Camptocercus,,Cladocera
Ceriodaphnia,Undifferentiated,Genus,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia,,Cladocera
