"Site","Cage","InsideOutside","Treatment","StartDate","Starting_Weight","EndDate","Ending_Weight","difference","DiffPerDay"
"Rio Vista","Cage 1","inside","Exchanged",2023-10-04,74.7,2023-10-11,64.5,10.2,1.45714285714286
"Rio Vista","Cage 1","outside","External",2023-10-04,81.39,2023-10-11,69,12.39,1.77
"Rio Vista","Cage 2","outside","External",2023-10-04,66.9,2023-10-11,46.7,20.2,2.88571428571429
"Rio Vista","Cage 2","inside","Scrubbed",2023-10-04,73.64,2023-10-11,65.4,8.24,1.17714285714286
"Rio Vista","Cage 3","inside","Exchanged",2023-10-04,66.56,2023-10-11,58.6,7.96,1.13714285714286
"Rio Vista","Cage 3","outside","External",2023-10-04,72.19,2023-10-11,56.8,15.39,2.19857142857143
"Rio Vista","Cage 4","outside","External",2023-10-04,76.11,2023-10-11,50.4,25.71,3.67285714285714
"Rio Vista","Cage 4","inside","Scrubbed",2023-10-04,75.4,2023-10-11,67.4,8,1.14285714285714
"Suisun Marsh","Cage 5","outside","External",2023-10-04,87.88,2023-10-10,67.8,20.08,3.34666666666667
"Suisun Marsh","Cage 5","inside","Exchanged",2023-10-04,70.02,2023-10-10,59.5,10.52,1.75333333333333
"Suisun Marsh","Cage 6","outside","External",2023-10-04,72.06,2023-10-10,45.23,26.83,4.47166666666667
"Suisun Marsh","Cage 6","inside","Scrubbed",2023-10-04,65.3,2023-10-10,57.3,8,1.33333333333333
"Suisun Marsh","Cage 7","outside","External",2023-10-04,67.47,2023-10-10,50.4,17.07,2.845
"Suisun Marsh","Cage 7","inside","Exchanged",2023-10-04,70.61,2023-10-10,61,9.61,1.60166666666667
"Suisun Marsh","Cage 8","inside","Scrubbed",2023-10-04,80.29,2023-10-10,68.2,12.09,2.015
"Suisun Marsh","Cage 8","outside","External",2023-10-04,90.18,2023-10-10,61.9,28.28,4.71333333333333
