Diet,Zooplankton,Amphipod,Analy
Acanthocyclops sp.,,,Cyclopoid_other
Americorophium spinicorne,,Americorophium spinicorne,Corophiidae
Amphipoda,,,Amphipoda
Amphipoda parts,,,other
Animal parts,,,other
Aphididae (winged),,,Insect
Calanoida,,,Calanoid_other
Chironomidae,Chironomidae larvae,Chironomidae larvae,Insect
Copepod,,,other
Corophiidae,Americorophium spp,Americorophium spp,Corophiidae
Cumacean,,,Cumacean
Cumella vulgaris,,,Cumacean
Cyclopoida,Cyclopoid UNID copepodite,,Cyclopoid_other
Egg,,,other
Eucyclops sp.,,,Cyclopoid_other
Eurytemora affinis,Eurytemora spp nauplii,,Eurytemora affinis
Gammaridea,Gammarus daiberi,Gammarus daiberi,Gammaridea
Harpaticoida,Harpaticoid,,other
Hyalella azteca,Hyalella spp,Hyalella spp,Hyalella
ilyocryptus sp.,Ilyocryptus spp,,Cladocera
Limnoithona tetraspina,Limnoithona tetraspina adult,,Limnoithona
Macrocyclops sp.,,,Cyclopoid_other
Nippoleucon hinumensis,,,Cumacean
Plant matter,,,other
Plant/Algae matter,,,other
Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,,Pseudodiaptomus forbesi
Simocephalus sp.,,,Cladocera
Tanaidacea,,Tanaidacea,other
,,Gnorimosphaeroma spp,Isopoda
,,Munnidae,Isopoda
,Crab zoea,Crab Zoea,other
,Hydrachnidae,Hydrachnidae,other
,UNID Insect adult,Trichoptera adult UNID,Insect
,,Hydroptilidae larvae,Insect
,,Naididae,Annelida
,,Leptoceridae larvae,Insect
,,Chironomidae pupae,Insect
,,Elmidae,Insect
,Gastropod,Gastropod,Gastropod
,,Hydroptilidae pupae,Insect
,Ostracod,Ostracod,Ostracod
,,Polycentropodidae larvae,Insect
,Turbellaria,Turbellaria,other
,Acartiella sinensis adult,,Calanoid_other
,Alona spp,,Cladocera
,Asplanchna spp,,Rotifer
,Barnacle nauplii,,other
,Bivalve,,other
,Bivalve veliger,,other
,Bosmina spp,,Cladocera
,Brachionus spp,,Rotifer
,Ceriodaphnia spp,,Cladocera
,Chydorus spp,,Cladocera
,Cladocera nauplii,,Cladocera
,Copepodid UNID nauplii,,Copepod nauplii
,Diaphanosoma spp,,Cladocera
,Diaptomidae copepodite,,Calanoid_other
,Euchlanis spp,,Rotifer
,Eucyclops spp adult,,Cyclopoid_other
,Eurycercus spp,,Rotifer
,Gastropod veliger,,Gastropod
,Insect larvae,,Insect
,Keratella spp,,Rotifer
,Lecane spp,,Rotifer
,Leydigia spp,,Rotifer
,Limnoithona sinensis adult,,Limnoithona
,Limnoithona spp copepodite,,Limnoithona
,Microcyclops spp adult,,Cyclopoid_other
,Monospilus spp,,Rotifer
,Nematoda,,other
,Notholca spp,,Rotifer
,Plationus spp,,Rotifer
,Platyias spp,,Rotifer
,Polyarthra spp,,Rotifer
,Annelida,,Annelida
,Polychaete larvae,,Annelida
,Pseudodiaptomus forbesi copepodite,,Pseudodiaptomus forbesi
,Pseudodiaptomus spp nauplii,,Copepod nauplii
,Rotifer UNID,,Rotifer
,Simocephalus spp,,Cladocera
,Sinocalanus spp nauplii,,Cladocera
,Tanaidacea,,other
,Tardigrada,,other
,Testudinella spp,,Rotifer
,Trichocerca spp,,Rotifer
,Trichotria spp,,Rotifer
