EMP_Code,Diet,Zooplankton,Amphipod,Analy
,Amphipoda,,,Amphipoda
,,Annelida,,Annelida
,,Polychaete larvae,,Annelida
,,,Naididae,Annelida
ACARTELA,,Acartiella sinensis adult,,Calanoid_other
CALJUV,,Diaptomidae copepodite,,Calanoid_other
ACARJUV,,,,Calanoid_other
ACARTIA,,,,Calanoid_other
DIAPTJUV,,,,Calanoid_other
DIAPTOM,Calanoida,,,Calanoid_other
,,Alona spp,,Cladocera
BOSMINA,,Bosmina spp,,Cladocera
,,Ceriodaphnia spp,,Cladocera
OTHCLADO,,Chydorus spp,,Cladocera
,,Cladocera nauplii,,Cladocera
DIAPHAN,,Diaphanosoma spp,,Cladocera
SINONAUP,ilyocryptus sp.,Ilyocryptus spp,,Cladocera
SINOCALJUV,,Simocephalus spp,,Cladocera
SINOCAL,,Sinocalanus spp nauplii,,Cladocera
,Simocephalus sp.,,,Cladocera
COPNAUP,,Copepodid UNID nauplii,,Copepod nauplii
,,,,Copepod nauplii
,Corophiidae,Americorophium spp,Americorophium spp,Corophiidae
,Americorophium spinicorne,,Americorophium spinicorne,Corophiidae
,Cumacean,,,Cumacean
,Cumella vulgaris,,,Cumacean
,Nippoleucon hinumensis,,,Cumacean
,Cyclopoida,Cyclopoid UNID copepodite,,Cyclopoid_other
OTHCYCAD,,Eucyclops spp adult,,Cyclopoid_other
OTHCYCJUV,,Microcyclops spp adult,,Cyclopoid_other
ACANTHO,Acanthocyclops sp.,,,Cyclopoid_other
,Eucyclops sp.,,,Cyclopoid_other
,Macrocyclops sp.,,,Cyclopoid_other
EURYNAUP,Eurytemora affinis,Eurytemora spp nauplii,,Eurytemora affinis
EURYJUV,,,,Eurytemora affinis
EURYTEM,,,,Eurytemora affinis
,Gammaridea,Gammarus daiberi,Gammarus daiberi,Gammaridea
,,Gastropod,Gastropod,Gastropod
,,Gastropod veliger,,Gastropod
,Hyalella azteca,Hyalella spp,Hyalella spp,Hyalella
,Chironomidae,Chironomidae larvae,Chironomidae larvae,Insect
,,Insect larvae,,Insect
,,UNID Insect adult,Trichoptera adult UNID,Insect
,,,Chironomidae pupae,Insect
,,,Elmidae,Insect
,,,Hydroptilidae larvae,Insect
,,,Hydroptilidae pupae,Insect
,,,Leptoceridae larvae,Insect
,,,Polycentropodidae larvae,Insect
,Aphididae (winged),,,Insect
,,,Gnorimosphaeroma spp,Isopoda
,,,Munnidae,Isopoda
LIMNOSPP,,Limnoithona sinensis adult,,Limnoithona
LIMNOJUV,,Limnoithona spp copepodite,,Limnoithona
LIMNOTET,Limnoithona tetraspina,Limnoithona tetraspina adult,,Limnoithona
LIMNOSINE,,,,Limnoithona
,,Ostracod,Ostracod,Ostracod
BARNNAUP,,Barnacle nauplii,,other
,,Bivalve,,other
,,Bivalve veliger,,other
CRABZOEA,,Crab zoea,Crab Zoea,other
HARPACT,Harpaticoida,Harpaticoid,,other
,,Hydrachnidae,Hydrachnidae,other
ASINEJUV,,Nematoda,,other
OTHCALAD,,Tanaidacea,,other
DAPHNIA,,Tardigrada,,other
SYNCH,,Turbellaria,Turbellaria,other
TORTANUS,Tanaidacea,,Tanaidacea,other
TORTJUV,Amphipoda parts,,,other
OITHDAV,Animal parts,,,other
OITHSIM,Copepod,,,other
OITHSPP,Egg,,,other
OITHJUV,Plant matter,,,other
,Plant/Algae matter,,,other
PDIAPMAR,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,,Pseudodiaptomus forbesi
PDIAPFOR,,Pseudodiaptomus forbesi copepodite,,Pseudodiaptomus forbesi
PDIAPNAUP,,Pseudodiaptomus spp nauplii,,Pseudodiaptomus nauplii
PDIAPJUV,,,,Pseudodiaptomus forbesi
ASPLANCH,,Asplanchna spp,,Rotifer
,,Brachionus spp,,Rotifer
,,Euchlanis spp,,Rotifer
,,Eurycercus spp,,Rotifer
KERATELA,,Keratella spp,,Rotifer
,,Lecane spp,,Rotifer
,,Leydigia spp,,Rotifer
,,Monospilus spp,,Rotifer
,,Notholca spp,,Rotifer
,,Plationus spp,,Rotifer
,,Platyias spp,,Rotifer
POLYARTH,,Polyarthra spp,,Rotifer
,,Rotifer UNID,,Rotifer
,,Testudinella spp,,Rotifer
TRICHO,,Trichocerca spp,,Rotifer
OTHROT,,Trichotria spp,,Rotifer
