Acanthocyclops spp. adult,,,,,,,,,,,,,,,,Acanthocyclops spp. adult
Acanthocyclops spp. copepodid,,,,,,,,,,,,,,,,Acanthocyclops spp. copepodid
Acartia copepodid,,,,,,,,,,,,,,,,Acartia copepodid
Acartia spp.,,,,,,,,,,,,,,,,Acartia spp.
Acartiella copepodid,,,,,,,,,,,,,,,,Acartiella copepodid
Acartiella sinensis,,,,,,,,,,,,,,,,Acartiella sinensis
Alona,,,,,,,,,,,,,,,,Alona
Alonella,,,,,,,,,,,,,,,,Alonella
Amphipoda,,,,,,,,,,,,,,,,Amphipoda
Annelida,,,,,,,,,,,,,,,,Annelida
Arctodiaptomus dorsalis,,,,,,,,,,,,,,,,Arctodiaptomus dorsalis
Asplanchna,,,,,,,,,,,,,,,,Asplanchna
Bdelloid,,,,,,,,,,,,,,,,Bdelloid
Bivalvia veliger,,,,,,,,,,,,,,,,Bivalvia veliger
Bosmina,,,,,,,,,,,,,,,,Bosmina
Bosmina juvenile,,,,,,,,,,,,,,,,Bosmina juvenile
Brachionus,,,,,,,,,,,,,,,,Brachionus
Calanoid copepodid,,,,,,,,,,,,,,,,Calanoid copepodid
Camptocercus,,,,,,,,,,,,,,,,Camptocercus
Camptocercus juvenile,,,,,,,,,,,,,,,,Camptocercus juvenile
Cephalodella,,,,,,,,,,,,,,,,Cephalodella
Ceriodaphnia,,,,,,,,,,,,,,,,Ceriodaphnia
Ceriodaphnia juvenile,,,,,,,,,,,,,,,,Ceriodaphnia juvenile
Chydorus,,,,,,,,,,,,,,,,Chydorus
Cnidaria,,,,,,,,,,,,,,,,Cnidaria
Conochilus,,,,,,,,,,,,,,,,Conochilus
Copepod nauplii,,,,,,,,,,,,,,,,Copepod nauplii
Cumacean,,,,,,,,,,,,,,,,Cumacean
Cyclopoid adult,,,,,,,,,,,,,,,,Cyclopoid adult
Cyclopoid copepodid,,,,,,,,,,,,,,,,Cyclopoid copepodid
Daphnia,,,,,,,,,,,,,,,,Daphnia
Diacyclops thomasi,,,,,,,,,,,,,,,,Diacyclops thomasi
Diaphanosoma,,,,,,,,,,,,,,,,Diaphanosoma
Diaptomus copepodid,,,,,,,,,,,,,,,,Diaptomus copepodid
Diaptomus spp.,,,,,,,,,,,,,,,,Diaptomus spp.
Disparalona,,,,,,,,,,,,,,,,Disparalona
Ectocyclops phaleratus,,,,,,,,,,,,,,,,Ectocyclops phaleratus
Ergasilus spp.,,,,,,,,,,,,,,,,Ergasilus spp.
Euchlanis,,,,,,,,,,,,,,,,Euchlanis
Eucyclops pectinifer,,,,,,,,,,,,,,,,Eucyclops pectinifer
Eurycercus,,,,,,,,,,,,,,,,Eurycercus
Eurytemora affinis adult,,,,,,,,,,,,,,,,Eurytemora affinis adult
Eurytemora affinis copepodid,,,,,,,,,,,,,,,,Eurytemora affinis copepodid
Graptoleberis,,,,,,,,,,,,,,,,Graptoleberis
Harpacticoids,,,,,,,,,,,,,,,,Harpacticoids
Hydrachnidia,,,,,,,,,,,,,,,,Hydrachnidia
Ilyocryptus,,,,,,,,,,,,,,,,Ilyocryptus
Insect larvae,,,,,,,,,,,,,,,,Insect larvae
Isopoda,,,,,,,,,,,,,,,,Isopoda
Jellyfish,,,,,,,,,,,,,,,,Jellyfish
Keratella,,,,,,,,,,,,,,,,Keratella
Kurzia,,,,,,,,,,,,,,,,Kurzia
Larval fish,,,,,,,,,,,,,,,,Larval fish
Lecane,,,,,,,,,,,,,,,,Lecane
Lepadella,,,,,,,,,,,,,,,,Lepadella
Leptodiaptomus siciloides,,,,,,,,,,,,,,,,Leptodiaptomus siciloides
Leydigia,,,,,,,,,,,,,,,,Leydigia
Limnoithona copepodid,,,,,,,,,,,,,,,,Limnoithona copepodid
Limnoithona sinensis,,,,,,,,,,,,,,,,Limnoithona sinensis
Limnoithona spp.,,,,,,,,,,,,,,,,Limnoithona spp.
Limnoithona tetraspina,,,,,,,,,,,,,,,,Limnoithona tetraspina
Macrocyclops albidus,,,,,,,,,,,,,,,,Macrocyclops albidus
Macrothrix,,,,,,,,,,,,,,,,Macrothrix
Mesocyclops edax,,,,,,,,,,,,,,,,Mesocyclops edax
Microcyclops rubellus,,,,,,,,,,,,,,,,Microcyclops rubellus
Moina,,,,,,,,,,,,,,,,Moina
Mollusca larvae,,,,,,,,,,,,,,,,Mollusca larvae
Monospilus,,,,,,,,,,,,,,,,Monospilus
Monostyla,,,,,,,,,,,,,,,,Monostyla
Mysida,,,,,,,,,,,,,,,,Mysida
Nematoda,,,,,,,,,,,,,,,,Nematoda
Oithona copepodid,,,,,,,,,,,,,,,,Oithona copepodid
Oithona davisae,,,,,,,,,,,,,,,,Oithona davisae
Oithona similis,,,,,,,,,,,,,,,,Oithona similis
Oithona spp.,,,,,,,,,,,,,,,,Oithona spp.
Osphranticum copepodid,,,,,,,,,,,,,,,,Osphranticum copepodid
Osphranticum labronectum,,,,,,,,,,,,,,,,Osphranticum labronectum
Ostracods,,,,,,,,,,,,,,,,Ostracods
Paracyclops fimbriatus,,,,,,,,,,,,,,,,Paracyclops fimbriatus
Picripleuroxus,,,,,,,,,,,,,,,,Picripleuroxus
Platyias,,,,,,,,,,,,,,,,Platyias
Pleuroxus,,,,,,,,,,,,,,,,Pleuroxus
Polyarthra,,,,,,,,,,,,,,,,Polyarthra
Pseudochydorus,,,,,,,,,,,,,,,,Pseudochydorus
Pseudodiaptomus forbesi adult,,,,,,,,,,,,,,,,Pseudodiaptomus forbesi adult
Pseudodiaptomus forbesi copepodid,,,,,,,,,,,,,,,,Pseudodiaptomus forbesi copepodid
Scapholeberis,,,,,,,,,,,,,,,,Scapholeberis
Shrimp,,,,,,,,,,,,,,,,Shrimp
Sida,,,,,,,,,,,,,,,,Sida
Simocephalus,,,,,,,,,,,,,,,,Simocephalus
Sinocalanus doerrii adult,,,,,,,,,,,,,,,,Sinocalanus doerrii adult
Sinocalanus doerrii copepodid,,,,,,,,,,,,,,,,Sinocalanus doerrii copepodid
Skistodiaptomus pallidus,,,,,,,,,,,,,,,,Skistodiaptomus pallidus
Synchaeta,,,,,,,,,,,,,,,,Synchaeta
Tardigrada,,,,,,,,,,,,,,,,Tardigrada
Testudinella,,,,,,,,,,,,,,,,Testudinella
Tortanus copepodid,,,,,,,,,,,,,,,,Tortanus copepodid
Tortanus spp.,,,,,,,,,,,,,,,,Tortanus spp.
Trichocerca,,,,,,,,,,,,,,,,Trichocerca
Trichotria,,,,,,,,,,,,,,,,Trichotria
Tropocyclops,,,,,,,,,,,,,,,,Tropocyclops
