"","x"
"1","Asplanchna"
"2","Bdelloid"
"3","Brachionus"
"4","Cephalodella"
"5","Conochilus"
"6","Euchlanis"
"7","Keratella"
"8","Lecane"
"9","Lepadella"
"10","Monostyla"
"11","Platyias"
"12","Polyarthra"
"13","Synchaeta"
"14","Testudinella"
"15","Trichocerca"
"16","Trichotria"
"17","Copepod nauplii"
"18","Ostracods"
"19","Acanthocyclops spp. adult"
"20","Acanthocyclops spp. copepodid"
"21","Cyclopoid adult"
"22","Cyclopoid copepodid"
"23","Diacyclops thomasi"
"24","Ectocyclops phaleratus"
"25","Ergasilus spp."
"26","Eucyclops pectinifer"
"27","Limnoithona copepodid"
"28","Limnoithona sinensis"
"29","Limnoithona spp."
"30","Limnoithona tetraspina"
"31","Macrocyclops albidus"
"32","Mesocyclops edax"
"33","Microcyclops rubellus"
"34","Oithona copepodid"
"35","Oithona davisae"
"36","Oithona similis"
"37","Oithona spp."
"38","Paracyclops fimbriatus"
"39","Tropocyclops"
"40","Acartia copepodid"
"41","Acartia spp."
"42","Acartiella copepodid"
"43","Acartiella sinensis"
"44","Arctodiaptomus dorsalis"
"45","Calanoid copepodid"
"46","Diaptomus copepodid"
"47","Diaptomus spp."
"48","Eurytemora affinis adult"
"49","Eurytemora affinis copepodid"
"50","Leptodiaptomus siciloides"
"51","Osphranticum copepodid"
"52","Osphranticum labronectum"
"53","Pseudodiaptomus forbesi adult"
"54","Pseudodiaptomus forbesi copepodid"
"55","Sinocalanus doerrii adult"
"56","Sinocalanus doerrii copepodid"
"57","Skistodiaptomus pallidus"
"58","Tortanus copepodid"
"59","Tortanus spp."
"60","Alona"
"61","Alonella"
"62","Bosmina"
"63","Camptocercus"
"64","Camptocercus juvenile"
"65","Ceriodaphnia"
"66","Chydorus"
"67","Daphnia"
"68","Diaphanosoma"
"69","Disparalona"
"70","Eurycercus"
"71","Graptoleberis"
"72","Ilyocryptus"
"73","Kurzia"
"74","Leydigia"
"75","Macrothrix"
"76","Moina"
"77","Monospilus"
"78","Picripleuroxus"
"79","Pleuroxus"
"80","Pseudochydorus"
"81","Scapholeberis"
"82","Sida"
"83","Simocephalus"
"84","Bosmina juvenile"
"85","Ceriodaphnia juvenile"
"86","Harpacticoids"
"87","Amphipoda"
"88","Annelida"
"89","Bivalvia veliger"
"90","Cnidaria"
"91","Cumacean"
"92","Hydrachnidia"
"93","Insect larvae"
"94","Isopoda"
"95","Larval fish"
"96","Mollusca larvae"
"97","Mysida"
"98","Nematoda"
"99","Shrimp"
"100","Tardigrada"
"101","Jellyfish"
