ID,Mass
Acanthocyclops vernalis adult,3.36
Alona,1
Alonella,1
Bosmina,0.6
Calanoid copepodid,1.5
Camptocercus,1
Ceriodaphnia,1
Chydorus,1
Copepod nauplii,0.1
Cyclopoid copepodid,0.5
Daphnia,4
Diacyclops thomasi,3.36
Diaphanosoma,1
Eucyclops pectinifer,3.36
Eucyclops sp.,3.36
Eurycercus,1
Eurytemora affinis adult,3.068
Graptoleberis,1
Harpacticoids,1
Ilyocryptus,1
Limnoithona tetraspina,0.088663037
Macrothrix,1
Maeotias marginata (large),
Mesocyclops edax,1
Microcyclops rubellus,1
Monospilus,1
Ostracods,0.2
Paracyclops spp.,1
Pleuroxus,1
Pseudodiaptomus forbesi adult,2.662
Pseudodiaptomus forbesi copepodid,1.252
Rotifers,
Simocephalus,1
Sinocalanus doerrii adult,3.413
Tropocyclops prasinus,1
Tropocylcops prasinus,1
