"","Date","Survey","Gear Type","Region","Sub Region","Station Code","Latitude","Longitude","Forklength","Ad clip","VIE Color/Position","Type","Site","Notes","fishID","Distance","SiteType"
"1",2022-12-14,"FCCL","Lampara","Lower Sacramento","Lower Sacramento",NA,NA,NA,"NA","No","Left/Red/AD","Hard","Rio Vista",NA,"smelt 1",NA,"Hard Rio Vista"
"2",2023-01-07,"TFCF","Salvage","South Delta","South Delta",NA,37.8158189999999,-121.558995,"74","No","Left/Red/AD","Hard","Rio Vista",NA,"smelt 2",44989.2241218764,"Hard Rio Vista"
"3",2023-01-19,"Chipps","mid-water","Suisun Bay","Confluence","SB018N",38.047967,-121.909917,"68","No","Right/Orange/PD","Hard","Rio Vista",NA,"smelt 3",21331.6754206876,"Hard Rio Vista"
"4",2023-01-24,"EDSM","Kodiak","Suisun Bay","Mid-Suisun Bay","23-26-SB05",38.09372,-122.06003,"47","Yes","NA","Hard (Trailer)","Rio Vista",NA,"smelt 4",37389.8017126865,"Hard (Trailer) Rio Vista"
"5",2023-01-26,"EDSM","Kodiak","Cache Slough","Cache Slough Liberty Island","23-26-CS01",38.24503,-121.68277,"80","No","Left/Orange/AD","Hard","SDWSC",NA,"smelt 5",4139.51216287465,"Hard SDWSC"
"6",2023-01-27,"EDSM","Kodiak","Lower Sacramento","Sacramento River near Rio Vista","23-26-LSR04",38.1047,-121.69698,"56","No","Right/Orange/PD","Hard","Rio Vista",NA,"smelt 6",2409.6742653369,"Hard Rio Vista"
"7",2023-01-30,"EDSM","Kodiak","Lower Sacramento","Lower Sacramento River","23-27-LSR02",38.0842,-121.75161,"75","No","Right/Green/PD","Soft","SDWSC",NA,"smelt 7",20175.1172151574,"Soft SDWSC"
"8",2023-01-30,"EDSM","Kodiak","Suisun Bay","West Suisun Bay","23-27-SB02",38.05103,-122.0816,"65","No","Right/Orange/PD","Hard","Rio Vista",NA,"smelt 8",36707.6620919997,"Hard Rio Vista"
"9",2023-01-30,"EDSM","Kodiak","Suisun Bay","Mid-Suisun Bay","23-27-SB03",38.09763,-122.05392,"76","No","Left/Red/AD","Hard","Rio Vista",NA,"smelt 9",35335.049982476,"Hard Rio Vista"
"10",2023-01-31,"EDSM","Kodiak","Lower Sacramento","Sacramento River near Rio Vista","23-27-LSR01",38.10237,-121.71768,"76","No","Right/Green/PD","Soft","SDWSC",NA,"smelt 10",16682.1481475136,"Soft SDWSC"
"11",2023-02-01,"EDSM","Kodiak","Sac Deepwater Shipping Channel","Lower Sacramento River Shipping Channel","23-27-SSC01",38.3832,-121.6252,"72","No","Left/Orange/AD","Hard","SDWSC",NA,"smelt 11",12690.4988341869,"Hard SDWSC"
"12",2023-02-01,"EDSM","Kodiak","Sac Deepwater Shipping Channel","Lower Sacramento River Shipping Channel","23-27-SSC03",38.31136,-121.65266,"70","No","Left/Orange/AD","Hard","SDWSC",NA,"smelt 12",4134.34588481236,"Hard SDWSC"
"13",2023-02-01,"EDSM","Kodiak","Sac Deepwater Shipping Channel","Lower Sacramento River Shipping Channel","23-27-SSC03",38.31136,-121.65266,"67","No","Left/Orange/AD","Hard","SDWSC",NA,"smelt 13",4134.34588481236,"Hard SDWSC"
"14",2023-02-01,"EDSM","Kodiak","Sac Deepwater Shipping Channel","Lower Sacramento River Shipping Channel","23-27-SSC03",38.31136,-121.65266,"67","No","Left/Orange/AD","Hard","SDWSC",NA,"smelt 14",4134.34588481236,"Hard SDWSC"
"15",2023-02-02,"EDSM","Kodiak","Cache Slough Liberty Island","Cache Slough and Liberty Island","23-27-CS03",38.24341,-121.68595,"60","No","Left/Orange/AD","Hard","SDWSC",NA,"smelt 15",4624.92235949962,"Hard SDWSC"
"16",2023-02-03,"EDSM","Kodiak","Lower Sacramento","Lower Sacramento River","23-27-LSR05",38.0883,-121.74599,"61","No","Right/Green/PD","Soft","SDWSC",NA,"smelt 16",19477.0820309551,"Soft SDWSC"
"17",2023-02-03,"EDSM","Kodiak","Lower Sacramento","Lower Sacramento River","23-27-LSR05",38.0883,-121.74599,"65","No","Right/Green/PD","Soft","SDWSC",NA,"smelt 17",19477.0820309551,"Soft SDWSC"
"18",2023-02-03,"EDSM","Kodiak","Lower Sacramento","Lower Sacramento River","23-27-LSR05",38.0883,-121.74599,"73","No","Right/Green/PD","Soft","SDWSC",NA,"smelt 18",19477.0820309551,"Soft SDWSC"
"19",2023-02-07,"EDSM","Kodiak","Cache Slough Liberty Island","Cache Slough and Liberty Island","23-28-CS06",38.29108,-121.69297,"69","No","Left/Orange/AD","Hard","SDWSC",NA,"smelt 19",10144.678440937,"Hard SDWSC"
"20",2023-02-08,"SKT","Kodiak",NA,NA,"704",38.06780274,-121.7843073,"54","No","Right/Orange/PD","Hard","Rio Vista","*Confirmed Right/Orange/PD tag by SKT report 2/13/23","smelt 20",9912.98288619354,"Hard Rio Vista"
"21",2023-02-08,"SKT","Kodiak",NA,NA,"719",38.33363665,-121.6474706,"72","No","Left/Orange/AD","Hard","SDWSC",NA,"smelt 21",6715.57647468726,"Hard SDWSC"
"22",2023-02-08,"Skinner","Salvage","South Delta","South Delta",NA,37.825671,-121.596789,"73","No","Right/Orange/PD","Hard","Rio Vista",NA,"smelt 22",43770.8614976456,"Hard Rio Vista"
"23",2023-02-12,"TFCF","Salvage","South Delta","South Delta",NA,37.8158189999999,-121.558995,"63","No","Right/Orange/PD","Hard","Rio Vista",NA,"smelt 23",44989.2241218764,"Hard Rio Vista"
"24",2023-02-13,"TFCF","Salvage","South Delta","South Delta",NA,37.8158189999999,-121.558995,"69","No","Right/Orange/PD","Hard","Rio Vista",NA,"smelt 24",44989.2241218764,"Hard Rio Vista"
"25",2023-02-13,"TFCF","Salvage","South Delta","South Delta",NA,37.8158189999999,-121.558995,"59","No","Right/Orange/PD","Hard","Rio Vista",NA,"smelt 25",44989.2241218764,"Hard Rio Vista"
"26",2023-02-14,"TFCF","Salvage","South Delta","South Delta",NA,37.8158189999999,-121.558995,"63","No","Right/Orange/PD","Hard","Rio Vista",NA,"smelt 26",44989.2241218764,"Hard Rio Vista"
"27",2023-02-14,"EDSM","Kodiak","Suisun Bay","Confluence","23-29-SB07",38.04236,-121.8334,"79","No","Right/Green/PD","Soft","SDWSC",NA,"smelt 27",28953.8263896893,"Soft SDWSC"
"28",2023-02-15,"EDSM","Kodiak","Lower Sacramento","Sacramento River near Rio Vista","23-29-LSR06",38.12141,-121.70314,"76","No","Right/Green/PD","Soft","SDWSC",NA,"smelt 28",14227.7178007394,"Soft SDWSC"
"29",2023-02-17,"EDSM","Kodiak","Sac Deepwater Shipping Channel","lower sacramento River Shipping Channel","23-29-SSC03",38.32809,-121.64865,"79","No","Right/Green/PD","Soft","SDWSC",NA,"smelt 29",10528.0376544371,"Soft SDWSC"
"30",2023-02-17,"TFCF","Salvage","South Delta","South Delta",NA,37.8158189999999,-121.558995,"70","No","Right/Orange/PD","Hard","SDWSC",NA,"smelt 30",63183.5827091159,"Hard SDWSC"
"31",2023-02-19,"Chipps","mid-water","Suisun Bay","Confluence",NA,38.047967,-121.909917,"84","No","Right/Green/PD","Soft","SDWSC",NA,"smelt 31",35046.7682338494,"Soft SDWSC"
"32",2023-02-22,"TFCF","Salvage","South Delta","South Delta",NA,37.8158189999999,-121.558995,"65","No","Right/Orange/PD","Hard","Rio Vista",NA,"smelt 32",44989.2241218764,"Hard Rio Vista"
