"","ReleaseEvent","ReleaseDate","Site","Type","Mark","TotalReleased","LatitudeR","LongitudeR","Type2","BroodYear","N","FirstFlush","recapsN","RecapRate","FFyn","Month","Year","Turbidity","weekturb"
"1","BY2022 1a",2022-11-29,"Rio Vista","Soft (carboy)","Right/Blue/PD",6584,38.1013,-121.72813,"Soft (carboy)",2022,NA,2022-12-31,0,0,"Before First Flush",11,2022,8.58840336134454,10.1068195278111
"2","BY2022 1b",2022-11-30,"Rio Vista","Hard (carboy)","Left/Red/AD",6556,38.124736,-121.699521,"Hard (carboy)",2022,3,2022-12-31,3,0.000457596095179988,"Before First Flush",11,2022,6.65593220338983,9.60576222353348
"3","BY2022 2a",2023-01-18,"Rio Vista","Hard (carboy)","Right/Orange/PD",14524,38.124736,-121.699521,"Hard (carboy)",2022,13,2022-12-31,13,0.000895070228587166,"After First Flush",1,2023,161.690833333333,168.526428571429
"4","BY2022 2b",2023-01-18,"Rio Vista","Hard (trailer)","Ad-clip",3046,38.139752,-121.694706,"Hard (large scale)",2022,3,2022-12-31,3,0.000984898227183191,"After First Flush",1,2023,161.690833333333,168.526428571429
"5","BY2022 3a",2023-01-25,"SDWSC","Hard (carboy)","Left/Orange/AD",6755,38.275563,-121.661374,"Hard (carboy)",2022,13,2022-12-31,13,0.00192450037009622,"After First Flush",1,2023,87.8545,129.739678571429
"6","BY2022 3b",2023-01-26,"SDWSC","Soft (carboy)","Right/Green/PD",6240,38.237842,-121.673802,"Soft (carboy)",2022,11,2022-12-31,11,0.00176282051282051,"After First Flush",1,2023,70.91925,116.410642857143
"7","BY2023 LS1",2023-11-15,"Rio Vista","Hard (large scale)","Left/Green/AD",14104,38.139752,-121.694706,"Hard (large scale)",2023,1,2024-01-21,1,7.09018718094158e-05,"Before First Flush",11,2023,3.55168067226891,3.68802782808038
"8","BY2023 1a",2023-12-12,"Rio Vista","Hard (carboy)","Left/Blue/PD",6508,38.124736,-121.699521,"Hard (carboy)",2023,1,2024-01-21,1,0.000153657037492317,"Before First Flush",12,2023,5.3435,4.73374991731864
"9","BY2023 1b",2023-12-14,"Rio Vista","Soft (carboy)","Right/Blue/AD",6581,38.1013,-121.72813,"Soft (carboy)",2023,3,2024-01-21,3,0.000455857772375019,"Before First Flush",12,2023,5.04983333333333,5.11249685609415
"10","BY2023 2a",2023-12-19,"Rio Vista","Hard (carboy)","Right/Green/AD",6430,38.139752,-121.694706,"Hard (carboy)",2023,NA,2024-01-21,0,0,"Before First Flush",12,2023,4.92583333333333,4.84989285714286
"11","BY2023 2b",2023-12-20,"Rio Vista","Hard (trailer)","Left/Green/PD",6261,38.139752,-121.694706,"Hard (large scale)",2023,NA,2024-01-21,0,0,"Before First Flush",12,2023,4.99541666666667,4.84380952380952
"12","BY2023 LS2",2024-01-10,"Rio Vista","Hard (large scale)","Ad-clip",25649,38.139752,-121.694706,"Hard (large scale)",2023,17,2024-01-21,17,0.000662793871106086,"Before First Flush",1,2024,11.3919166666667,13.0163174603175
"13","BY2023 3a",2024-01-24,"Rio Vista","Hard (carboy)","Left/Orange/PD",6382,38.124736,-121.699521,"Hard (carboy)",2023,11,2024-01-21,11,0.00172359761830147,"After First Flush",1,2024,29.588,35.4339308459233
"14","BY2023 3b",2024-01-25,"Rio Vista","Soft (carboy)","Right/Orange/AD",6396,38.1013,-121.72813,"Soft (carboy)",2023,7,2024-01-21,7,0.00109443402126329,"After First Flush",1,2024,39.2971666666667,38.6055611244498
"15","BY2023 4a",2024-01-31,"Rio Vista","Hard (trailer)","Left/Red/PD",6576,38.139752,-121.694706,"Hard (large scale)",2023,7,2024-01-21,7,0.00106447688564477,"After First Flush",1,2024,20.271,31.8864166666667
"16","BY2023 4b",2024-01-30,"Rio Vista","Soft (carboy)","Right/Red/AD",6581,38.1013,-121.72813,"Soft (carboy)",2023,2,2024-01-21,2,0.000303905181583346,"After First Flush",1,2024,24.996,33.2174166666667
"17","BY2024 1",2024-11-18,"Lookout Slough","Hard (large scale)","Left/Blue/AD",13573,38.326289,-121.694026,"Hard (large scale)",2024,4,NA,4,0.000294702718632579,"Before First Flush",11,2024,7.57641666666667,6.49529761904762
"18","BY2024 2",2024-12-09,"Lookout Slough","Hard (large scale)","Left/Orange/AD",14880,38.326289,-121.694026,"Hard (large scale)",2024,5,NA,5,0.000336021505376344,"Before First Flush",12,2024,8.46466666666667,11.4098421052632
"19","BY2024 3",2024-12-18,"Sandy Beach","Hard (large scale)","Ad-clip",20219,38.1401236,-121.694585365953,"Hard (large scale)",2024,34,NA,34,0.00168158662644048,"Before First Flush",12,2024,95.9570408163265,25.9519333934542
"20","BY2024 4",2025-01-08,"Lookout Slough","Hard (large scale)","Right/Blue/PD",10024,38.326289,-121.694026,"Hard (large scale)",2024,4,NA,4,0.000399042298483639,"Before First Flush",1,2025,33.6808256880734,48.8778889440997
"21","BY2024 5",2025-01-22,"Lookout Slough","Hard (large scale)","Right/Red/PD",25226,38.326289,-121.694026,"Hard (large scale)",2024,9,NA,9,0.000356774756203917,"Before First Flush",1,2025,9.17316239316239,11.4833242194314
"22","BY2024 6",2025-01-27,"Sandy Beach","Hard (large scale)","Right/Green/PD",24504,38.1401236,-121.694585365953,"Hard (large scale)",2024,16,NA,16,0.000652954619653934,"Before First Flush",1,2025,9.73058333333333,9.07688374324089
"23","BY2024 7",2025-02-03,"Sandy Beach","Hard (large scale)","Left/Red/AD",16520,38.1401236,-121.694585365953,"Hard (large scale)",2024,7,NA,7,0.000423728813559322,"Before First Flush",2,2025,10.4798333333333,8.78409523809524
