"","smelt 11","smelt 12","smelt 13","smelt 14","smelt 15","smelt 19","smelt 21","smelt 30","smelt 33","smelt 36","smelt 5"
"smelt 11",0,8556.15294937453,8556.15294937453,8556.15294937453,17315.4211936865,14005.0886375619,5974.92235949962,75874.0815433026,74655.7189190717,74655.7189190717,16830.0109970615
"smelt 12",8556.15294937453,0,0,0,8759.26824431198,14279.0243257493,2581.23058987491,67317.9285939282,66099.5659696974,66099.5659696974,8273.85804768701
"smelt 13",8556.15294937453,0,0,0,8759.26824431198,14279.0243257493,2581.23058987491,67317.9285939282,66099.5659696974,66099.5659696974,8273.85804768701
"smelt 14",8556.15294937453,0,0,0,8759.26824431198,14279.0243257493,2581.23058987491,67317.9285939282,66099.5659696974,66099.5659696974,8273.85804768701
"smelt 15",17315.4211936865,8759.26824431198,8759.26824431198,8759.26824431198,0,5519.75608143733,11340.4988341869,59641.8635172463,58423.5008930154,58423.5008930154,485.410196624968
"smelt 19",14005.0886375619,14279.0243257493,14279.0243257493,14279.0243257493,5519.75608143733,0,11736.3968679372,65161.6195986837,63943.2569744528,63943.2569744528,6005.16627806229
"smelt 21",5974.92235949962,2581.23058987491,2581.23058987491,2581.23058987491,11340.4988341869,11736.3968679372,0,69899.1591838031,68680.7965595722,68680.7965595722,10855.0886375619
"smelt 30",75874.0815433026,67317.9285939282,67317.9285939282,67317.9285939282,59641.8635172463,65161.6195986837,69899.1591838031,0,5494.02015014925,5494.02015014925,59455.4674141784
"smelt 33",74655.7189190717,66099.5659696974,66099.5659696974,66099.5659696974,58423.5008930154,63943.2569744528,68680.7965595722,5494.02015014925,0,0,58237.1047899475
"smelt 36",74655.7189190717,66099.5659696974,66099.5659696974,66099.5659696974,58423.5008930154,63943.2569744528,68680.7965595722,5494.02015014925,0,0,58237.1047899475
"smelt 5",16830.0109970615,8273.85804768701,8273.85804768701,8273.85804768701,485.410196624968,6005.16627806229,10855.0886375619,59455.4674141784,58237.1047899475,58237.1047899475,0
