"","smelt 10","smelt 16","smelt 17","smelt 18","smelt 27","smelt 28","smelt 29","smelt 31","smelt 35","smelt 7"
"smelt 10",0,2949.84318926063,2949.84318926063,2949.84318926063,12426.587547995,2481.15218450522,27174.7756053256,18519.5293921551,3655.08787269261,3647.87837346302
"smelt 16",2949.84318926063,0,0,0,9476.74435873434,5276.08606794665,29969.7094887671,15569.6862028945,6450.02175613403,698.035184202395
"smelt 17",2949.84318926063,0,0,0,9476.74435873434,5276.08606794665,29969.7094887671,15569.6862028945,6450.02175613403,698.035184202395
"smelt 18",2949.84318926063,0,0,0,9476.74435873434,5276.08606794665,29969.7094887671,15569.6862028945,6450.02175613403,698.035184202395
"smelt 27",12426.587547995,9476.74435873434,9476.74435873434,9476.74435873434,0,14752.830426681,39446.4538475014,7326.72959968854,15926.7661148684,8778.70917453194
"smelt 28",2481.15218450522,5276.08606794665,5276.08606794665,5276.08606794665,14752.830426681,0,24720.3452585514,20845.7722708411,1173.93568818739,5974.12125214904
"smelt 29",27174.7756053256,29969.7094887671,29969.7094887671,29969.7094887671,39446.4538475014,24720.3452585514,0,45539.3956916616,23546.4095703641,30667.7446729695
"smelt 31",18519.5293921551,15569.6862028945,15569.6862028945,15569.6862028945,7326.72959968854,20845.7722708411,45539.3956916616,0,22019.7079590285,14871.6510186921
"smelt 35",3655.08787269261,6450.02175613403,6450.02175613403,6450.02175613403,15926.7661148684,1173.93568818739,23546.4095703641,22019.7079590285,0,7148.05694033643
"smelt 7",3647.87837346302,698.035184202395,698.035184202395,698.035184202395,8778.70917453194,5974.12125214904,30667.7446729695,14871.6510186921,7148.05694033643,0
