"","Location","Treatment","Cage ID","FishID","LabForkLength_mm","LabWeight_g","Fullness","Digestion","Empty","Total Contents Weight","Pseudodiaptomus forbesi copepodid","Pseudodiaptomus forbesi adult","Simocephalus sp.","Gammaridea","Hyalella azteca","Eucyclops sp. adult","Aphididae (winged) adult","Amphipoda","Macrocyclops sp. adult","Limnoithona tetraspina adult","Cumella vulgaris","Harpaticoida","Amphipod Egg","Eurytemora affinis adult","Tanaidacea","Cyclopoida nauplius","Calanoida nauplius","Pseudodiaptomus forbesi nauplius","Corophiidae juvenile","Macrocyclops sp. copepodid","ilyocryptus sp.","Copepod nauplius","Chironomidae larva","Calanoida copepodid","Acanthocyclops sp. adult","Acanthocyclops sp. copepodid","Cumacean","Cyclopoida","Americorophium spinicorne","Nippoleucon hinumensis","Eurytemora affinis copepodid"
"1","Rio Vista","Exchanged",1,"C1N10",44,0.507,3,5,"N",0.0011,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Rio Vista","Exchanged",1,"C1N37",50,0.7995,3,5,"N",4e-04,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Rio Vista","Exchanged",1,"C1N50",64,1.7492,2,5,"N",0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Rio Vista","Exchanged",1,"C1N52",46,0.5688,4,5,"N",8e-04,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Rio Vista","Exchanged",1,"C1N6",54,1.1016,4,5,"N",0.0017,3,9,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Rio Vista","Exchanged",3,"C3N10",50,0.6407,5,5,"N",0.0016,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Rio Vista","Exchanged",3,"C3N18",54,0.7778,4,5,"N",3e-04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Rio Vista","Exchanged",3,"C3N25",66,1.7677,5,4,"N",0.0038,0,1,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Rio Vista","Exchanged",3,"C3N27",42,0.6139,3,3,"N",8e-04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Rio Vista","Exchanged",3,"C3N6",44,0.4957,4,5,"N",7e-04,2,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Belden's Landing","Exchanged",5,"C5N2",55,0.7444,6,3,"N",0.0021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Belden's Landing","Exchanged",5,"C5N4",51,0.5367,2,6,"N",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Belden's Landing","Exchanged",5,"C5N5",54,0.6142,5,5,"N",7e-04,0,2,0,0,0,0,1,0,0,82,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Belden's Landing","Exchanged",5,"C5N6",56,0.7509,3,6,"N",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Belden's Landing","Exchanged",7,"C7N13",53,0.7257,6,5,"N",0.003,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"16","Belden's Landing","Exchanged",7,"C7N24",62,1.2624,2,5,"N",5e-04,0,0,0,0,0,0,0,0,1,6,3,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
"17","Belden's Landing","Exchanged",7,"C7N43",54,0.684,1,1,"Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Belden's Landing","Exchanged",7,"C7N6",70,2.0444,4,5,"N",9e-04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"19","Rio Vista","Scrubbed",2,"C2N16",35,0.2185,5,5,"N",4e-04,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"20","Rio Vista","Scrubbed",2,"C2N18",43,0.4699,4,5,"N",0.002,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Rio Vista","Scrubbed",2,"C2N23",62,1.5765,2,4,"N",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"22","Rio Vista","Scrubbed",2,"C2N24",53,0.9017,3,3,"N",7e-04,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Rio Vista","Scrubbed",2,"C2N4",42,0.5668,2,6,"N",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Rio Vista","Scrubbed",4,"C4N10",54,0.9085,5,5,"N",6e-04,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"25","Rio Vista","Scrubbed",4,"C4N26",54,0.9235,4,5,"N",0.0011,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"26","Rio Vista","Scrubbed",4,"C4N4",67,1.7736,5,5,"N",0.0092,0,3,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Rio Vista","Scrubbed",4,"C4N40",50,0.7258,2,6,"N",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Rio Vista","Scrubbed",4,"C4N41",54,0.9521,2,5,"N",9e-04,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Belden's Landing","Scrubbed",6,"C6N12",58,1.1233,5,5,"N",0.0039,0,0,0,4,0,0,0,0,0,38,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
"30","Belden's Landing","Scrubbed",6,"C6N2",42,0.3477,3,5,"N",2e-04,0,0,0,0,0,0,0,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"31","Belden's Landing","Scrubbed",6,"C6N22",52,0.622,5,5,"N",6e-04,0,0,0,1,0,0,0,0,0,96,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
