Deployment,Period,Site,ID,FL_mm,Weight_g,Cage,K,Comments
Summer,Pre,FCCL,1,47,0.74,,0.71275151,NA
Summer,Pre,FCCL,2,52,0.73,,0.51917387,Fish dropped on table
Summer,Pre,FCCL,3,46,0.72,,0.73970576,NA
Summer,Pre,FCCL,4,56,1.15,,0.65483783,NA
Summer,Pre,FCCL,5,53,0.96,,0.64482761,NA
Summer,Pre,FCCL,6,51,0.88,,0.66339492,NA
Summer,Pre,FCCL,7,56,1.28,,0.72886297,NA
Summer,Pre,FCCL,8,54,1.19,,0.75572829,NA
Summer,Pre,FCCL,9,46,0.67,,0.68833731,NA
Summer,Pre,FCCL,10,46,0.72,,0.73970576,NA
Summer,Pre,FCCL,11,51,0.84,,0.63324061,NA
Summer,Pre,FCCL,12,50,0.76,,0.608,NA
Summer,Pre,FCCL,13,52,0.88,,0.62585344,NA
Summer,Pre,FCCL,14,44,0.54,,0.63392186,NA
Summer,Pre,FCCL,15,51,0.94,,0.7086264,NA
Summer,Pre,FCCL,16,46,0.75,,0.77052683,NA
Summer,Pre,FCCL,17,50,0.77,,0.616,Fish dropped on floor
Summer,Pre,FCCL,18,49,0.7,,0.59499018,Fish dropped on table
Summer,Pre,FCCL,19,60,1.41,,0.65277778,NA
Summer,Pre,FCCL,20,54,1.09,,0.69222171,NA
Summer,Pre,FCCL,21,56,1.2,,0.68330904,NA
Summer,Pre,FCCL,22,44,0.62,,0.72783621,NA
Summer,Pre,FCCL,23,51,0.87,,0.65585634,NA
Summer,Pre,FCCL,24,46,0.59,,0.60614778,NA
Summer,Pre,FCCL,25,51,0.91,,0.68601066,NA
Summer,Pre,FCCL,26,51,1.15,,0.86693655,NA
Summer,Pre,FCCL,27,49,0.78,,0.66298906,NA
Summer,Pre,FCCL,28,48,0.72,,0.65104167,NA
Summer,Pre,FCCL,29,46,0.54,,0.55477932,NA
Summer,Pre,FCCL,30,46,0.65,,0.66778992,NA
Summer,Pre,FCCL,31,57,1.43,,0.77216741,NA
Summer,Pre,FCCL,32,57,1.4,,0.7559681,NA
Summer,Pre,FCCL,33,50,0.78,,0.624,NA
Summer,Pre,FCCL,34,46,0.61,,0.62669516,NA
Summer,Pre,FCCL,35,51,0.89,,0.6709335,NA
Summer,Pre,FCCL,36,50,1.15,,0.92,NA
Summer,Pre,FCCL,37,43,0.55,,0.69176299,NA
Summer,Pre,FCCL,38,46,0.64,,0.65751623,NA
Summer,Pre,FCCL,39,51,0.84,,0.63324061,NA
Summer,Pre,FCCL,40,44,0.58,,0.68087904,NA
Summer,Pre,FCCL,41,47,0.66,,0.63569729,NA
Summer,Pre,FCCL,42,55,1.01,,0.60706236,NA
Summer,Pre,FCCL,43,53,1,,0.67169543,NA
Summer,Pre,FCCL,44,51,0.84,,0.63324061,NA
Summer,Pre,FCCL,45,44,0.46,,0.54000751,NA
Summer,Pre,FCCL,46,53,0.94,,0.6313937,NA
Summer,Pre,FCCL,47,47,0.62,,0.59717018,NA
Summer,Pre,FCCL,48,46,0.55,,0.56505301,NA
Summer,Pre,FCCL,49,49,0.8,,0.67998878,NA
Summer,Pre,FCCL,50,49,0.76,,0.64598934,NA
Summer,Pre,FCCL,51,50,0.8,,0.64,NA
Summer,Pre,FCCL,52,39,0.36,,0.60688818,NA
Summer,Pre,FCCL,53,43,0.56,,0.7043405,NA
Summer,Pre,FCCL,54,44,0.49,,0.57522539,NA
Summer,Pre,FCCL,55,47,0.68,,0.65496085,NA
Summer,Pre,FCCL,56,49,0.74,,0.62898962,NA
Summer,Pre,FCCL,57,53,0.93,,0.62467675,NA
Summer,Pre,FCCL,58,50,0.75,,0.6,NA
Summer,Pre,FCCL,59,50,0.87,,0.696,NA
Summer,Pre,FCCL,60,50,0.8,,0.64,NA
Summer,Post,RV,RV_082819_1,44,0.35,Cage A,0.410875282,Mouth wide open. Died in transit
Summer,Post,RV,RV_082819_2,45,0.65,Cage A,0.713305898,Died in transit
Summer,Post,RV,RV_082819_3,50,0.92,Cage A,0.736,Changed measuring boards because measurements were off. Died in transit
Summer,Post,RV,RV_082819_4,50,0.71,Cage A,0.568,Died in transit
Summer,Post,RV,RV_082819_5,49,0.75,Cage A,0.637489481,Died in transit
Summer,Post,RV,RV_082819_6,49,0.69,Cage A,0.586490323,Died in transit
Summer,Post,RV,RV_082819_7,52,0.95,Cage A,0.675637233,Died in transit
Summer,Post,RV,RV_082819_8,48,0.77,Cage A,0.696252894,Died in transit
Summer,Post,RV,RV_082819_9,48,0.69,Cage A,0.623914931,Died in transit
Summer,Post,RV,RV_082819_10,50,0.84,Cage B,0.672,NA
Summer,Post,RV,RV_082819_11,50,0.86,Cage B,0.688,Died in transit
Summer,Post,RV,RV_082819_12,49,0.85,Cage B,0.722488079,Died in transit
Summer,Post,RV,RV_082819_13,49,0.78,Cage B,0.662989061,Died in transit
Summer,Post,RV,RV_082819_14,50,0.83,Cage B,0.664,NA
Summer,Post,RV,RV_082819_15,57,1.12,Cage B,0.604774479,NA
Summer,Post,RV,RV_082819_16,50,0.79,Cage B,0.632,NA
Summer,Post,RV,RV_082819_17,50,0.71,Cage C,0.568,Died in transit
Summer,Post,RV,RV_082819_18,49,0.74,Cage C,0.628989622,Died in transit
Summer,Post,RV,RV_082819_19,47,0.81,Cage C,0.78017395,Died in transit
Summer,Post,RV,RV_082819_20,47,0.86,Cage C,0.828332836,Died in transit
Summer,Post,RV,RV_082819_21,53,1.17,Cage C,0.785883649,Died in transit
Summer,Post,RV,RV_082819_22,47,0.49,Cage C,0.471957081,NA
Summer,Post,RV,RV_082819_41,55,0.95,Cage A,0.570999249,Died in transit
Summer,Post,RV,RV_082819_42,47,0.71,Cage A,0.683856178,Died in transit
Summer,Post,RV,RV_082819_43,51,0.94,Cage A,0.708626396,Died in transit
Summer,Post,RV,RV_082819_44,46,0.6,Cage A,0.616421468,Died in transit
Summer,Post,RV,RV_082819_45,46,0.63,Cage A,0.647242541,Died in transit
Summer,Post,RV,RV_082819_46,50,0.84,Cage A,0.672,Died in transit
