"Experiment","Date","Cage.ID","Location","Tag","Fullness","Digestion","Contents.Weight","Prey.Taxa","LH.Stage","Count","Taxa Weight","Comments","Taxa","Mesh","tlc"
NA,2019-11-07,"B","YB.Fall","20",3,5,0.0022,"Hyallela azteca","undetermined",1,NA,NA,"Amphipod",NA,"20 YB.Fall B"
NA,2019-11-07,"A","YB.Fall","10",2,2,0,"Hyallela azteca","undetermined",1,FALSE,NA,"Amphipod",NA,"10 YB.Fall A"
NA,2019-11-07,"A","YB.Fall","9",4,5,0.0058,"Hyallela azteca","undetermined",6,NA,NA,"Amphipod",NA,"9 YB.Fall A"
NA,2019-11-06,"B","RV.Fall","23",5,5,0.0012,"Pseudodiaptomus forbesi","adult",6,NA,NA,"Calanoid",NA,"23 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","23",5,5,0.0012,"Crangonyx sp.","undetermined",2,NA,NA,"Amphipod",NA,"23 RV.Fall B"
NA,2019-11-06,"B","RV.Fall","23",5,5,0.0012,"Eurytemora affinis","adult",1,NA,NA,"Calanoid",NA,"23 RV.Fall B"
NA,2019-11-06,"C","RV.Fall","37",3,5,5e-04,"Pseudodiaptomus forbesi","adult",7,NA,NA,"Calanoid",NA,"37 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","37",3,5,5e-04,"Diacyclops thomasi","adult",2,NA,NA,"Cyclopoid",NA,"37 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","37",3,5,5e-04,"Mesocyclops sp.","undetermined",1,NA,NA,"Cyclopoid",NA,"37 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","37",3,5,5e-04,"Harpacticoida","undetermined",1,NA,NA,"Harpacticoid",NA,"37 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","37",3,5,5e-04,"Daphnia sp.","undetermined",1,NA,NA,"Cladocera",NA,"37 RV.Fall C"
NA,2019-11-06,"C","RV.Fall","37",3,5,5e-04,"Eurytemora affinis","copepodid",1,NA,NA,"Calanoid",NA,"37 RV.Fall C"
NA,2019-11-07,"B","YB.Fall","18",4,5,0.0047,"Hyallela azteca","undetermined",7,NA,NA,"Amphipod",NA,"18 YB.Fall B"
NA,2019-11-07,"B","RV.Fall","22",3,5,4e-04,"Eucyclops sp.","undetermined",1,NA,NA,"Cyclopoid",NA,"22 RV.Fall B"
NA,2019-11-07,"B","RV.Fall","22",3,5,4e-04,"Pseudodiaptomus forbesi","adult",9,NA,NA,"Calanoid",NA,"22 RV.Fall B"
NA,2019-11-07,"B","RV.Fall","22",3,5,4e-04,"Eurytemora affinis","copepodid",1,NA,NA,"Calanoid",NA,"22 RV.Fall B"
NA,2019-11-07,"B","RV.Fall","21",3,5,0.0032,"Chironomidae","pupae",4,NA,NA,"Diptera",NA,"21 RV.Fall B"
NA,2019-11-07,"A","YB.Fall","6",2,5,0.0015,"Hyallela azteca","undetermined",1,NA,NA,"Amphipod",NA,"6 YB.Fall A"
NA,2019-11-07,"A","YB.Fall","8",2,5,8e-04,"Hyallela azteca","undetermined",1,NA,"not a whole animal","Amphipod",NA,"8 YB.Fall A"
NA,2019-11-07,"C","YB.Fall","36",4,5,0.0109,"Hyallela azteca","undetermined",6,NA,NA,"Amphipod",NA,"36 YB.Fall C"
NA,2019-11-06,"A","RV.Fall","11",2,5,0,"Chironomidae","pupae",2,NA,"thorax only","Diptera",NA,"11 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","11",2,5,0,"Eurytemora affinis","adult",1,NA,NA,"Calanoid",NA,"11 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","11",2,5,0,"Diacyclops thomasi","copepodid",1,NA,NA,"Cyclopoid",NA,"11 RV.Fall A"
NA,2019-11-06,"A","RV.Fall","11",2,5,0,"Calanoida","copepodid",1,NA,NA,"Calanoid",NA,"11 RV.Fall A"
NA,2019-11-07,"C","YB.Fall","40",1,1,0,"EMPTY",NA,0,NA,NA,"empty",NA,"40 YB.Fall C"
NA,2019-11-07,"C","YB.Fall","39",2,4,0,"Pseudodiaptomus forbesi","adult",1,NA,NA,"Calanoid",NA,"39 YB.Fall C"
NA,2019-11-07,"C","YB.Fall","39",2,4,0,"Gammaridea","undetermined",1,NA,NA,"Amphipod",NA,"39 YB.Fall C"
NA,2019-11-07,"C","YB.Fall","32",3,5,0.0011,"Pseudodiaptomus forbesi","adult",2,NA,NA,"Calanoid",NA,"32 YB.Fall C"
NA,2019-11-07,"C","YB.Fall","32",3,5,0.0011,"Diacyclops thomasi","copepodid",1,NA,NA,"Cyclopoid",NA,"32 YB.Fall C"
