"Location","Date","Taxa","Day","Month","MD","ind_m3","bio_m3","Season"
"DWSC",2019-02-28,"Calanoid",28,"Feb","Feb-28",323.693722719156,609.466349433713,"Winter"
"DWSC",2019-02-28,"Cladocera",28,"Feb","Feb-28",252.179993281203,309.390976831565,"Winter"
"DWSC",2019-02-28,"Cyclopoid",28,"Feb","Feb-28",180.66626384325,240.470561055862,"Winter"
"DWSC",2019-02-28,"Harpacticoid",28,"Feb","Feb-28",7.52776099346875,7.52776099346875,"Winter"
"DWSC",2019-02-28,"Microzoo",28,"Feb","Feb-28",5871.65357490562,653.78604228276,"Winter"
"DWSC",2019-02-28,"Ostracod",28,"Feb","Feb-28",94.0970124183593,56.4582074510156,"Winter"
"DWSC",2019-03-01,"Calanoid",1,"Mar","Mar-1",132.515433602415,316.739439023688,"Winter"
"DWSC",2019-03-01,"Cladocera",1,"Mar","Mar-1",51.1693258464769,39.623426681118,"Winter"
"DWSC",2019-03-01,"Cyclopoid",1,"Mar","Mar-1",137.763569586669,207.958700410063,"Winter"
"DWSC",2019-03-01,"Harpacticoid",1,"Mar","Mar-1",11.8083059645716,11.8083059645716,"Winter"
"DWSC",2019-03-01,"Microzoo",1,"Mar","Mar-1",9264.27204620445,1041.70251151459,"Winter"
"DWSC",2019-03-04,"Calanoid",4,"Mar","Mar-4",127.537897852814,246.370655784099,"Winter"
"DWSC",2019-03-04,"Cladocera",4,"Mar","Mar-4",184.522916042369,186.693773878161,"Winter"
"DWSC",2019-03-04,"Cyclopoid",4,"Mar","Mar-4",426.030850274292,668.966123533249,"Winter"
"DWSC",2019-03-04,"Harpacticoid",4,"Mar","Mar-4",13.5678614737036,13.5678614737036,"Winter"
"DWSC",2019-03-04,"Microzoo",4,"Mar","Mar-4",9074.18575361295,989.20564432478,"Winter"
"DWSC",2019-03-08,"Calanoid",8,"Mar","Mar-8",610.3637402456,1054.52181085857,"Winter"
"DWSC",2019-03-08,"Cladocera",8,"Mar","Mar-8",8.36114712665206,7.24632750976512,"Winter"
"DWSC",2019-03-08,"Cyclopoid",8,"Mar","Mar-8",222.963923377388,159.74250290373,"Winter"
"DWSC",2019-03-08,"Harpacticoid",8,"Mar","Mar-8",22.2963923377388,22.2963923377388,"Winter"
"DWSC",2019-03-08,"Microzoo",8,"Mar","Mar-8",3889.48177447222,403.316963620431,"Winter"
"DWSC",2019-03-13,"Calanoid",13,"Mar","Mar-13",301.303132842386,594.705702389996,"Winter"
"DWSC",2019-03-13,"Cladocera",13,"Mar","Mar-13",19.757582481468,13.8303077370276,"Winter"
"DWSC",2019-03-13,"Cyclopoid",13,"Mar","Mar-13",209.924313865597,165.790813997618,"Winter"
"DWSC",2019-03-13,"Harpacticoid",13,"Mar","Mar-13",12.3484890509175,12.3484890509175,"Winter"
"DWSC",2019-03-13,"Microzoo",13,"Mar","Mar-13",3638.68810700368,368.14962023802,"Winter"
"DWSC",2019-03-13,"Ostracod",13,"Mar","Mar-13",10.7020238441285,6.42121430647709,"Winter"
"DWSC",2019-03-19,"Calanoid",19,"Mar","Mar-19",274.452073831389,480.159869517446,"Winter"
"DWSC",2019-03-19,"Cladocera",19,"Mar","Mar-19",131.259687484577,78.7558124907464,"Winter"
"DWSC",2019-03-19,"Cyclopoid",19,"Mar","Mar-19",2470.0686644825,3485.15949129505,"Winter"
"DWSC",2019-03-19,"Harpacticoid",19,"Mar","Mar-19",47.7307954489372,47.7307954489372,"Winter"
"DWSC",2019-03-19,"Microzoo",19,"Mar","Mar-19",8424.48539673741,854.381238535976,"Winter"
"DWSC",2019-03-19,"Ostracod",19,"Mar","Mar-19",47.7307954489372,28.6384772693623,"Winter"
"DWSC",2019-03-25,"Calanoid",25,"Mar","Mar-25",679.581152623331,1680.90622650533,"Winter"
"DWSC",2019-03-25,"Cladocera",25,"Mar","Mar-25",89.2379291323566,53.542757479414,"Winter"
"DWSC",2019-03-25,"Cyclopoid",25,"Mar","Mar-25",1352.29784915956,1668.38545860245,"Winter"
"DWSC",2019-03-25,"Microzoo",25,"Mar","Mar-25",23105.7591891933,2644.32577387434,"Winter"
"RV",2019-01-24,"Calanoid",24,"Jan","Jan-24",176.81670612063,388.561512342628,"Winter"
"RV",2019-01-24,"Cladocera",24,"Jan","Jan-24",1373.72979370644,1640.314981396,"Winter"
"RV",2019-01-24,"Cyclopoid",24,"Jan","Jan-24",1346.52722353403,2376.41653026127,"Winter"
"RV",2019-01-24,"Microzoo",24,"Jan","Jan-24",62429.8985456687,6790.16955358479,"Winter"
"RV",2019-01-24,"Ostracod",24,"Jan","Jan-24",183.617348663732,110.170409198239,"Winter"
"RV",2019-01-29,"Calanoid",29,"Jan","Jan-29",35.5704457340053,53.3556686010079,"Winter"
"RV",2019-01-29,"Cladocera",29,"Jan","Jan-29",400.167514507559,738.086748980609,"Winter"
"RV",2019-01-29,"Cyclopoid",29,"Jan","Jan-29",1458.38827509422,2554.66941261626,"Winter"
"RV",2019-01-29,"Harpacticoid",29,"Jan","Jan-29",53.3556686010079,53.3556686010079,"Winter"
"RV",2019-01-29,"Microzoo",29,"Jan","Jan-29",25690.7544313853,2697.12904778095,"Winter"
"RV",2019-01-31,"Calanoid",31,"Jan","Jan-31",53.482432187769,80.2236482816535,"Winter"
"RV",2019-01-31,"Cladocera",31,"Jan","Jan-31",615.047970159343,855.718915004304,"Winter"
"RV",2019-01-31,"Cyclopoid",31,"Jan","Jan-31",2125.92667946382,3661.40730757467,"Winter"
"RV",2019-01-31,"Harpacticoid",31,"Jan","Jan-31",13.3706080469422,13.3706080469422,"Winter"
"RV",2019-01-31,"Microzoo",31,"Jan","Jan-31",40118.5094448502,4245.97029138698,"Winter"
"RV",2019-01-31,"Ostracod",31,"Jan","Jan-31",113.650168399009,68.1901010394055,"Winter"
"RV",2019-02-06,"Calanoid",6,"Feb","Feb-6",243.442098006633,430.44308190619,"Winter"
"RV",2019-02-06,"Cladocera",6,"Feb","Feb-6",1367.0210118834,1610.46310989003,"Winter"
"RV",2019-02-06,"Cyclopoid",6,"Feb","Feb-6",2003.7157297469,3712.30473144884,"Winter"
"RV",2019-02-06,"Harpacticoid",6,"Feb","Feb-6",131.084206618956,131.084206618956,"Winter"
"RV",2019-02-06,"Microzoo",6,"Feb","Feb-6",30711.1569792983,3404.4441090466,"Winter"
"RV",2019-02-08,"Calanoid",8,"Feb","Feb-8",48.7335432524863,73.1003148787294,"Winter"
"RV",2019-02-08,"Cladocera",8,"Feb","Feb-8",560.435747403592,692.016314185305,"Winter"
"RV",2019-02-08,"Cyclopoid",8,"Feb","Feb-8",1047.77117992846,1937.64567971886,"Winter"
"RV",2019-02-08,"Harpacticoid",8,"Feb","Feb-8",40.6112860437386,40.6112860437386,"Winter"
"RV",2019-02-08,"Microzoo",8,"Feb","Feb-8",19501.5395582033,2124.1327052317,"Winter"
"RV",2019-02-12,"Calanoid",12,"Feb","Feb-12",52.5557819389558,99.1902791127893,"Winter"
"RV",2019-02-12,"Cladocera",12,"Feb","Feb-12",1506.59908225007,1821.9337738838,"Winter"
"RV",2019-02-12,"Cyclopoid",12,"Feb","Feb-12",2032.15690163962,3737.76721149854,"Winter"
"RV",2019-02-12,"Harpacticoid",12,"Feb","Feb-12",35.0371879593039,35.0371879593039,"Winter"
"RV",2019-02-12,"Microzoo",12,"Feb","Feb-12",53466.7488258977,5981.08156590623,"Winter"
"RV",2019-02-15,"Calanoid",15,"Feb","Feb-15",11.3749916683877,17.0624875025816,"Winter"
"RV",2019-02-15,"Cladocera",15,"Feb","Feb-15",443.624675067122,400.399706727248,"Winter"
"RV",2019-02-15,"Cyclopoid",15,"Feb","Feb-15",432.249683398734,783.509426118547,"Winter"
"RV",2019-02-15,"Microzoo",15,"Feb","Feb-15",32555.2261549257,3737.36726256547,"Winter"
"RV",2019-02-22,"Cladocera",22,"Feb","Feb-22",1249.13958368271,1703.37215956733,"Winter"
