"Deployment","Period","Site","ID","FL_cm","Weight_g","Cage","Season","K"
"Winter","Pre","DWSC","Winter_1",6,1.59,"A","Winter",0.736
"Winter","Post","DWSC","Winter_1",6.1,1.28,"A","Winter",0.564
"Winter","Pre","DWSC","Winter_2",6.3,1.1,"A","Winter",0.44
"Winter","Post","DWSC","Winter_2",6.4,0.97,"A","Winter",0.37
"Winter","Pre","DWSC","Winter_3",5.6,1.2,"A","Winter",0.683
"Winter","Post","DWSC","Winter_3",5.8,1.06,"A","Winter",0.543
"Winter","Pre","DWSC","Winter_4",NA,NA,"A","Winter",NA
"Winter","Post","DWSC","Winter_4",6.1,1.3,"A","Winter",0.573
"Winter","Pre","DWSC","Winter_5",6.5,1.89,"A","Winter",0.688
"Winter","Post","DWSC","Winter_5",6.6,1.62,"A","Winter",0.563
"Winter","Pre","DWSC","Winter_6",5.7,1.15,"A","Winter",0.621
"Winter","Post","DWSC","Winter_6",5.7,1.14,"A","Winter",0.616
"Winter","Pre","DWSC","Winter_7",5.9,1.13,"A","Winter",0.55
"Winter","Post","DWSC","Winter_7",5.9,1.19,"A","Winter",0.579
"Winter","Pre","DWSC","Winter_8",6.6,2.29,"A","Winter",0.797
"Winter","Post","DWSC","Winter_8",6.7,2.02,"A","Winter",0.672
"Winter","Pre","DWSC","Winter_9",6.4,1.88,"A","Winter",0.717
"Winter","Post","DWSC","Winter_9",6.4,1.63,"A","Winter",0.622
"Winter","Pre","DWSC","Winter_10",5.8,1.38,"A","Winter",0.707
"Winter","Post","DWSC","Winter_10",5.8,1.1,"A","Winter",0.564
"Winter","Pre","DWSC","Winter_11",6.7,2.27,"A","Winter",0.755
"Winter","Post","DWSC","Winter_11",6.7,2.02,"A","Winter",0.672
"Winter","Pre","DWSC","Winter_12",NA,NA,"A","Winter",NA
"Winter","Post","DWSC","Winter_12",6.9,1.56,"A","Winter",0.475
"Winter","Pre","DWSC","Winter_13",6,1.45,"A","Winter",0.671
"Winter","Post","DWSC","Winter_13",6,1.25,"A","Winter",0.579
"Winter","Pre","DWSC","Winter_14",6.1,1.32,"A","Winter",0.582
"Winter","Post","DWSC","Winter_14",6,1.05,"A","Winter",0.486
"Winter","Pre","DWSC","Winter_15",6.1,1.55,"A","Winter",0.683
"Winter","Post","DWSC","Winter_15",6.3,1.31,"A","Winter",0.524
"Winter","Pre","DWSC","Winter_16",6,1.31,"A","Winter",0.606
"Winter","Post","DWSC","Winter_16",5.8,1.13,"A","Winter",0.579
"Winter","Pre","DWSC","Winter_17",5,0.98,"A","Winter",0.784
"Winter","Post","DWSC","Winter_17",5.3,0.88,"A","Winter",0.591
"Winter","Pre","DWSC","Winter_18",7.1,2.5,"A","Winter",0.698
"Winter","Post","DWSC","Winter_18",7,2.16,"A","Winter",0.63
"Winter","Pre","DWSC","Winter_19",6.2,1.57,"A","Winter",0.659
"Winter","Post","DWSC","Winter_19",6.2,1.5,"A","Winter",0.629
"Winter","Pre","DWSC","Winter_20",5.5,1.13,"A","Winter",0.679
"Winter","Post","DWSC","Winter_20",5.6,0.91,"A","Winter",0.518
"Winter","Pre","DWSC","Winter_21",NA,NA,"A","Winter",NA
"Winter","Post","DWSC","Winter_21",5.6,0.96,"A","Winter",0.547
"Winter","Pre","DWSC","Winter_22",6.7,1.96,"A","Winter",0.652
"Winter","Post","DWSC","Winter_22",6.6,1.77,"A","Winter",0.616
"Winter","Pre","DWSC","Winter_23",6,1.71,"A","Winter",0.792
"Winter","Post","DWSC","Winter_23",6.2,1.53,"A","Winter",0.642
"Winter","Pre","DWSC","Winter_24",6.4,1.7,"A","Winter",0.648
"Winter","Post","DWSC","Winter_24",6.4,1.41,"A","Winter",0.538
"Winter","Pre","DWSC","Winter_25",6.7,1.88,"A","Winter",0.625
"Winter","Post","DWSC","Winter_25",6.9,1.66,"A","Winter",0.505
"Winter","Pre","DWSC","Winter_26",6.5,1.49,"A","Winter",0.543
"Winter","Post","DWSC","Winter_26",6.4,1.17,"A","Winter",0.446
"Winter","Pre","DWSC","Winter_27",NA,NA,"A","Winter",NA
"Winter","Post","DWSC","Winter_27",6.1,0.78,"A","Winter",0.344
"Winter","Pre","DWSC","Winter_28",5.2,0.78,"A","Winter",0.555
"Winter","Post","DWSC","Winter_28",5.4,0.53,"A","Winter",0.337
"Winter","Pre","DWSC","Winter_29",5.6,1.16,"A","Winter",0.661
"Winter","Post","DWSC","Winter_29",5.7,0.98,"A","Winter",0.529
"Winter","Pre","DWSC","Winter_30",6,1.33,"A","Winter",0.616
"Winter","Post","DWSC","Winter_30",6,1.13,"A","Winter",0.523
"Winter","Pre","DWSC","Winter_31",6.9,2.39,"A","Winter",0.728
"Winter","Post","DWSC","Winter_31",7.1,2.04,"A","Winter",0.57
"Winter","Pre","DWSC","Winter_32",NA,NA,"A","Winter",NA
"Winter","Post","DWSC","Winter_32",5.3,0.84,"A","Winter",0.564
"Winter","Pre","DWSC","Winter_33",6.3,1.45,"A","Winter",0.58
"Winter","Post","DWSC","Winter_33",6.1,1.16,"A","Winter",0.511
"Winter","Pre","DWSC","Winter_34",5.5,1.15,"A","Winter",0.691
"Winter","Post","DWSC","Winter_34",5.6,1.02,"A","Winter",0.581
"Winter","Pre","DWSC","Winter_35",6.1,1.47,"A","Winter",0.648
"Winter","Post","DWSC","Winter_35",6.2,1.18,"A","Winter",0.495
"Winter","Pre","DWSC","Winter_36",5.5,1.01,"A","Winter",0.607
"Winter","Post","DWSC","Winter_36",5.6,0.75,"A","Winter",0.427
"Winter","Pre","DWSC","Winter_37",6,1.55,"A","Winter",0.718
"Winter","Post","DWSC","Winter_37",6,1.19,"A","Winter",0.551
"Winter","Pre","DWSC","Winter_38",6.2,1.56,"A","Winter",0.655
"Winter","Post","DWSC","Winter_38",6.3,1.25,"A","Winter",0.5
"Winter","Pre","DWSC","Winter_39",6,1.21,"A","Winter",0.56
"Winter","Post","DWSC","Winter_39",6.2,0.87,"A","Winter",0.365
"Winter","Pre","DWSC","Winter_40",6,1.06,"A","Winter",0.491
"Winter","Post","DWSC","Winter_40",6,0.75,"A","Winter",0.347
"Winter","Pre","DWSC","Winter_41",5,0.83,"A","Winter",0.664
"Winter","Post","DWSC","Winter_41",5.2,0.7,"A","Winter",0.498
"Winter","Pre","DWSC","Winter_42",6.3,1.62,"A","Winter",0.648
"Winter","Post","DWSC","Winter_42",6.3,1.33,"A","Winter",0.532
"Winter","Pre","DWSC","Winter_43",6.4,1.8,"A","Winter",0.687
"Winter","Post","DWSC","Winter_43",6.5,1.64,"A","Winter",0.597
"Winter","Pre","DWSC","Winter_44",6.3,1.74,"A","Winter",0.696
"Winter","Post","DWSC","Winter_44",6.4,1.52,"A","Winter",0.58
"Winter","Pre","DWSC","Winter_45",5.8,1.27,"A","Winter",0.651
"Winter","Post","DWSC","Winter_45",6,0.99,"A","Winter",0.458
"Winter","Pre","DWSC","Winter_46",6.8,2.13,"A","Winter",0.677
"Winter","Post","DWSC","Winter_46",6.8,1.85,"A","Winter",0.588
"Winter","Pre","DWSC","Winter_47",5.3,1.01,"A","Winter",0.678
"Winter","Post","DWSC","Winter_47",5.5,0.96,"A","Winter",0.577
"Winter","Pre","DWSC","Winter_48",7,1.92,"A","Winter",0.56
"Winter","Post","DWSC","Winter_48",7.1,1.47,"A","Winter",0.411
"Winter","Pre","DWSC","Winter_49",7.5,3.09,"A","Winter",0.732
"Winter","Post","DWSC","Winter_49",7.6,2.84,"A","Winter",0.647
"Winter","Pre","DWSC","Winter_50",6.8,2.55,"A","Winter",0.811
"Winter","Post","DWSC","Winter_50",6.9,2.18,"A","Winter",0.664
"Winter","Pre","DWSC","Winter_51",6,1.2,"A","Winter",0.556
"Winter","Post","DWSC","Winter_51",6,1.06,"A","Winter",0.491
"Winter","Pre","DWSC","Winter_52",5.9,1.31,"A","Winter",0.638
"Winter","Post","DWSC","Winter_52",6.9,1.1,"A","Winter",0.335
"Winter","Pre","DWSC","Winter_53",NA,NA,"A","Winter",NA
"Winter","Post","DWSC","Winter_53",4.9,0.47,"A","Winter",0.399
"Winter","Pre","DWSC","Winter_54",5.7,1.01,"A","Winter",0.545
"Winter","Post","DWSC","Winter_54",5.7,0.77,"A","Winter",0.416
