Location,Recorder,Field.Check,Date,YSI#,Time,Weather,Secchi_m,Water.Temp_C,DO_mg_L,SpCond_uS,EC,pH,Tide,Microsystis_Rank,Turb1,Turb2,Turb3,Avg.Turb_ntu,Zooplankton?,Flow.Speed,Set.Time.min,Start.Time,Start.Meter,End.Meter,Revs,Zoop.Notes,Damage.A,Damage.B,Damage.C,Damage.Notes,Bio.A,Bio.B,Bio.C,Bio.Notes,Plate.Collection?,Mort.A,Mort.B,Mort.C,Fish.Notes,Misc.Notes,Entered.By,Entry.Date,Checked.By,Check.Date
RV,CP,Y,7/30/2019,2,8:18,CLR,1,23.4,7.68,127,123,7.99,Ebb,1,8,8,7.8,7.93,N,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,2,2,2,NA,N,NA,NA,NA,NA,Deployment Day/Vel. meter not working,TJ,10/30/2019,NK,11/4/2019
RV,OP/JK,Y,7/31/2019,Exo1,10:48,CLR,NA,23.17,7.52,125.9,121.5,NA,Ebb,1,6.28,6.03,6.18,6.16,Y,Low,0:00,11:31,999671,999171,500,NA,X,X,X,NA,2,2,2,NA,N,0,1,0,NA,No PH probe,TJ,10/30/2019,NK,11/4/2019
RV,EE,Y,8/1/2019,18F103765,10:08,CLR,NA,23.2,7.74,126.1,121.6,7.67,Ebb,1,7.16,6.79,7.06,7.00,Y,Low,2,10:14,999142,998473,669,NA,X,X,X,NA,2,2,2,NA,N,0,0,0,NA,NA,TJ,10/30/2019,NK,11/4/2019
RV,EE,Y,8/2/2019,NA,10:02,CLR,NA,22.9,7.81,125,119.1,7.73,Ebb,1,6.25,6.88,6.94,6.69,Y,Low,2,10:06,998473,997680,793,NA,X,X,X,NA,2,2,2,NA,N,0,0,0,NA,NA,TJ,10/30/2019,NK,11/4/2019
RV,OP,Y,8/5/2019,NA,9:54,CLR,NA,23.1,7.73,135,129,7.65,Ebb,1,4.9,4.5,5.2,4.87,Y,Low,2,10:23,997680,996891,789,NA,X,X,X,NA,3,3,3,NA,N,0,0,0,NA,NA,TJ,10/30/2019,NK,11/4/2019
RV,JK,Y,8/6/2019,NA,10:16,CLR,NA,23.1,7.86,137,132,7.81,Ebb,1,4.9,4.8,4.6,4.77,Y,Low,2,10:21,996876,996499,377,NA,X,X,X,NA,2.5,2.5,2.5,NA,N,0,0,0,NA,NA,TJ,10/30/2019,NK,11/4/2019
RV,EG,Y,8/8/2019,NA,10:28,CLR,NA,22.56,8.14,129.9,123.9,7.86,Flood,1,3.3,3.6,3.6,3.50,Y,Low,2,10:34,996502,996155,347,NA,X,X,X,NA,2,2,2,NA,N,1,0,0,NA,NA,TJ,10/30/2019,NK,11/4/2019
RV,EE,Y,8/12/2019,NA,10:10,CLR,NA,21.99,7.93,133.5,125.6,7.77,Ebb,1,3.7,3.6,3.5,3.60,Y,Low,2,10:18,996156,995799,357,NA,X,X,X,NA,3,3,3,NA,N,0,0,0,NA,NA,TJ,10/30/2019,NK,11/4/2019
RV,EE,N,8/15/2019,NA,10:22,CLR,NA,22.79,7.81,135.5,129.7,7.6,Ebb,1,4.8,4.9,4.4,4.70,Y,Low,2,10:28,995798,995420,378,NA,X,X,X,NA,2,2,2,NA,N,0,0,0,NA,NA,TJ,10/30/2019,NK,11/4/2019
RV,EE,Y,8/19/2019,NA,10:49,CLR,NA,22.32,7.96,131.4,124.7,7.78,Ebb,1,4.3,4.4,4.2,4.30,Y,Low,2,10:52,995420,995128,292,NA,X,X,X,NA,3,3,3,Lots of black hair algae,N,1,0,1,NA,NA,TJ,10/30/2019,NK,11/4/2019
