Location,Recorder,Field.Check,Date,YSI#,Time,Weather,Secchi_m,Water.Temp_C,DO_mg_L,SpCond_uS,EC,pH,Tide,Microsystis_Rank,Turb1,Turb2,Turb3,Avg.Turb_ntu,Vel1,Vel2,Vel3,Avg.Vel_f/s,Zooplankton?,Flow.Speed,Set.Time.min,Start.Time,Start.Meter,End.Meter,Revs,Zoop.Notes,Damage.A,Damage.B,Damage.C,Damage.Notes,Bio.A,Bio.B,Bio.C,Bio.Notes,Plate.Collection?,Mort.A,Mort.B,Mort.C,Fish.Notes,Misc.Notes,Entered.By,Entry.Date,Checked.By,Check.Date
SM,EE,Y,10/21/2019,NA,13:04,CLR,NA,17.98,7.91,8139.6,7039.3,7.81,Ebb,1,12.8,12.3,11.9,12.33,NA,NA,NA,NA,Y,Low,2,13:07,992210,992112,98,NA,X,X,X,NA,2,2,2,NA,NA,0,0,1,NA,NA,TJ,12/2/2019,NK,12/16/2019
SM,EE,N,10/15/2019,NA,12:17,CLR,NA,17.93,7.74,7763,6688.8,7.65,Flood,1,18.5,19.9,18.4,18.93,NA,NA,NA,NA,Y,Low,2,12:17,993443,993014,429,NA,ü,ü,ü,"Anchors moved, appear to have tangled together. Cages have bunched together. A + C touching.",2,2,2,NA,NA,0,0,0,NA,NA,TJ,12/2/2019,NK,12/16/2019
SM,EE,N,10/16/2019,NA,12:11,CLD,NA,17.8,7.65,7807.1,6733.8,7.68,Flood,1,15.2,16.1,15.7,15.67,NA,NA,NA,NA,Y,Low,2,12:14,992658,992494,164,NA,X,X,X,NA,2,2,2,NA,NA,0,0,0,NA,NA,TJ,12/2/2019,NK,12/16/2019
SM,EE,Y,10/11/2019,NA,11:19,CLR,NA,17.48,7.81,7803.5,6680.4,7.76,Flood,1,29.2,28.8,29.1,29.03,NA,NA,NA,NA,Y,Low,2,11:20,994325,994129,196,NA,X,X,X,NA,1,1,1,NA,NA,0,0,0,NA,NA,TJ,12/2/2019,NK,12/16/2019
SM,TJ,Y,10/14/2019,Exo 2,9:26,CLR,NA,17.3,7.56,7692,6570,7.55,NA,1,22.1,24.1,23.8,23.33,NA,NA,NA,NA,Y,Low,2,10:15,994127,993982,145,NA,X,X,X,NA,1,1,1,NA,NA,0,0,0,NA,NA,TJ,12/2/2019,NK,12/16/2019
Yolo,CS,Y,10/16/2019,2,13:11,CLD,0.50,16.9,9.04,226,191,8.45,Ebb,1,15.3,16.4,17.4,16.37,NA,NA,NA,NA,Y,Low,2,12:03,985292,985472,180,Copied Yolo sample (NDFA),X,X,X,NA,2,2,2,NA,NA,0,0,0,NA,KG = Karla Garibay,TJ,11/26/2019,NK,12/16/2019
Yolo,NI,Y,10/25/2019,3,9:51,CLR,0.37,16.8,7.72,215,182,7.84,Ebb,1,21.7,21.8,21.8,21.77,1.24,1.29,1.20,1.24,Y,Low,2,9:51,984680,985000,320,Tied off to cage.,X,X,X,NA,2,2,2,Lots of SAV debris outside.,NA,1,0,1,"Fungus all over head of fish from cage A. Fish from A 66mm, fish from C 59mm",NA,TJ,11/26/2019,NK,12/16/2019
Yolo,CS,Y,10/10/2019,3,11:16,CLR,0.36,16.7,8.20,272,229,7.96,Ebb,1,21.1,22.7,22.3,22.03,NA,NA,NA,#DIV/0!,Y,Low,2,11:16,986666,987016,350,Air bubble for first ~20s,X,X,X,"Bumped cage A a bit. Hinge on cage A is creating about a 1/4"" gap between cage and top cover.",2,1,1,Cage A with debris caught on upstream side of cage. Not much but could of blocked flow on upper portion of cage.,NA,0,0,0,NA,Did not measure velocity.,TJ,11/26/2019,NK,12/16/2019
Yolo,CP,Y,10/15/2019,2,11:02,CLR,0.55,16.4,9.04,227,190,8.35,Ebb,1,13.1,12.9,13.2,13.07,0.83,0.70,0.84,0.79,Y,Low,2,11:14,1000000,999276,724,NA,X,X,X,NA,2,2,2,Debris built downstream of C,NA,1,0,0,One spotted swimming.,NA,TJ,11/26/2019,NK,12/16/2019
Yolo,NI,Y,10/18/2019,3,9:50,CLD,0.49,16.4,8.86,211,177,8.41,Flood,1,16.0,15.9,15.8,15.90,0.69,0.78,0.79,0.75,Y,Low,2,10:45,998755,999200,445,NA,X,X,X,NA,2,2,2,NA,NA,0,0,0,NA,NA,TJ,11/26/2019,NK,12/16/2019
