Deployment,Period,Site,ID,FL_mm,Weight_g,Cage,K,Comments
Fall,Pre,FCCL,FCCL_100819_1,50,0.90,NA,0.720000000,NA
Fall,Pre,FCCL,FCCL_100819_2,53,1.00,NA,0.671695426,NA
Fall,Pre,FCCL,FCCL_100819_3,58,1.61,NA,0.825167084,NA
Fall,Pre,FCCL,FCCL_100819_4,66,2.43,NA,0.845229151,NA
Fall,Pre,FCCL,FCCL_100819_5,57,1.21,NA,0.653372428,NA
Fall,Pre,FCCL,FCCL_100819_6,58,1.30,NA,0.666283980,NA
Fall,Pre,FCCL,FCCL_100819_7,50,0.88,NA,0.704000000,NA
Fall,Pre,FCCL,FCCL_100819_8,60,1.68,NA,0.777777778,NA
Fall,Pre,FCCL,FCCL_100819_9,52,1.23,NA,0.874772417,NA
Fall,Pre,FCCL,FCCL_100819_10,67,2.30,NA,0.764721724,NA
Fall,Pre,FCCL,FCCL_100819_11,66,2.13,NA,0.740879873,NA
Fall,Pre,FCCL,FCCL_100819_12,59,1.51,NA,0.735226094,NA
Fall,Pre,FCCL,FCCL_100819_13,60,1.46,NA,0.675925926,NA
Fall,Pre,FCCL,FCCL_100819_14,62,1.97,NA,0.826591924,NA
Fall,Pre,FCCL,FCCL_100819_15,69,2.68,NA,0.815807177,NA
Fall,Pre,FCCL,FCCL_100819_16,48,0.62,NA,0.560619213,NA
Fall,Pre,FCCL,FCCL_100819_17,69,2.35,NA,0.715353308,NA
Fall,Pre,FCCL,FCCL_100819_18,55,1.20,NA,0.721262209,NA
Fall,Pre,FCCL,FCCL_100819_19,73,3.10,NA,0.796880342,NA
Fall,Pre,FCCL,FCCL_100819_20,54,0.97,NA,0.616013819,NA
Fall,Pre,FCCL,FCCL_100819_21,69,2.60,NA,0.791454724,NA
Fall,Pre,FCCL,FCCL_100819_22,65,2.21,NA,0.804733728,NA
Fall,Pre,FCCL,FCCL_100819_23,63,2.00,NA,0.799849628,NA
Fall,Pre,FCCL,FCCL_100819_24,67,1.93,NA,0.641701273,NA
Fall,Pre,FCCL,FCCL_100819_25,66,2.04,NA,0.709575090,NA
Fall,Pre,FCCL,FCCL_100819_26,63,1.43,NA,0.571892484,NA
Fall,Pre,FCCL,FCCL_100819_27,54,1.09,NA,0.692221714,NA
Fall,Pre,FCCL,FCCL_100819_28,62,2.00,NA,0.839179618,NA
Fall,Pre,FCCL,FCCL_100819_29,68,2.24,NA,0.712395685,NA
Fall,Pre,FCCL,FCCL_100819_30,57,1.09,NA,0.588575162,NA
Fall,Pre,FCCL,FCCL_100819_31,49,0.79,NA,0.671488920,NA
Fall,Pre,FCCL,FCCL_100819_32,61,1.50,NA,0.660848265,NA
Fall,Pre,FCCL,FCCL_100819_33,65,2.19,NA,0.797451070,NA
Fall,Pre,FCCL,FCCL_100819_34,63,1.80,NA,0.719864665,NA
Fall,Pre,FCCL,FCCL_100819_35,58,1.48,NA,0.758538685,NA
Fall,Pre,FCCL,FCCL_100819_36,71,2.73,NA,0.762759457,NA
Fall,Pre,FCCL,FCCL_100819_37,65,1.97,NA,0.717341830,NA
Fall,Pre,FCCL,FCCL_100819_38,65,2.28,NA,0.830223031,NA
Fall,Pre,FCCL,FCCL_100819_39,67,2.34,NA,0.778021233,NA
Fall,Pre,FCCL,FCCL_100819_40,62,1.69,NA,0.709106777,NA
Fall,Pre,FCCL,FCCL_100819_41,66,2.19,NA,0.761749729,NA
Fall,Pre,FCCL,FCCL_100819_42,59,1.32,NA,0.642714202,NA
Fall,Pre,FCCL,FCCL_100819_43,65,2.01,NA,0.731907146,NA
Fall,Pre,FCCL,FCCL_100819_44,65,2.35,NA,0.855712335,NA
Fall,Pre,FCCL,FCCL_100819_45,62,2.06,NA,0.864355007,NA
Fall,Pre,FCCL,FCCL_100819_46,58,1.33,NA,0.681659765,NA
Fall,Pre,FCCL,FCCL_100819_47,56,1.39,NA,0.791499636,NA
Fall,Pre,FCCL,FCCL_100819_48,48,0.76,NA,0.687210648,NA
Fall,Pre,FCCL,FCCL_100819_49,67,2.09,NA,0.694899306,NA
Fall,Pre,FCCL,FCCL_100819_50,59,1.35,NA,0.657321342,NA
Fall,Pre,FCCL,FCCL_100819_51,53,0.96,NA,0.644827609,NA
Fall,Pre,FCCL,FCCL_100819_52,66,1.87,NA,0.650443832,NA
Fall,Pre,FCCL,FCCL_100819_53,65,1.92,NA,0.699135184,NA
