SiteName,Date,Method,TowDistance_m,SetTime_min,FlowMeterBegin,FlowMeterEnd,Rotations,MeshSize,RingSize_cm,TotalVolume_ml,Subsampled_ml,ID,Count,#ofSubsample,Taxa,ugC.ind,Total.Biomass,X19,QC'ed by,Date_1,RingSize_m,distance,volumesampled,samplecount,ind_m3,samplebiomass,bio_m3,radius
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,0.4,Rotifers,149,1,Microzoo,0.12,17.88,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,41720,12773.071622401461,5006.4,1532.7685946881752,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,0.4,Barnacles,0,NA,Microzoo,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,0.4,Copepod nauplii,191,1,Microzoo,0.1,19.1,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,53480,16373.534764286436,5348,1637.3534764286437,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,0.4,Ostracods,1,1,Microzoo,0.6,0.6,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,280,85.72531290202323,168,51.43518774121394,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acanthocyclops vernalis adult,1,1,Cyclopoid,3.36,3.36,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,20.74074074074074,6.350023177927647,69.68888888888888,21.336077877836892,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acanthocyclops vernalis copepodid,0,NA,Cyclopoid,1.68,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Cyclopoid adult,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Cyclopoid copepodid,94,1,Cyclopoid,1.68,157.92,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,1949.6296296296296,596.9021787251987,3275.3777777777773,1002.7956602583338,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Diacyclops thomasi,1,1,Cyclopoid,3.36,3.36,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,20.74074074074074,6.350023177927647,69.68888888888888,21.336077877836892,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Ectocyclops phaleratus,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eucyclops elegans,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eucyclops,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona copepodid,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona sinensis,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona spp.,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona tetraspina,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Mesocyclops edax,0,NA,Cyclopoid,NA,0,NA,TJ,12/19/2019,0.5,16.6348566348566,3.2662464623490646,0,0,0,0,1
