Site,Cage,Enclosure,Mesh,Pre_FL_cm,Post_FL_cm,PropChange_FL,Pre_Weight_g,Post_Weight_g,PropChange_Weight,Pre_CF,Post_CF,Delta_CF
DWSC,A,A,wrap,6,6.1,0.02,1.59,1.28,-0.19,0.736,0.564,-0.172
DWSC,A,A,wrap,6.3,6.4,0.02,1.1,0.97,-0.12,0.44,0.37,-0.07
DWSC,A,A,wrap,5.6,5.8,0.04,1.2,1.06,-0.12,0.683,0.543,-0.14
DWSC,A,A,wrap,NA,6.1,NA,NA,1.3,NA,NA,0.573,NA
DWSC,A,A,wrap,6.5,6.6,0.02,1.89,1.62,-0.14,0.688,0.563,-0.125
DWSC,A,A,wrap,5.7,5.7,0,1.15,1.14,-0.01,0.621,0.616,-0.005
DWSC,A,A,wrap,5.9,5.9,0,1.13,1.19,0.05,0.55,0.579,0.029
DWSC,A,A,wrap,6.6,6.7,0.02,2.29,2.02,-0.12,0.797,0.672,-0.125
DWSC,A,A,wrap,6.4,6.4,0,1.88,1.63,-0.13,0.717,0.622,-0.095
DWSC,A,A,wrap,5.8,5.8,0,1.38,1.1,-0.2,0.707,0.564,-0.143
DWSC,A,A,wrap,6.7,6.7,0,2.27,2.02,-0.11,0.755,0.672,-0.083
DWSC,A,A,wrap,NA,6.9,NA,NA,1.56,NA,NA,0.475,NA
DWSC,A,A,wrap,6,6,0,1.45,1.25,-0.14,0.671,0.579,-0.092
DWSC,A,A,wrap,6.1,6,-0.02,1.32,1.05,-0.2,0.582,0.486,-0.096
DWSC,A,A,wrap,6.1,6.3,0.03,1.55,1.31,-0.15,0.683,0.524,-0.159
DWSC,A,A,wrap,6,5.8,-0.03,1.31,1.13,-0.14,0.606,0.579,-0.027
DWSC,A,A,wrap,5,5.3,0.06,0.98,0.88,-0.1,0.784,0.591,-0.193
DWSC,A,A,wrap,7.1,7,-0.01,2.5,2.16,-0.14,0.698,0.63,-0.068
DWSC,A,A,wrap,6.2,6.2,0,1.57,1.5,-0.04,0.659,0.629,-0.03
DWSC,A,A,wrap,5.5,5.6,0.02,1.13,0.91,-0.19,0.679,0.518,-0.161
DWSC,A,A,wrap,NA,5.6,NA,NA,0.96,NA,NA,0.547,NA
DWSC,A,A,wrap,6.7,6.6,-0.01,1.96,1.77,-0.1,0.652,0.616,-0.036
DWSC,A,A,wrap,6,6.2,0.03,1.71,1.53,-0.11,0.792,0.642,-0.15
DWSC,A,A,wrap,6.4,6.4,0,1.7,1.41,-0.17,0.648,0.538,-0.11
DWSC,A,A,wrap,6.7,6.9,0.03,1.88,1.66,-0.12,0.625,0.505,-0.12
DWSC,A,A,wrap,6.5,6.4,-0.02,1.49,1.17,-0.21,0.543,0.446,-0.097
DWSC,A,A,wrap,NA,6.1,NA,NA,0.78,NA,NA,0.344,NA
DWSC,A,A,wrap,5.2,5.4,0.04,0.78,0.53,-0.32,0.555,0.337,-0.218
DWSC,A,A,wrap,5.6,5.7,0.02,1.16,0.98,-0.16,0.661,0.529,-0.132
