Location,Date,Time,Weather,Secchi_m,Water.Temp_C,DO_mg_L,SpCond_uS,EC,pH,Tide,Microsystis_Rank,Turb1,Turb2,Turb3,Avg.Turb_ntu,Vel1,Vel2,Vel3,Avg.Vel_cfs,Zooplankton?,Flow.Speed,Set.Time,Start.Meter,End.Meter,Revs,Zoop.Notes,Damage.A,Damage.B,Damage.C,Damage.D,Damage.E,Damage.F,Damage.Notes,Bio.A,Bio.B,Bio.C,Bio.D,Bio.E,Bio.F,Bio.Notes,Plate.Collection?,Mort.A,Mort.B,Mort.C,Mort.D,Mort.E,Mort.F,Fish.Notes,Misc.Notes
RV,1/22/2019,15:15,CLR,NA,10.8,10.9,183,134,7.51,FLD,1,72.6,84.9,73.2,76.9,0.29,0.32,0.33,0.313333333,Y,NA,NA,NA,NA,NA,"throw tow, dist: 5m",X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,N,NA,NA,NA,NA,NA,NA,NONE,cage deployment day
RV,1/23/2019,10:49,CLR,0.15,10.5,9.16,196,141,7.64,EBB,1,58.5,58.2,59.3,58.66666667,0.89,0.88,0.86,0.876666667,Y,NA,NA,NA,NA,NA,"throw tow, dist: 5m",X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,N,NA,NA,NA,NA,NA,NA,fish deployed,invert plates deployed
RV,1/24/2019,13:48,CLR,0.17,10.5,9.11,197,143,7.46,FLD,1,52,55.3,56.7,54.66666667,0.02,0.06,0.05,0.043333333,Y,REG,2,970000,970289,289,NONE,X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,"cage F: caught 1 live smelt in net- fiesty; cage B: small rivet in bottom of cage, caught in net; cage D: caught Gammarus in net",NONE
RV,1/25/2019,11:21,CLR,0.18,10.1,9.24,178,127,7.37,EBB,1,51.8,58.3,51.8,53.96666667,0.81,0.76,0.76,0.776666667,Y,REG,2,970100,970190,90,"tow looked good, bubble in flow meter",X,X,X,X,X,X,A's lid has small gap; C some rusting on top rim; D listing very slightly,2,1,1,1,1,1,B had tree branch caught on it; A has some SAV on the upstream side during ebb,N,0,0,0,0,0,0,"1 live fish caught in F, looked well",NONE
RV,1/28/2019,10:39,CLD,0.34,10.2,9.13,213,153,7.59,EBB,1,29.6,30.8,30.8,30.4,0.16,0.18,0.18,0.173333333,Y,REG,2,970300,970615,315,NONE,X,X,X,X,X,X,Cage C: slight rust on top of rim,1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,"F, D, E: caught 1 gammarus in net",NONE
RV,1/29/2019,10:40,CLR,0.4,10.6,8.95,237,172,7.78,FLD,1,25.8,23.8,25,24.86666667,0.2,0.18,0.21,0.196666667,Y,REG,2,971100,971988,888,NONE,X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,Cage B: did 2 sweeps (1st net twisted); took footage at cage B,NONE
RV,1/30/2019,15:03,CLD,0.39,11,8.63,241,177,7.79,EBB,1,22.3,22.6,22.1,22.33333333,0.83,0.82,0.89,0.846666667,Y,REG,2,972213,972371,158,NONE,X,X,X,X,X,X,NONE,3,1,1,1,1,1,"Cage A: lots of debris caught up on upstream side during ebb tide, slight depression on top side or cage, looks like wire ties have come loose; brushed cages",Y,0,0,0,0,0,0,NONE,NONE
RV,1/31/2019,11:03,FOG,0.56,11.3,8.52,256,189,7.8,FLD,1,18.9,19.1,18.7,18.9,0.62,0.75,0.71,0.693333333,Y,REG,2,972400,973017,617,white flowmeter,Y,X,X,X,X,X,"A: mesh top seperating, added zip ties to keep together; D: little rusty",1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,A: 2 smelt at surface; B: saw 1 smelt swimming at surface after putting camera in; C: 4-5 swimming/jumping near surface; D: 1 swimming near surface; E: one near surface during netting-looked distressed; F: ton swam near surface/frantic before putting camera in,"E, C, A: gam in net; go pro footage order: B, E, F, D, C, A"
RV,2/1/2019,NA,CLD,0.64,11.6,8.45,268,200,7.5,FLD,1,15.6,15.8,15.5,15.63333333,0.86,0.79,0.78,0.81,Y,REG,2,973000,973430,430,white flowmeter,X,X,X,X,X,X,F listing a smidge with the tides; D listing against tide,1,1,1,1,1,1,D: azola at surface; A: sides feel slightly slick; C: azola on surface,N,0,0,0,0,0,0,B & C: 3 smelt near surface; A & D: 1 smelt near surface,NONE
RV,2/4/2019,10:10,RAN,0.68,11.8,9.29,265,198,7.57,FLD,1,14,14,13.7,13.9,0.04,0.06,0.04,0.046666667,Y,NA,NA,NA,NA,NA,"throw tow, dist: 6.5m towed parallel w/ramp",NA,NA,NA,NA,NA,NA,"no check, too windy; no damage visible from seawall",NA,NA,NA,NA,NA,NA,"no check, too windy",N,NA,NA,NA,NA,NA,NA,"no check, too windy","surface moving quickly, very windy"
RV,2/5/2019,10:50,CLR,0.47,11.4,9.29,283,209,8.21,EBB,1,21.3,22.8,21.5,21.86666667,0.42,0.39,0.38,0.396666667,Y,NA,NA,NA,NA,NA,"throw tow from boat, dist: 6.5m",X,X,XX,X,X,X,D rusty near lid,1,1,1,1,1,1,NONE,N,0,0,0,0,0,1,"Cage A: one smelt swimming briefly near surface; Video order: E,B,D,C,A; No video for F - go pro added after netting",NONE
RV,2/6/2019,12:11,CLR,0.13,10.8,9.3,225,164,7.94,EBB,1,73,68.4,63.5,68.3,0.16,0.16,0.16,0.16,Y,REG,2,974676,975012,336,NONE,X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,Y,0,0,0,0,0,0,no netting or camera check,NONE
RV,2/7/2019,10:40,CLR,0.13,10,9.45,196,140,8.18,EBB,1,70.8,70.5,72.5,71.26666667,0.92,0.8,0.9,0.873333333,Y,REG,2,975200,975465,265,NONE,X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,"Cage A: 1 smelt caught live, got tangled in net w/ difficulties in removing; Cage E: 2 live fish caught- both released quickly w/o issue; video order: A,C,D,F,E,B",samples taken for Hobbs lab
RV,2/8/2019,9:21,CLD,0.19,9.8,9.28,247,175,7.53,EBB,1,44.5,43.6,44.4,44.16666667,1.2,0.97,0.95,1.04,Y,REG,2,975400,975920,520,NONE,X,X,X,X,X,X,cage C: looks to be sitting slightly deeper than other cage,1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,did not net for mortalities,NONE
RV,2/11/2019,10:49,CLR,0.35,9.2,9.83,238,166,7.88,EBB,1,29.6,28.8,30.4,29.6,0.76,0.77,0.85,0.793333333,Y,REG,2,975944,976578,634,NONE,X,X,X,X,X,X,B looks higher out of water; D looks low,1,1,1,1,1,1,all buoys getting slimy; all cages had some residue but not obstructing pores,N,0,0,0,0,0,0,"not netted, no video recorded or fish seen",NONE
RV,2/12/2019,10:37,CLD,0.38,9,10.25,200,139,7.56,EBB,1,22.4,23.2,22.5,22.7,0.61,0.64,0.67,0.64,Y,REG,2,976600,976940,340,NONE,X,X,X,X,X,X,"camera order: A,C,D,F,E,B",1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,no netting; go pro footage taken from side of cage (within),NONE
RV,2/15/2019,11:04,CLD,0.2,9.5,10.52,211,149,7.92,FLD,1,45.6,41,43.4,43.33333333,0.13,0.12,0.13,0.126666667,Y,REG,2,977000,978319,1319,NONE,X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,Y,0,0,0,0,0,0,"tried netting F, too choppy and no netting on A-E",NONE
RV,2/19/2019,13:35,CLR,0.14,8.4,10.39,127,87,7.78,FLD,1,101.2,98.9,98.8,99.63333333,0.28,0.27,0.28,0.276666667,Y,NA,NA,NA,NA,NA,"hand tow, dist: 6.5m (checked against prior lengths)",X,X,X,X,X,X,NONE,1,1,1,1,1,1,"algae growth on cages, not blocking flow much; took photo of B",N,0,0,0,0,0,0,no netting or video,NONE
RV,2/21/2019,11:23,WND,0.17,8.7,10.01,163,112,7.5,EBB,1,81.4,79.3,70.2,76.96666667,0.64,0.62,0.69,0.65,Y,REG,2,981500,982591,1091,"poor set b/c of wind, kink in end",X,X,X,X,X,X,NONE,2,2,2,2,2,2,cages starting to get algae growth,N,0,0,0,0,0,0,no netting,NONE
RV,2/22/2019,11:53,CLR,0.13,8.6,10.43,165,114,7.89,EBB,1,71.6,73.5,72,72.36666667,0.76,0.86,0.76,0.793333333,Y,REG,2,982647,982894,247,NONE,X,X,X,X,X,X,NONE,2,2,2,2,2,2,"algae growth on all cage; took go pro footage of sides- camera order: F,E,B,A,C,D",Y,0,0,0,0,0,0,"no netting, took go pro of bottom",NONE
RV,2/25/2019,10:55,CLD,NA,9,10.12,204,142,7.92,NA,1,57.5,55.2,61,57.9,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NONE,NA,NA,NA,NA,NA,NA,NONE,NA,NA,NA,NA,NA,NA,NONE,NA,NA,NA,NA,NA,NA,NA,NONE,NONE
DWSC,2/26/2019,12:24,RAN,0.25,9.8,10.5,411,291,8.29,EBB,1,36.4,38.8,39.5,38.23333333,0.72,0.72,0.66,0.7,Y,REG,2,983000,984370,1370,NONE,X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,N,NA,NA,NA,NA,NA,NA,NONE,NONE
DWSC,2/27/2019,9:55,RAN,0.31,9.7,10.49,366,259,7.81,FLD,1,32.1,32.7,33.2,32.66666667,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NONE,NA,NA,NA,NA,NA,NA,NONE,NA,NA,NA,NA,NA,NA,NONE,N,NA,NA,NA,NA,NA,NA,NONE,NONE
DWSC,2/28/2019,11:25,CLD,0.28,10.3,10.58,447,322,8.76,FLD,1,29.2,31.5,31.1,30.6,0.44,0.44,0.42,0.433333333,Y,REG,2,985100,985386,286,NONE,X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,only looked at surface,NONE
DWSC,3/1/2019,10:07,CLD,0.29,10.5,10.59,482,348,8.58,FLD,1,27.7,26.9,27.3,27.3,0.44,0.44,0.45,0.443333333,Y,REG,2,985000,985829,829,NONE,X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,no netting,"set trail cam upstream to 1 min intervals, was off before…"
DWSC,3/4/2019,14:50,CLD,0.35,11,10.33,437,320,7.9,FLD,1,21.9,21.7,22.6,22.06666667,0.12,0.17,0.13,0.14,Y,REG,2,986000,986400,400,NONE,X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,no netting,NONE
DWSC,3/8/2019,11:15,CLR,0.37,11.5,10.45,548,405,7.26,EBB,1,22.2,21.4,21.5,21.7,0.15,0.15,0.14,0.146666667,Y,REG,2,986400,987097,697,NONE,X,X,X,X,X,X,NONE,1,1,1,1,1,1,"noticed rusty clumps blocking some of the holes on cage; camera order: B,E,F,A,C,D",N,0,0,0,0,0,0,took video,NONE
DWSC,3/11/2019,14:55,CLR,0.27,11.9,10.38,577,433,8.08,EBB,1,29.4,29.6,30.1,29.7,0.26,0.33,0.31,0.3,Y,NA,NA,NA,NA,NA,"throw net, poor sample-almost no bugs",X,X,X,X,X,X,"south buoy twisted around and upstream of F, moved buoy south and took slack of rope to piling",1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,NONE,NONE
DWSC,3/12/2019,10:41,CLD,0.3,11.6,10.29,527,393,7.18,EBB,1,29.2,29.5,28.9,29.2,0.37,0.36,0.36,0.363333333,Y,NA,NA,NA,NA,NA,"throw net tow, dist: 6.5m; boat got pushed a little, may not have been full length",X,X,X,X,X,X,NONE,1,1,1,1,1,1,little algae,N,0,0,0,0,0,0,no netting or camera,NONE
DWSC,3/13/2019,11:05,CLR,0.37,11.6,10.52,597,444,8.11,EBB,1,21.3,21.3,21.2,21.26666667,0.65,0.7,0.66,0.67,Y,REG,2,990400,991008,608,NONE,X,X,X,Y,X,X,"D: really rusty, holes partially blocked; brushed part of outsides on C & D to remove rust",1,1,1,1,1,1,algae buildup on all cages not blocking holes,N,0,0,0,0,0,0,no netting/camera,NONE
DWSC,3/15/2019,10:20,CLR,0.36,11.7,10.45,594,444,7.87,FLD,1,21.7,21.5,21.4,21.53333333,0.49,0.45,0.43,0.456666667,Y,REG,2,990000,990077,77,"no motor for zoop tow, was taken from piling",X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,N,0,0,1,0,0,0,"mortality in C is chewed up, mouth wide open and missing eyes",NONE
DWSC,3/19/2019,10:44,CLD,0.2,13.1,10.14,695,538,8.25,LOW,1,36.6,37.1,37.4,37.03333333,NA,NA,NA,NA,Y,REG,2,990094,990904,810,NONE,X,X,X,X,X,Y,F: buoy support bent,1,1,1,1,1,1,algae on all,N,0,0,0,0,0,0,NONE,fixed anchors
DWSC,3/20/2019,10:09,CLD,NA,13.3,10,632,491,7.37,EBB,1,31.3,33.5,33.5,32.76666667,0.09,0.06,0.1,0.083333333,Y,NA,NA,NA,NA,NA,used throw net for sample,X,X,X,X,X,X,NONE,2,2,2,2,2,2,scrubbed each cage for biofouling,N,0,0,0,0,0,0,NONE,pH may be incorrect
DWSC,3/22/2019,9:27,RAN,0.37,13.5,9.84,549,428,8.49,FLD,1,25.2,24.5,27.1,25.6,NA,NA,NA,NA,Y,REG,2,994000,994818,818,sample taken but forgot materials to store/preserve,X,X,X,X,X,X,NONE,1,1,1,1,1,1,NONE,N,0,0,0,0,0,0,NONE,cages seem normal
DWSC,3/25/2019,11:32,CLD,0.47,14.1,9.79,566,448,8.08,EBB,1,17.4,17.7,17.7,17.6,0.41,0.43,0.43,0.423333333,Y,REG,2,994830,995972,1142,NONE,X,X,X,X,X,X,cage F has same buoy damage as before,3,3,3,3,3,3,so much algae,N,0,0,0,0,0,0,no netting or use of camera,NONE
DWSC,3/26/2019,10:15,CLD,0.36,14.1,9.61,493,390,8.1,FLD,1,18.5,20,19.6,19.36666667,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NONE,X,X,X,X,X,X,NONE,3,3,3,3,3,3,algae!,N,0,0,0,0,0,0,NONE,limited check due to Yolo & eDNA
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
