Location,Date,Method,TowDistance,SetTime,FlowMeterStart,FlowMeterEnd,Rotations,MeshSize,RingSize,TotalVolume,SubsampledVolume,Taxon,Count,nSubsamples,TaxonomicGrouping,BiomassIndex,TotalBiomass
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Rotifers,132,1,Microzoo,0.12,15.84
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Barnacles ,0,,Microzoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Copepod nauplii ,174,1,Microzoo,0.1,17.4
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Ostracods,1,1,Microzoo,0.6,0.6
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Acanthocyclops vernalis adult,4,1,Cyclopoid,3.36,13.44
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Acanthocyclops sp.,0,,Cyclopoid,0,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Cyclopoid adult,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Cyclopoid copepodid,60,1,Cyclopoid,1.68,100.8
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Diacyclops thomasi,2,1,Cyclopoid,3.36,6.72
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Ectocyclops phaleratus,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Eucyclops,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona copepodid,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona sinensis,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona spp.,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona tetraspina,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Macrocyclops albidus,1,1,Cyclopoid,3.36,3.36
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Mesocyclops edax,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Microcyclops rubellus,1,1,Cyclopoid,3.36,3.36
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Monospilus,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Oithona copepodid,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Oithona davisae,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Oithona similis,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Oithona spp. ,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Paracyclops spp.,0,,Cyclopoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Acartia copepodid,0,,Calanoid,1.301,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Acartia spp.,0,,Calanoid,0,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Acartiella copepodid,0,,Calanoid,1.162,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Acartiella sinensis ,0,,Calanoid,2.666,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Calanoid copepodid,8,1,Calanoid,1.5,12
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Diaptomus copepodid,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Diaptomus spp.,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Eurytemora affinis adult,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Eurytemora affinis copepodid,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Osphranticum copepodid,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Osphranticum labronectum,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Pseudodiaptomus forbesi adult,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Pseudodiaptomus forbesi copepodid,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Sinocalanus doerrii adult ,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Sinocalanus doerrii copepodid,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Skistodiaptomus pallidus,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Tortanus copepodid,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Tortanus spp. ,0,,Calanoid,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Alona,2,1,Cladocera,0.6,1.2
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Alonella,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Bosmina ,23,1,Cladocera,0.6,13.8
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Camptocercus,4,1,Cladocera,0.6,2.4
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Ceriodaphnia,25,1,Cladocera,1.4,35
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Chydorus,22,1,Cladocera,0.6,13.2
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Daphnia,13,1,Cladocera,4,52
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Diaphanosoma,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Disparalona,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Eurycercus,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Graptoleberis,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Ilyocryptus,1,1,Cladocera,0.6,0.6
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Kurzia,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Macrothrix,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Moina,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Monospilus,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Picripleuroxus,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Pleuroxus,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Scaphloberis,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Sida,0,,Cladocera,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Simocephalus,1,1,Cladocera,1,1
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Harpacticoids,2,1,Harpacticoid,1,2
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Americorophium,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Annelid,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Baby Clam,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Baby snail,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Clam,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Corophium spp.,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Cumacean,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Fish,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Fish eggs,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Gammarus spp.,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Insect larvae,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Isopod,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Larval Fish,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Mysids,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Shrimp ,0,,Macrozoo,,0
RV,1/23/2019,Throw,5,NA,NA,NA,NA,50,15,86,12,Snail,0,,Macrozoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,0.4,Rotifers,149,1,Microzoo,0.12,17.88
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,0.4,Barnacles ,0,,Microzoo,,0
RV,1/24/2019,Tow,NA,2,970000,970289,289,50,50,112,0.4,Copepod nauplii ,191,1,Microzoo,0.1,19.1
