Cage,Pre_DPH,Pre_FL_mm,Pre_FL_cm,Pre_Weight_g,Pre_CF,Post_DPH,Post_FL_mm,Post_FL_cm,Post_Weight_g,Post_CF,Delta_CF,Site
FCCL1,238,61,6.1,1.54,0.678470885,280,65,6.5,2.48,0.903049613,0.224578728,RV
FCCL1,238,57,5.7,1.3,0.701970377,280,71,7.1,2.75,0.768347438,0.066377061,RV
FCCL1,238,49,4.9,0.77,0.654489201,280,75,7.5,3.86,0.914962963,0.260473762,RV
FCCL1,238,61,6.1,1.97,0.867914054,280,68,6.8,2.55,0.810986159,-0.056927895,RV
FCCL1,238,62,6.2,1.86,0.780437045,280,75,7.5,3.17,0.751407407,-0.029029637,RV
FCCL1,238,57,5.7,1.38,0.745168554,280,78,7.8,3.9,0.821827745,0.076659191,RV
FCCL1,238,55,5.5,1.18,0.709241172,280,68,6.8,2.32,0.737838388,0.028597216,RV
FCCL1,238,65,6.5,2.25,0.819299044,280,72,7.2,2.73,0.731417181,-0.087881863,RV
FCCL1,238,44,4.4,0.38,0.446093163,280,73,7.3,3.17,0.814874414,0.368781251,RV
FCCL1,238,53,5.3,1.09,0.732148015,280,69,6.9,3.03,0.922349159,0.190201145,RV
FCCL1,238,50,5,0.85,0.68,280,74,7.4,3.41,0.841509881,0.161509881,RV
FCCL1,238,43,4.3,0.49,0.616297936,280,64,6.4,2.22,0.846862793,0.230564857,RV
FCCL1,238,47,4.7,0.72,0.693487955,280,61,6.1,1.74,0.766583987,0.073096032,RV
FCCL1,238,48,4.8,0.49,0.443070023,280,54,5.4,1.16,0.73667632,0.293606297,RV
FCCL1,238,50,5,0.86,0.688,280,67,6.7,2.16,0.718173446,0.030173446,RV
FCCL1,238,55,5.5,1.28,0.769346356,280,74,7.4,3.37,0.831638797,0.062292441,RV
FCCL1,238,71,7.1,2.75,0.768347438,280,77,7.7,4.28,0.937500685,0.169153246,RV
FCCL1,238,53,5.3,0.95,0.638110655,280,73,7.3,3.28,0.843150813,0.205040158,RV
FCCL1,238,50,5,0.8,0.64,280,72,7.2,3.3,0.884130658,0.244130658,RV
FCCL1,238,52,5.2,0.96,0.682749203,280,74,7.4,3.68,0.908139696,0.225390492,RV
FCCL1,238,58,5.8,1.49,0.763663947,280,65,6.5,2.1,0.764679108,0.001015161,RV
FCCL1,238,59,5.9,1.51,0.735226094,280,70,7,2.05,0.597667638,-0.137558456,RV
FCCL1,238,60,6,1.49,0.689814815,280,62,6.2,1.47,0.616797019,-0.073017796,RV
FCCL1,238,52,5.2,0.87,0.618741466,280,65,6.5,2.42,0.881201639,0.262460173,RV
FCCL1,238,71,7.1,2.99,0.835403215,280,77,7.7,3.8,0.832360421,-0.003042794,RV
FCCL1,238,51,5.1,0.82,0.618163451,280,77,7.7,4.29,0.939691107,0.321527655,RV
FCCL1,238,56,5.6,1.2,0.683309038,280,67,6.7,2.51,0.834544143,0.151235105,RV
FCCL1,238,55,5.5,1.15,0.691209617,280,70,7,2.58,0.752186589,0.060976972,RV
FCCL1,238,45,4.5,0.55,0.603566529,280,68,6.8,2.39,0.760100753,0.156534224,RV
FCCL1,238,49,4.9,0.95,0.807486676,280,65,6.5,1.96,0.713700501,-0.093786176,RV
FCCL2,266,58,5.8,1.56,0.799540777,294,73,7.3,3.45,0.886850703,0.087309927,DWSC
FCCL2,266,63,6.3,2.89,1.155782713,294,71,7.1,2.78,0.77672941,-0.379053302,DWSC
FCCL2,266,76,7.6,3.76,0.856538854,294,72,7.2,3.06,0.819830247,-0.036708607,DWSC
FCCL2,266,66,6.6,2.09,0.726966636,294,67,6.7,2.31,0.768046601,0.041079965,DWSC
FCCL2,266,64,6.4,2,0.762939453,294,71,7.1,3.08,0.860549131,0.097609678,DWSC
FCCL2,266,64,6.4,2.05,0.782012939,294,57,5.7,1.2,0.647972656,-0.134040284,DWSC
FCCL2,266,60,6,1.64,0.759259259,294,71,7.1,2.89,0.807463308,0.048204049,DWSC
FCCL2,266,55,5.5,0.96,0.577009767,294,83,8.3,4.42,0.773015126,0.196005359,DWSC
