Cage,Tag,Pre_FL_cm,Pre_Weight_g,Pre_CF,Post_FL_cm,Post_Weight_g,Post_CF,Delta_CF,Pre_post_Match
A,RD84,6.1,1.35,0.595,6.3,1.75,0.7,0.105,Y
A,RF68,6,1.29,0.597,6.1,1.53,0.674,0.077,Y
A,RK80,5.7,1.07,0.578,5.8,1.26,0.646,0.068,Y
A,RA76,6.3,1.53,0.612,6.4,1.83,0.698,0.086,Y
A,RK61,5.6,1.18,0.672,5.5,1.42,0.853,0.181,Y
A,RJ12,6,1.41,0.653,5.9,1.61,0.784,0.131,Y
A,RK32,5.4,0.87,0.553,5.5,1.3,0.781,0.228,Y
A,RK67,6,1.2,0.556,6.2,1.64,0.688,0.132,Y
A,RN78,5.9,1.26,0.613,6,1.37,0.634,0.021,Y
A,RA34,6.9,2.01,0.612,7,2.18,0.636,0.024,Y
A,RG39,5.5,1.1,0.661,5.9,1.25,0.609,-0.052,Y
A,RK70,5.9,1.36,0.662,6.4,2,0.763,0.101,Y
A,RJ43,6.9,2.16,0.658,5.9,2.16,1.052,0.394,Y
A,RN07,6,1.28,0.593,6,1.44,0.667,0.074,Y
A,RK78,5.5,1.04,0.625,5.5,1.12,0.673,0.048,Y
A,RJ85,6,1.54,0.713,6.2,1.65,0.692,-0.021,Y
A,RN56,5.5,1.14,0.685,5.8,1.51,0.774,0.089,Y
A,RK62,6.4,1.68,0.641,6.5,1.9,0.692,0.051,Y
A,RL75,5.3,1.08,0.725,5.5,1.25,0.751,0.026,Y
A,RK37,6,1.55,0.718,6.2,1.72,0.722,0.004,Y
A,RI55,5.8,1.14,0.584,5.9,1.32,0.643,0.059,Y
A,RD19,6.7,2.08,0.692,5.8,2.15,1.102,0.41,Y
A,RG13,6.1,1.31,0.577,6.3,1.57,0.628,0.051,Y
A,RH15,5.7,1.19,0.643,5.9,1.21,0.589,-0.054,Y
A,RL03,5.9,1.32,0.643,5.8,1.44,0.738,0.095,Y
A,RH65,5.9,1.45,0.706,6,1.68,0.778,0.072,Y
A,RN89,6.7,1.65,0.549,6.9,2.05,0.624,0.075,Y
A,RG87,6.1,1.5,0.661,6.3,1.74,0.696,0.035,Y
A,RB11,6,1.07,0.495,5.9,1.34,0.652,0.157,Y
A,RF23,6.4,1.67,0.637,6.5,2.1,0.765,0.128,Y
A,RK93,5.8,1.12,0.574,5.8,1.63,0.835,0.261,Y
A,RK03,6.1,1.35,0.595,6.1,1.72,0.758,0.163,Y
A,RA75,5,0.78,0.624,5.5,1.21,0.727,0.103,Y
A,RD23,6.3,1.79,0.716,6.3,2.13,0.852,0.136,Y
A,RB34,6,1.21,0.56,6,1.46,0.676,0.116,Y
A,RF05,6.4,1.71,0.652,6.5,1.8,0.655,0.003,Y
A,RF84,5.6,0.98,0.558,5.5,1.2,0.721,0.163,Y
A,RC16,5.9,1.05,0.511,5.9,1.49,0.725,0.214,Y
A,RH38,6.7,2.35,0.781,6.8,2.47,0.786,0.005,Y
A,RN82,4.7,0.73,0.703,5,0.97,0.776,0.073,Y
A,RC49,6,1.64,0.759,6.2,1.77,0.743,-0.016,Y
A,RH31,5.5,1.04,0.625,5.1,1.17,0.882,0.257,Y
A,RA92,6.4,1.6,0.61,6.3,1.5,0.6,-0.01,Y
A,RD76,6.5,1.8,0.655,6.6,2.02,0.703,0.048,Y
A,RI28,4.7,0.71,0.684,5.1,1.06,0.799,0.115,Y
A,RA72,5.7,1.23,0.664,5.9,1.5,0.73,0.066,Y
A,RB93,5.3,0.95,0.638,5.5,1.15,0.691,0.053,Y
A,RG47,6.2,1.85,0.776,6.3,2.08,0.832,0.056,Y
A,RI72,5.3,1.04,0.699,5.5,1.22,0.733,0.034,Y
A,RF55,5.1,1.02,0.769,5.3,0.86,0.578,-0.191,Y
A,RC92,5.7,1.27,0.686,5.9,1.49,0.725,0.039,Y
A,OO59,6.3,1.67,0.668,6,1.8,0.833,0.165,Y
A,OO90,6.1,1.72,0.758,6.3,1.85,0.74,-0.018,Y
A,OO12,5.4,1.12,0.711,5.5,1.49,0.896,0.185,Y
A,OO20,5.4,0.87,0.553,5.6,1.01,0.575,0.022,Y
A,OO75,6,1.34,0.62,6,1.54,0.713,0.093,Y
A,RG49,5.5,1.11,0.667,NA,NA,NA,NA,Y
A,NTA1,NA,NA,NA,6,1.43,0.662,NA,N
A,NTA2,NA,NA,NA,6.2,1.72,0.722,NA,N
A,NTA3,NA,NA,NA,6,1.48,0.685,NA,N
A,NTA4,NA,NA,NA,6.1,1.72,0.758,NA,N
A,NTA5,NA,NA,NA,5.4,1.2,0.762,NA,N
B,RC87,6.4,1.3,0.496,6.4,1.54,0.587,0.091,Y
B,RD03,5.8,1.44,0.738,6.3,1.8,0.72,-0.018,Y
B,RL26,6.3,1.69,0.676,6.8,1.77,0.563,-0.113,Y
B,NTB1,NA,NA,NA,6.4,1.77,0.675,NA,N
B,NTB2,NA,NA,NA,6.3,1.97,0.788,NA,N
B,RI75,5.3,0.84,0.564,5.5,1.04,0.625,0.061,Y
B,RL13,5.9,1.28,0.623,6.1,1.64,0.723,0.1,Y
B,RF80,6.2,1.66,0.697,6.5,2.1,0.765,0.068,Y
B,RI24,6.3,1.86,0.744,6.6,2.07,0.72,-0.024,Y
B,RC42,6.2,1.52,0.638,6.3,1.67,0.668,0.03,Y
B,RN90,5.8,1.34,0.687,6.1,1.62,0.714,0.027,Y
B,NTB3,NA,NA,NA,6.4,1.89,0.721,NA,N
B,RA59,5.9,1.12,0.545,6,1.45,0.671,0.126,Y
B,RB10,5.3,0.95,0.638,5.5,1.16,0.697,0.059,Y
B,RG07,6,1.15,0.532,6.1,1.55,0.683,0.151,Y
B,RN95,5.4,0.93,0.591,5.8,1.22,0.625,0.034,Y
B,RG20,4.9,0.72,0.612,5.3,0.94,0.631,0.019,Y
B,RN40,5.9,1.31,0.638,6,1.58,0.731,0.093,Y
B,RJ03,5.6,1.1,0.626,5.9,1.38,0.672,0.046,Y
B,RI44,7,2.23,0.65,7,2.43,0.708,0.058,Y
B,OO63,6.5,1.82,0.663,6.8,2.02,0.642,-0.021,Y
B,RI41,6.1,1.48,0.652,6.5,1.84,0.67,0.018,Y
B,RN27,6.1,1.41,0.621,5.4,1.74,1.105,0.484,Y
B,RC70,5.2,0.94,0.669,5.6,1.24,0.706,0.037,Y
B,RI65,5.2,0.88,0.626,5.5,1.18,0.709,0.083,Y
B,RJ49,5.3,0.89,0.598,5.5,1.17,0.703,0.105,Y
B,RC12,5.7,1.3,0.702,6.2,1.7,0.713,0.011,Y
B,RD99,5.6,1.03,0.587,5.9,1.39,0.677,0.09,Y
B,RF50,5.6,1.09,0.621,6,1.49,0.69,0.069,Y
B,RC37,5.6,1.02,0.581,5.7,1.19,0.643,0.062,Y
B,OO60,5.9,1.31,0.638,6.2,1.59,0.667,0.029,Y
B,OO05,5.3,1.08,0.725,5.6,1.22,0.695,-0.03,Y
B,RB75,5.9,1.2,0.584,6.1,1.44,0.634,0.05,Y
B,RG92,6.3,2.12,0.848,6.7,2.31,0.768,-0.08,Y
B,NTB4,NA,NA,NA,6.4,1.75,0.668,NA,N
B,RC23,6.2,1.64,0.688,6.5,1.89,0.688,0,Y
B,RK41,5.7,1.08,0.583,6,1.43,0.662,0.079,Y
B,RG15,6.3,1.58,0.632,6.4,1.74,0.664,0.032,Y
B,RD44,6.6,1.47,0.511,7,2.25,0.656,0.145,Y
B,NTB5,NA,NA,NA,7.4,2.9,0.716,NA,N
B,RA14,6.2,1.65,0.692,6.5,2.09,0.761,0.069,Y
