Location,Date,Method,TowDistance,SetTime,FlowMeterStart,FlowMeterEnd,Rotations,MeshSize,RingSize,TotalVolume,SubsampledVolume,Taxon,Count,nSubsamples,TaxonomicGrouping,BiomassIndex,TotalBiomass,RingSize_m
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Rotifers,132,1,Microzoo,0.12,15.84,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Barnacles,0,NA,Microzoo,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Copepod nauplii,174,1,Microzoo,0.1,17.4,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,1.2,Ostracods,1,1,Microzoo,0.6,0.6,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Acanthocyclops vernalis adult,4,1,Cyclopoid,3.36,13.44,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Acanthocyclops sp.,0,NA,Cyclopoid,0,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Cyclopoid adult,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Cyclopoid copepodid,60,1,Cyclopoid,1.68,100.8,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Diacyclops thomasi,2,1,Cyclopoid,3.36,6.72,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Ectocyclops phaleratus,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Eucyclops,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona copepodid,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona sinensis,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona spp.,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Limnoithona tetraspina,0,NA,Cyclopoid,NA,0,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Macrocyclops albidus,1,1,Cyclopoid,3.36,3.36,0.15
RV,2019-01-23,Throw,5,NA,NA,NA,NA,50,15,86,12,Mesocyclops edax,0,NA,Cyclopoid,NA,0,0.15
