attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Location	Location of cage deployment	categorical				
Date	Date	Date		MM/DD/YYYY		
Weather	Weather code	categorical				
Tide	Tide stage	categorical				
Cage	Cage ID	character				
Vel1	Velocity 1	numeric	footPerSecond			
Vel2	Velocity 2	numeric	footPerSecond			
Vel3	Velocity 3	numeric	footPerSecond			
AvgVel	Average Velocity	numeric	footPerSecond			
Time	Time	Date		hh:mm		
WaterTemp	Water temperature	numeric	celsius			
DO	Dissolved Oxygen	numeric	milligramPerLiter			
SpCond	Specific Conductance	numeric	microSeimensPerCentimeter			
EC	Electrical Conductivity	numeric	microSeimensPerCentimeter			
pH	pH	numeric	dimensionless			
Turb1	Turbidity 1	numeric	nephelometricTurbidityUnit			
Turb2	Turbidity 2	numeric	nephelometricTurbidityUnit			
Turb3	Turbidity 3	numeric	nephelometricTurbidityUnit			
AvgTurb	Average Turbidity	numeric	nephelometricTurbidityUnit			
ZooplanktonCollected	Whether or not zooplankton was collected	categorical				
PlatesDeployed	Whether or not plates were deployed	categorical				
Notes	Notes	character				
