attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Location	Location of cage deployment	categorical				
Date	Date date	Date		MM/DD/YYYY		
Method	Tow method	categorical				
TowDistance	Zooplankton tow distance in meters	numeric	meter		NA	not relevant to sampling method
SetTime	Zooplankton set time in minutess	numeric	minute		NA	not relevant to sampling method
FlowMeterStart	Zooplankton flowmeter start number	numeric	number		NA	not relevant to sampling method
FlowMeterEnd	Zooplankton flowmeter end number	numeric	number		NA	not relevant to sampling method
Rotations	Number of flowmeter rotations	numeric	number		NA	not relevant to sampling method
MeshSize	Mesh size of net	numeric	micrometer			
RingSize	Ring size of net	numeric	centimeter			
TotalVolume	Total volume sampled	numeric	milliliter			
SubsampledVolume	Volume subsampled	numeric	milliliter			
Taxon	Taxonomic ID	character				
Count	Count	numeric	number			
nSubsamples	number of subsamples	numeric	number			
TaxonomicGrouping	Taxonomic grouping	character				
BiomassIndex	Biomass index	numeric	microgramCarbonPerIndividual			
TotalBiomass	Total biomass	numeric	gram			
